Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,120.110001,120.650002,118.739998,120.430000,116.062126,1279300
2020-01-03,118.000000,119.669998,117.730003,118.309998,114.019020,1374400
2020-01-06,116.250000,117.320000,115.610001,116.919998,112.679428,1979400
2020-01-07,118.900002,120.879997,118.400002,119.580002,115.242973,2214700
2020-01-08,120.309998,121.459999,119.690002,120.660004,116.283791,2036500
2020-01-09,121.629997,121.690002,119.739998,120.660004,116.283791,1418500
2020-01-10,120.800003,120.809998,118.370003,118.570000,114.269592,1610500
2020-01-13,118.779999,119.639999,118.220001,119.059998,114.741814,1357600
2020-01-14,118.980003,120.589996,118.699997,119.529999,115.194771,1326800
2020-01-15,119.410004,119.410004,117.230003,117.510002,113.248039,1729200
2020-01-16,118.480003,119.220001,118.010002,119.129997,114.809273,1413600
2020-01-17,119.750000,119.919998,119.019997,119.470001,115.136948,2303300
2020-01-21,118.190002,119.669998,118.000000,119.309998,114.982742,2548400
2020-01-22,119.639999,121.050003,119.279999,120.419998,116.052490,1654700
2020-01-23,120.419998,121.070000,118.849998,120.860001,116.476540,2170200
2020-01-24,121.779999,122.199997,116.900002,117.570000,113.305847,1972200
2020-01-27,114.650002,114.980003,112.199997,112.209999,108.140259,2737800
2020-01-28,114.029999,114.589996,113.050003,114.309998,110.164093,2670500
2020-01-29,114.309998,114.470001,112.599998,113.230003,109.123268,3500900
2020-01-30,112.230003,113.500000,110.959999,112.370003,108.294464,2761000
2020-01-31,111.660004,111.720001,109.199997,109.750000,105.769470,3245400
2020-02-03,110.699997,111.610001,109.550003,110.000000,106.010422,2134800
2020-02-04,112.260002,113.379997,111.620003,112.459999,108.381195,2249800
2020-02-05,115.080002,117.059998,114.110001,116.680000,112.448143,2192400
2020-02-06,116.940002,117.190002,115.349998,115.790001,111.590401,1398100
2020-02-07,115.000000,115.139999,112.110001,112.269997,108.198090,1663800
2020-02-10,110.910004,112.900002,110.449997,112.900002,108.805229,1813900
2020-02-11,113.449997,117.769997,113.449997,116.879997,112.640877,2765500
2020-02-12,117.410004,119.050003,117.290001,118.809998,114.500893,1856000
2020-02-13,118.230003,119.040001,116.949997,118.879997,114.568344,2391100
2020-02-14,119.050003,119.370003,116.699997,117.650002,113.382957,1869000
2020-02-18,116.230003,118.889999,116.070000,118.570000,114.269592,3074300
2020-02-19,125.059998,127.300003,122.389999,123.889999,119.396629,4598900
2020-02-20,124.400002,125.570000,122.370003,124.550003,120.032715,3062400
2020-02-21,122.919998,123.970001,120.809998,122.760002,118.307625,2813700
2020-02-24,119.339996,119.690002,116.970001,117.360001,113.103485,3041400
2020-02-25,118.540001,118.779999,113.379997,114.660004,110.501404,3251400
2020-02-26,115.980003,117.389999,114.290001,114.839996,110.674866,2896600
2020-02-27,111.820000,113.709999,107.570000,107.720001,104.376625,3541300
2020-02-28,103.959999,110.059998,103.500000,109.050003,105.665329,6033200
2020-03-02,110.089996,111.440002,107.239998,111.269997,107.816437,3979400
2020-03-03,110.129997,113.190002,106.570000,107.199997,103.872757,3416000
2020-03-04,109.000000,112.540001,106.680000,112.459999,108.969498,2181000
2020-03-05,109.029999,112.070000,107.919998,108.870003,105.490929,2197200
2020-03-06,105.000000,107.459999,104.510002,107.000000,103.678970,3801200
2020-03-09,99.610001,103.610001,97.110001,97.510002,94.483513,4936400
2020-03-10,100.129997,102.540001,96.120003,102.440002,99.260498,4355300
2020-03-11,99.480003,100.650002,93.959999,94.410004,91.479736,4167900
2020-03-12,89.790001,95.360001,87.250000,90.010002,87.216293,8483800
2020-03-13,94.879997,100.459999,89.360001,99.790001,96.692741,6399300
2020-03-16,89.839996,92.860001,83.019997,83.209999,80.627350,7287000
2020-03-17,86.139999,96.900002,82.320000,95.440002,92.477753,5555700
2020-03-18,87.440002,92.489998,79.080002,82.230003,79.677780,5725800
2020-03-19,82.440002,91.699997,79.440002,90.320000,87.516670,4465000
2020-03-20,92.410004,93.370003,84.879997,85.080002,82.439316,4567500
2020-03-23,85.779999,87.510002,80.510002,85.160004,82.516823,4063700
2020-03-24,89.779999,94.000000,87.440002,93.730003,90.820839,3651400
2020-03-25,92.660004,97.440002,89.739998,94.360001,91.431282,3859600
2020-03-26,94.529999,96.500000,90.860001,92.620003,89.745285,5063600
2020-03-27,89.260002,92.629997,88.260002,88.669998,85.917885,3009900
2020-03-30,89.540001,91.470001,87.599998,90.970001,88.146500,3268200
2020-03-31,90.559998,92.269997,89.180000,89.650002,86.867470,3432100
2020-04-01,86.040001,88.110001,83.669998,84.089996,81.480026,3231900
2020-04-02,83.129997,88.269997,82.900002,87.699997,84.977982,3638200
2020-04-03,87.389999,88.800003,85.339996,86.559998,83.873375,2253800
2020-04-06,90.139999,96.300003,89.919998,95.800003,92.826591,3673600
2020-04-07,99.019997,100.919998,95.849998,96.250000,93.262619,3814800
2020-04-08,97.220001,101.559998,95.750000,101.400002,98.252777,3001300
2020-04-09,101.339996,103.570000,97.870003,98.790001,95.723785,2806200
2020-04-13,97.519997,100.220001,97.330002,99.669998,96.576469,2348300
2020-04-14,101.800003,103.300003,100.070000,103.019997,99.822495,3177900
