Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,25.700001,25.930000,25.129999,25.360001,24.719690,3395100
2020-01-03,25.709999,26.139999,25.530001,25.690001,25.041363,5940600
2020-01-06,25.940001,25.980000,25.170000,25.639999,24.992626,4471700
2020-01-07,29.930000,32.580002,29.500000,32.509998,31.689159,37002300
2020-01-08,32.509998,33.209999,32.040001,32.730000,31.903606,13506200
2020-01-09,32.610001,32.700001,31.549999,32.599998,31.776890,7590100
2020-01-10,32.349998,32.529999,32.040001,32.380001,31.562450,4642300
2020-01-13,32.500000,32.599998,31.850000,32.009998,31.201790,4581400
2020-01-14,32.139999,33.770000,32.130001,33.590000,32.741894,6101800
2020-01-15,33.230000,33.689999,32.990002,33.540001,32.693161,4440300
2020-01-16,33.689999,33.709999,32.980000,33.099998,32.264267,4458100
2020-01-17,33.080002,33.240002,32.570000,32.669998,31.845121,4551800
2020-01-21,32.139999,32.740002,31.700001,31.740000,31.177183,5215900
2020-01-22,31.290001,31.450001,30.850000,30.870001,30.322609,4710700
2020-01-23,30.270000,30.629999,29.870001,30.270000,29.733248,4816200
2020-01-24,30.000000,30.080000,29.370001,29.980000,29.448389,3472100
2020-01-27,29.080000,29.490000,28.620001,28.850000,28.338428,4242800
2020-01-28,29.190001,29.270000,28.540001,28.730000,28.220556,4140800
2020-01-29,28.980000,29.070000,27.980000,28.090000,27.591906,4514100
2020-01-30,27.459999,28.250000,27.370001,28.180000,27.680311,3922200
2020-01-31,27.580000,27.670000,26.950001,27.440001,26.953432,5312500
2020-02-03,27.260000,27.690001,27.100000,27.559999,27.071304,4021900
2020-02-04,28.190001,28.549999,28.059999,28.139999,27.641018,4419700
2020-02-05,28.809999,29.440001,28.620001,28.900000,28.387539,5835200
2020-02-06,28.950001,29.230000,28.280001,28.940001,28.426832,3738900
2020-02-07,28.280001,28.580000,27.990000,28.110001,27.611551,3167600
2020-02-10,27.879999,28.020000,27.459999,27.969999,27.474031,3010300
2020-02-11,28.580000,28.809999,28.139999,28.170000,27.670486,2070400
2020-02-12,28.930000,29.030001,28.430000,28.480000,27.974989,3219800
2020-02-13,28.370001,28.510000,27.830000,27.920000,27.424917,3498200
2020-02-14,28.049999,28.080000,27.240000,27.360001,26.874846,4292300
2020-02-18,27.049999,28.219999,26.950001,28.110001,27.611551,2974600
2020-02-19,28.400000,28.680000,27.969999,28.469999,27.965168,2951100
2020-02-20,28.590000,29.209999,28.440001,28.580000,28.073214,2347000
2020-02-21,28.139999,28.480000,27.520000,28.400000,27.896408,3148500
2020-02-24,26.959999,27.030001,26.410000,26.750000,26.275665,3025600
2020-02-25,27.240000,27.290001,25.340000,25.500000,25.047834,4462000
2020-02-26,25.500000,25.860001,24.400000,24.430000,23.996805,5515700
2020-02-27,23.809999,26.959999,23.379999,25.070000,24.625456,8817000
2020-02-28,24.000000,25.520000,23.830000,24.920000,24.478115,10240400
2020-03-02,25.490000,25.889999,24.650000,25.520000,25.067478,8987000
2020-03-03,25.700001,26.570000,24.750000,24.990000,24.546873,7364300
2020-03-04,25.360001,25.620001,24.530001,25.129999,24.684391,4376200
2020-03-05,24.430000,25.209999,24.030001,24.340000,23.908400,5725500
2020-03-06,23.420000,23.510000,20.219999,20.700001,20.332945,10198100
2020-03-09,13.420000,13.700000,9.320000,9.550000,9.380659,28073200
2020-03-10,11.370000,11.500000,9.400000,10.790000,10.598670,22820600
2020-03-11,10.100000,10.110000,7.950000,8.250000,8.103710,19670000
2020-03-12,6.930000,8.300000,6.600000,7.760000,7.622399,19844700
2020-03-13,8.500000,8.590000,6.950000,8.070000,7.926901,24978800
2020-03-16,6.730000,6.920000,5.450000,5.460000,5.363182,18546800
2020-03-17,5.690000,5.710000,4.400000,4.460000,4.380914,19718000
2020-03-18,4.160000,4.750000,3.800000,4.440000,4.361269,16461800
2020-03-19,4.550000,5.400000,4.070000,4.950000,4.862226,14530000
2020-03-20,5.160000,5.470000,4.650000,4.830000,4.744354,17519800
2020-03-23,4.810000,4.900000,4.300000,4.310000,4.233574,14154700
2020-03-24,4.810000,5.840000,4.680000,5.580000,5.481055,16021900
2020-03-25,6.130000,6.670000,5.310000,5.890000,5.785557,19289700
2020-03-26,5.940000,6.600000,5.610000,5.760000,5.657863,18496800
2020-03-27,5.380000,5.400000,4.760000,4.860000,4.773821,18508800
2020-03-30,4.760000,4.770000,4.000000,4.110000,4.037120,26494600
2020-03-31,4.410000,4.580000,4.110000,4.180000,4.105879,31240200
2020-04-01,4.040000,4.160000,3.860000,4.020000,3.948717,22611200
2020-04-02,4.750000,5.300000,4.310000,4.690000,4.606836,53258000
2020-04-03,5.440000,5.630000,4.560000,5.380000,5.284601,51801400
2020-04-06,5.200000,6.000000,5.130000,5.870000,5.765912,28007900
2020-04-07,6.600000,7.240000,6.360000,6.520000,6.404386,39030500
2020-04-08,6.830000,7.620000,6.720000,7.580000,7.445590,35954800
2020-04-09,9.110000,10.070000,7.130000,8.200000,8.054597,92502300
2020-04-13,8.790000,8.990000,8.030000,8.380000,8.231405,35821100
2020-04-14,8.200000,8.310000,7.620000,8.080000,7.936723,26955200
2020-04-15,7.120000,8.070000,7.080000,7.940000,7.799207,24475600
2020-04-16,7.960000,7.980000,7.380000,7.490000,7.357186,13095000
2020-04-17,7.450000,8.500000,7.420000,8.490000,8.339455,26718200
2020-04-20,7.640000,8.850000,7.510000,8.480000,8.329631,26625900
2020-04-21,8.190000,8.810000,8.060000,8.570000,8.442926,22556500
2020-04-22,9.000000,9.620000,8.840000,9.420000,9.280322,26440900
2020-04-23,9.820000,10.970000,9.800000,10.500000,10.344308,38583000
2020-04-24,11.120000,11.450000,10.160000,10.690000,10.531492,39965400
2020-04-27,10.200000,10.800000,9.750000,10.500000,10.344308,25852700
2020-04-28,10.850000,10.950000,10.210000,10.670000,10.511788,19229600
2020-04-29,11.320000,13.150000,11.130000,13.050000,12.856498,35121000
2020-04-30,13.350000,14.050000,12.180000,13.080000,12.886053,39879500
2020-05-01,12.420000,12.760000,11.110000,11.280000,11.112743,24359500
2020-05-04,10.720000,12.070000,10.500000,12.060000,11.881178,18185500
2020-05-05,12.990000,13.180000,11.630000,11.780000,11.605329,26477400
2020-05-06,11.810000,12.140000,11.310000,11.610000,11.437849,20242500
2020-05-07,11.440000,12.380000,11.350000,11.880000,11.703847,19899300
2020-05-08,12.250000,12.540000,12.050000,12.450000,12.265394,19455300
2020-05-11,12.250000,12.440000,11.810000,12.030000,11.851622,14496300
2020-05-12,12.200000,12.390000,11.760000,11.790000,11.615182,14729200
2020-05-13,11.680000,11.680000,10.500000,10.730000,10.570898,17266900
2020-05-14,10.330000,11.040000,9.670000,10.360000,10.206384,20150300
2020-05-15,10.220000,10.920000,10.110000,10.610000,10.452677,18137500
2020-05-18,11.600000,12.230000,11.470000,11.920000,11.743253,22482800
2020-05-19,11.890000,12.080000,11.320000,11.360000,11.191556,14586400
2020-05-20,11.670000,12.100000,11.640000,11.950000,11.772809,15601100
2020-05-21,12.010000,12.350000,11.770000,12.050000,11.871325,18807400
2020-05-22,12.000000,12.200000,11.650000,12.170000,11.989546,10415800
2020-05-26,12.700000,12.930000,12.320000,12.710000,12.521540,15215100
