Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,319.320007,322.500000,317.320007,322.390015,299.416290,2032900
2020-01-03,317.510010,320.000000,314.079987,314.190002,291.800598,2287000
2020-01-06,310.850006,313.920013,309.630005,313.720001,291.364105,2078900
2020-01-07,315.250000,316.579987,312.250000,312.640015,290.361115,1856500
2020-01-08,312.980011,313.489990,308.410004,308.739990,286.738983,3197900
2020-01-09,312.320007,312.989990,303.049988,306.260010,284.435730,4239700
2020-01-10,305.450012,305.549988,298.799988,299.220001,277.897430,4070500
2020-01-13,300.019989,303.799988,299.670013,301.179993,279.717682,2205400
2020-01-14,302.000000,309.149994,301.589996,308.179993,286.218903,2891100
2020-01-15,307.309998,307.880005,300.700012,303.140015,281.538055,2273300
2020-01-16,305.000000,307.859985,304.209991,307.049988,285.169373,2150800
2020-01-17,308.660004,308.940002,304.070007,308.790009,286.785461,2689600
2020-01-21,307.799988,309.510010,306.329987,308.070007,286.116730,2196700
2020-01-22,310.799988,317.920013,310.500000,312.970001,290.667542,2926400
2020-01-23,315.179993,319.799988,310.820007,319.649994,296.871582,3026600
2020-01-24,330.500000,331.579987,320.769989,324.000000,300.911560,5578200
2020-01-27,316.410004,319.880005,308.640015,309.029999,287.008301,3884300
2020-01-28,313.529999,319.230011,312.769989,318.309998,295.627014,2316600
2020-01-29,320.820007,325.429993,317.140015,317.510010,294.884033,2366800
2020-01-30,314.320007,315.519989,308.589996,315.200012,292.738678,2112800
2020-01-31,314.160004,314.579987,303.619995,305.160004,283.414093,2212300
2020-02-03,305.630005,306.600006,303.640015,305.230011,283.479156,2128800
2020-02-04,311.790009,314.570007,309.649994,311.600006,289.395172,2255900
2020-02-05,317.500000,319.809998,315.859985,317.380005,294.763275,2482500
2020-02-06,318.839996,319.880005,314.230011,319.690002,296.908661,2268300
2020-02-07,318.320007,318.519989,314.869995,315.230011,292.766510,1588300
2020-02-10,312.369995,314.600006,310.299988,314.200012,291.809906,1921800
2020-02-11,316.649994,320.790009,316.010010,320.160004,297.345215,1552700
2020-02-12,322.040009,325.089996,321.630005,324.700012,301.561676,1531000
2020-02-13,321.480011,325.459991,320.950012,323.970001,300.883698,1385700
2020-02-14,324.839996,325.700012,317.100006,317.769989,295.125519,1913700
2020-02-18,315.000000,315.010010,308.049988,310.750000,288.605743,2669300
2020-02-19,313.000000,316.829987,311.700012,315.690002,293.193726,2052500
2020-02-20,313.959991,315.690002,306.119995,309.239990,287.203308,2552100
2020-02-21,308.500000,309.450012,302.290009,304.500000,282.801147,2452200
2020-02-24,294.200012,298.799988,290.059998,291.600006,270.820404,3684900
2020-02-25,294.109985,295.730011,281.070007,282.679993,262.536041,3189200
2020-02-26,284.350006,288.200012,284.000000,285.880005,265.508026,2307400
2020-02-27,280.299988,285.309998,273.540009,273.950012,254.428192,3483700
2020-02-28,263.329987,274.130005,262.739990,272.619995,253.192932,4458600
2020-03-02,276.760010,285.399994,271.149994,284.970001,264.662903,3197600
2020-03-03,284.649994,288.480011,271.570007,274.250000,254.706741,2993000
2020-03-04,277.540009,285.720001,274.769989,285.450012,265.108673,2347700
2020-03-05,277.260010,283.089996,272.450012,274.040009,254.511765,2437400
2020-03-06,266.980011,270.929993,262.500000,269.450012,250.248840,3016900
2020-03-09,251.080002,260.269989,244.250000,247.720001,230.067337,4393400
2020-03-10,256.589996,263.679993,243.399994,262.899994,244.165573,5507100
2020-03-11,253.880005,256.489990,242.490005,245.970001,228.442032,3603000
2020-03-12,226.990005,242.759995,216.320007,218.779999,203.189590,6428100
2020-03-13,225.509995,234.470001,201.160004,234.220001,217.529327,8471400
2020-03-16,208.179993,218.800003,180.229996,187.580002,174.212936,7693500
2020-03-17,191.820007,200.009995,181.479996,199.509995,185.292770,7066200
2020-03-18,185.660004,187.479996,155.669998,167.869995,155.907486,9899300
2020-03-19,167.639999,207.470001,165.000000,194.449997,180.593369,7443800
2020-03-20,202.000000,208.679993,187.910004,192.220001,181.556778,7404400
2020-03-23,192.880005,195.970001,177.750000,193.470001,182.737457,4692100
2020-03-24,205.639999,218.710007,201.289993,212.759995,200.957336,6297000
2020-03-25,212.190002,244.000000,209.220001,217.550003,205.481628,6444200
2020-03-26,226.029999,244.800003,226.029999,243.169998,229.680389,6021300
2020-03-27,233.000000,242.089996,230.000000,230.690002,217.892700,3944800
2020-03-30,232.199997,241.360001,228.440002,240.110001,226.790115,5234300
2020-03-31,238.000000,252.710007,236.059998,237.100006,223.947098,5019100
2020-04-01,227.990005,234.410004,219.679993,223.630005,211.224350,4185800
2020-04-02,222.399994,237.949997,221.449997,237.059998,223.909332,4504900
2020-04-03,236.639999,242.550003,230.550003,234.259995,221.264633,2896000
2020-04-06,244.580002,253.410004,243.559998,252.440002,238.436111,3886800
2020-04-07,261.839996,265.500000,252.529999,253.270004,239.220093,4589200
2020-04-08,256.769989,262.200012,253.639999,261.100006,246.615738,2756500
2020-04-09,265.790009,267.500000,251.309998,254.300003,240.192947,3482800
2020-04-13,253.500000,261.519989,252.800003,259.920013,245.501190,2572900
2020-04-14,266.119995,268.380005,262.320007,267.630005,252.783508,2309400
2020-04-15,261.000000,262.320007,256.160004,257.440002,243.158768,2592600
2020-04-16,261.760010,261.760010,254.110001,258.290009,243.961624,2689600
2020-04-17,263.220001,267.429993,258.940002,265.880005,251.130539,3408900
2020-04-20,260.000000,265.260010,257.910004,258.279999,243.952179,2380100
2020-04-21,254.559998,254.789993,246.800003,247.649994,233.911850,2913800
2020-04-22,254.770004,262.220001,250.740005,259.970001,245.548431,3543800
2020-04-23,260.250000,265.200012,258.519989,258.929993,244.566116,2165900
2020-04-24,259.809998,265.070007,258.880005,264.809998,250.119934,2337300
2020-04-27,264.350006,271.220001,264.350006,268.450012,253.557968,1658800
2020-04-28,274.239990,276.410004,264.119995,264.730011,250.044357,1898800
2020-04-29,271.079987,276.989990,269.230011,276.019989,260.708069,2887100
2020-04-30,273.529999,274.049988,268.799988,271.619995,256.552155,2337900
2020-05-01,266.000000,267.850006,258.200012,259.700012,245.293396,2683600
2020-05-04,259.209991,262.429993,255.320007,262.260010,247.711380,1704600
2020-05-05,266.549988,268.940002,263.709991,264.869995,250.176605,2646200
2020-05-06,268.329987,270.480011,263.619995,264.179993,249.524872,2272700
2020-05-07,270.000000,270.470001,266.000000,267.750000,252.896851,1823800
2020-05-08,272.200012,275.549988,270.029999,275.029999,259.772949,1675700
2020-05-11,273.369995,276.739990,271.750000,275.399994,260.122437,2085100
2020-05-12,276.579987,277.720001,268.220001,268.450012,253.557968,1876400
2020-05-13,270.070007,270.329987,259.359985,263.149994,248.551987,2192700
2020-05-14,260.959991,266.950012,254.750000,266.600006,251.810593,1991200
2020-05-15,259.420013,264.059998,256.769989,260.410004,245.964035,2165000
2020-05-18,268.619995,276.730011,268.000000,273.529999,258.356171,2653100
2020-05-19,273.529999,276.029999,271.609985,271.950012,256.863861,1870200
2020-05-20,276.970001,281.309998,276.079987,278.679993,263.220520,1860500
2020-05-21,278.920013,279.500000,274.649994,274.799988,259.555725,1484700
2020-05-22,273.739990,277.250000,270.510010,276.649994,261.303070,1745200
2020-05-26,285.000000,287.089996,281.390015,282.019989,266.375244,2357300
2020-05-27,283.019989,287.799988,280.000000,287.589996,271.636200,2281200
2020-05-28,285.000000,289.299988,282.429993,283.140015,267.433075,1854300
2020-05-29,282.899994,292.000000,281.910004,291.269989,275.112061,2730000
2020-06-01,290.420013,291.100006,287.369995,289.989990,273.903076,1844400
2020-06-02,291.029999,298.320007,290.089996,298.059998,281.525360,3184700
2020-06-03,301.049988,310.850006,300.510010,309.529999,292.359100,3192600
2020-06-04,305.750000,313.000000,302.100006,308.890015,291.754608,3499700
2020-06-05,319.700012,328.109985,315.089996,317.079987,299.490295,5095800
2020-06-08,317.500000,318.839996,313.359985,317.519989,299.905884,2391600
2020-06-09,312.000000,318.880005,311.570007,315.320007,297.827942,2233500
2020-06-10,316.649994,319.209991,314.700012,315.040009,297.563446,2591400
2020-06-11,307.619995,308.549988,293.399994,293.750000,277.454468,4511500
2020-06-12,302.820007,303.950012,292.730011,300.250000,283.593933,3943900
2020-06-15,295.000000,306.750000,292.410004,304.089996,287.220947,2982400
2020-06-16,310.000000,314.549988,304.000000,310.720001,293.483093,3038700
2020-06-17,313.420013,316.709991,311.790009,313.440002,296.052185,2027900
2020-06-18,312.119995,319.119995,311.519989,318.709991,301.029846,3362500
2020-06-19,317.679993,318.100006,302.769989,302.769989,288.920349,5846500
2020-06-22,305.500000,314.179993,303.529999,313.540009,299.197723,2719500
2020-06-23,315.059998,317.440002,311.290009,311.299988,297.060150,2241900
2020-06-24,309.200012,310.970001,304.510010,306.970001,292.928253,1909600
2020-06-25,306.059998,309.480011,303.000000,308.850006,294.722198,1502900
2020-06-26,313.570007,315.779999,303.149994,307.410004,293.348083,3142500
2020-06-29,308.070007,310.410004,304.450012,309.779999,295.609711,1451600
2020-06-30,309.950012,317.070007,306.750000,315.609985,301.172974,2512500
