Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,123.000000,123.160004,119.580002,120.199997,116.672523,1618900
2020-01-03,120.440002,122.120003,120.440002,120.980003,117.429642,869300
2020-01-06,120.989998,121.750000,120.489998,120.750000,117.206383,765800
2020-01-07,120.430000,120.970001,119.910004,120.000000,116.478394,841000
2020-01-08,119.550003,121.190002,119.230003,120.489998,116.954018,1096700
2020-01-09,120.489998,122.220001,120.150002,122.129997,118.545891,803600
2020-01-10,122.199997,122.739998,122.150002,122.559998,118.963264,754700
2020-01-13,122.769997,124.029999,122.769997,123.739998,120.108627,961800
2020-01-14,124.000000,124.570000,123.510002,124.570000,120.914276,886100
2020-01-15,125.000000,127.029999,124.879997,126.879997,123.156487,912600
2020-01-16,127.000000,128.729996,126.830002,128.570007,124.796906,984200
2020-01-17,128.830002,130.589996,128.809998,130.440002,126.612015,1338400
2020-01-21,130.490005,133.399994,130.199997,133.220001,129.310440,1666700
2020-01-22,133.800003,134.809998,133.270004,134.050003,130.116058,1255000
2020-01-23,134.029999,135.529999,133.809998,135.289993,131.319656,933300
2020-01-24,135.289993,136.410004,135.199997,135.779999,131.795303,813800
2020-01-27,136.000000,136.830002,134.929993,135.250000,131.280869,703400
2020-01-28,135.529999,136.389999,135.070007,135.800003,131.814728,904200
2020-01-29,136.000000,136.410004,135.279999,136.039993,132.047668,608400
2020-01-30,135.820007,137.119995,135.600006,136.770004,132.756241,922700
2020-01-31,136.910004,137.729996,135.440002,136.199997,132.202988,1300500
2020-02-03,136.330002,136.949997,136.149994,136.520004,132.513611,1253800
2020-02-04,135.949997,136.809998,134.820007,134.839996,130.882904,1193000
2020-02-05,134.559998,135.669998,134.089996,135.070007,131.106140,923300
2020-02-06,134.619995,135.289993,134.169998,135.000000,131.525055,669000
2020-02-07,135.880005,136.130005,134.389999,134.449997,130.989227,938200
2020-02-10,134.710007,135.550003,134.449997,135.210007,131.729691,1400000
2020-02-11,135.529999,135.990005,135.100006,135.339996,131.856308,746800
2020-02-12,134.520004,136.110001,134.500000,135.699997,132.207047,996000
2020-02-13,135.699997,137.229996,135.550003,136.949997,133.424881,814200
2020-02-14,137.520004,139.649994,137.009995,139.320007,135.733871,1091200
2020-02-18,140.339996,140.570007,139.259995,139.259995,135.675400,1478400
2020-02-19,139.070007,141.369995,138.240005,138.699997,135.129822,1288700
2020-02-20,138.320007,138.669998,136.500000,137.300003,133.765854,1022400
2020-02-21,137.410004,138.139999,137.119995,137.770004,134.223785,1222200
2020-02-24,136.850006,137.750000,135.949997,136.529999,133.015701,1219400
2020-02-25,136.710007,136.850006,132.770004,133.089996,129.664230,1056500
2020-02-26,132.949997,134.929993,132.589996,133.039993,129.615524,1118600
2020-02-27,132.770004,134.389999,127.720001,127.779999,124.490921,1277700
2020-02-28,124.110001,125.800003,120.620003,123.660004,120.476982,3988800
2020-03-02,124.330002,130.940002,124.080002,130.839996,127.472160,1860400
2020-03-03,131.220001,134.750000,130.600006,131.419998,128.037216,1639200
2020-03-04,133.070007,140.330002,133.070007,140.309998,136.698395,1528700
