Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,85.000000,85.870003,84.180000,85.870003,83.731911,2957800
2020-01-03,84.480003,85.760002,84.389999,85.500000,83.371109,1871700
2020-01-06,85.300003,85.589996,84.150002,85.290001,83.166344,3500000
2020-01-07,84.709999,85.930000,84.699997,85.489998,83.361374,4803200
2020-01-08,85.610001,86.989998,85.540001,86.730003,84.570496,3576600
2020-01-09,86.610001,87.080002,85.860001,86.540001,84.385223,2098900
2020-01-10,86.970001,87.050003,85.650002,85.900002,83.761169,3118900
2020-01-13,87.470001,90.300003,87.099998,89.370003,87.144753,5007700
2020-01-14,88.760002,89.269997,87.889999,89.209999,86.988731,3836300
2020-01-15,89.199997,89.949997,88.690002,89.559998,87.330025,2561000
2020-01-16,90.000000,90.000000,89.320000,89.989998,87.749306,2243900
2020-01-17,89.839996,89.930000,89.209999,89.730003,87.495796,4474900
2020-01-21,89.519997,91.870003,89.309998,91.070000,88.802429,4284900
2020-01-22,91.610001,91.860001,90.580002,91.160004,88.890198,2815400
2020-01-23,91.029999,91.430000,90.529999,91.099998,88.831673,2129400
2020-01-24,91.239998,91.470001,90.510002,90.779999,88.519653,1610800
2020-01-27,89.680000,90.959999,89.120003,90.529999,88.275879,2222400
2020-01-28,90.699997,90.940002,90.260002,90.550003,88.295387,1952200
2020-01-29,90.709999,91.169998,90.480003,90.500000,88.246620,1548200
2020-01-30,89.849998,90.699997,89.269997,90.639999,88.383133,1608500
2020-01-31,90.279999,90.320000,89.050003,89.220001,86.998505,1796500
2020-02-03,89.980003,90.639999,89.650002,89.690002,87.456787,1498500
2020-02-04,90.660004,91.620003,90.070000,90.870003,88.607414,2213300
2020-02-05,91.330002,91.650002,90.449997,91.309998,89.036453,3185000
2020-02-06,93.900002,95.000000,92.750000,93.300003,90.976906,3888400
2020-02-07,92.709999,92.959999,91.180000,91.250000,88.977959,2306000
2020-02-10,90.699997,91.389999,90.250000,91.279999,89.007187,2597700
2020-02-11,91.830002,92.300003,91.419998,91.849998,89.563019,1706500
2020-02-12,91.860001,92.190002,91.110001,91.430000,89.153465,1590900
2020-02-13,91.360001,92.889999,90.989998,92.570000,90.265083,2146100
2020-02-14,92.900002,93.430000,91.900002,93.139999,90.820885,1740200
2020-02-18,92.589996,92.650002,91.040001,92.220001,89.923798,1820600
2020-02-19,92.360001,93.570000,92.209999,93.160004,90.840401,1616300
2020-02-20,93.099998,93.500000,92.410004,93.059998,90.742882,1778200
2020-02-21,92.669998,93.160004,92.239998,92.669998,90.362595,1529500
2020-02-24,90.769997,91.330002,89.190002,89.529999,87.300781,2380600
2020-02-25,89.820000,90.230003,86.199997,86.989998,84.824020,2620400
2020-02-26,87.790001,88.699997,86.879997,87.029999,84.863022,3126900
2020-02-27,85.250000,87.019997,84.230003,84.269997,82.379982,3004200
2020-02-28,81.809998,83.589996,80.589996,83.470001,81.597931,4659600
2020-03-02,83.370003,87.230003,82.900002,87.180000,85.224731,3370100
2020-03-03,86.919998,88.980003,84.559998,85.910004,83.983223,3240700
2020-03-04,87.260002,91.139999,87.089996,91.059998,89.017700,4342500
2020-03-05,89.040001,89.940002,86.419998,87.650002,85.684181,3821800
2020-03-06,85.089996,86.190002,82.949997,85.379997,83.465103,3442800
2020-03-09,80.650002,81.730003,78.099998,78.400002,76.641647,4109100
2020-03-10,80.510002,83.309998,78.730003,82.980003,81.118935,3490500
2020-03-11,80.919998,81.900002,76.379997,77.970001,76.221291,3652900
2020-03-12,73.099998,77.260002,71.279999,75.470001,73.777351,6982400
2020-03-13,78.550003,81.320000,73.589996,80.989998,79.173553,5774200
2020-03-16,72.660004,77.139999,69.099998,71.570000,69.964836,4351900
