Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,14.753436,14.761520,13.961196,14.139046,13.872768,9148976
2020-01-03,14.567502,15.432498,14.454325,15.246564,14.959430,19998579
2020-01-06,15.117219,15.133387,14.567502,14.680679,14.404202,11018083
2020-01-07,14.656427,14.995958,14.462409,14.567502,14.293157,7084052
2020-01-08,14.713015,14.963622,14.470493,14.672595,14.396270,6677202
2020-01-09,14.801940,15.594179,14.640259,15.327405,15.038748,20544962
2020-01-10,15.464834,15.917542,15.270816,15.691188,15.395679,14584849
2020-01-13,15.602264,16.354082,15.586095,16.321747,16.014362,9265625
2020-01-14,16.402588,16.459175,16.046888,16.192402,15.887454,5953186
2020-01-15,16.135813,16.329830,15.949879,15.998383,15.697089,4679447
2020-01-16,16.160065,16.418755,16.151981,16.394503,16.085749,5049929
2020-01-17,16.362167,16.394503,16.119644,16.297495,15.990568,6205039
2020-01-21,16.426840,16.628941,16.111561,16.402588,16.093681,5909768
2020-01-22,16.572351,16.572351,16.127728,16.151981,15.847796,5127984
2020-01-23,16.798706,17.170574,16.451092,16.976557,16.656841,12768190
2020-01-24,17.049313,17.049313,16.564268,16.766371,16.450615,8495592
2020-01-27,16.362167,16.548100,16.200485,16.313662,16.006432,8784556
2020-01-28,16.523848,16.790623,16.345999,16.620857,16.307842,5121675
2020-01-29,18.593370,19.102669,18.059822,18.771221,18.417707,39765344
2020-01-30,18.520615,18.965239,18.367018,18.924818,18.568413,11242475
2020-01-31,18.698463,18.763138,18.399353,18.722715,18.370115,12906116
2020-02-03,18.496363,18.690380,18.116411,18.140663,17.799026,10898836
2020-02-04,18.197250,19.474535,17.881973,19.240097,18.877752,19976560
2020-02-05,19.385611,19.967665,19.110752,19.862572,19.488506,12317304
2020-02-06,19.919159,20.097010,19.353273,19.385611,19.020527,9238782
2020-02-07,19.272432,19.329021,18.876314,19.062246,18.703251,6440688
2020-02-10,20.299110,20.420372,18.892483,19.514956,19.147434,12864676
2020-02-11,19.644300,20.177851,19.571545,19.878738,19.504366,10774517
2020-02-12,20.072758,20.161680,19.814066,19.983831,19.607481,6482004
2020-02-13,19.725142,19.902990,19.272432,19.628134,19.258482,8529981
2020-02-14,19.773645,19.927242,19.523041,19.676638,19.306074,4569478
2020-02-18,19.603880,19.749393,19.215845,19.474535,19.107777,7415939
2020-02-19,19.595797,19.886824,19.490704,19.886824,19.512299,4842237
2020-02-20,18.156832,20.177851,17.631367,18.932901,18.805681,42833970
2020-02-21,19.377525,19.749393,19.046080,19.458366,19.327614,15570738
2020-02-24,18.779305,19.159256,18.286177,19.118835,18.990366,12131630
2020-02-25,19.070332,19.215845,18.666128,18.997576,18.869919,14663522
2020-02-26,19.078417,19.175425,18.383184,18.415522,18.291777,20347166
2020-02-27,17.033146,18.884398,16.661278,18.633791,18.508579,21267494
2020-02-28,18.164915,18.544867,17.243332,17.510105,17.392445,15354139
2020-03-02,17.655619,18.059822,17.097816,17.987064,17.866199,11830050
2020-03-03,18.043653,18.682297,17.704123,17.849636,17.729694,9885486
2020-03-04,17.995150,19.797897,17.849636,19.684721,19.552450,13043423
2020-03-05,19.029911,19.822149,18.593370,18.843977,18.717354,12536253
2020-03-06,18.003235,18.358932,17.574778,17.987064,17.866199,11385348
2020-03-09,16.895716,17.671787,16.168150,16.653193,16.541290,9746818
2020-03-10,17.421181,17.542440,16.281326,16.790623,16.677797,8847890
2020-03-11,16.378336,16.742119,15.747777,15.860954,15.754375,16491684
2020-03-12,14.664511,14.664511,12.764753,12.805174,12.719129,12082274
2020-03-13,13.435732,13.678254,12.449475,13.031528,12.943962,12203376
2020-03-16,11.584479,11.584479,8.116411,9.417947,9.354662,19214074
2020-03-17,9.531124,9.555376,6.467259,8.189167,8.134139,30079511
2020-03-18,7.631366,8.237672,6.523848,7.914309,7.861128,14977472
2020-03-19,7.671787,9.062247,6.879547,8.682296,8.623955,14486507
2020-03-20,8.755053,9.078416,7.639450,7.906225,7.853099,15376900
2020-03-23,7.833468,7.881973,6.887631,7.413096,7.363283,9589966
2020-03-24,7.817300,10.670978,7.776880,10.307195,10.237935,18248348
2020-03-25,10.654810,12.271625,10.105093,11.261116,11.185446,16502446
2020-03-26,11.600647,11.899757,10.485044,10.622474,10.551096,11642397
2020-03-27,9.967664,10.687146,9.296686,10.177850,10.109459,11898208
2020-03-30,9.951496,10.169766,8.900566,9.531124,9.467079,14855628
2020-03-31,9.450283,10.064673,9.256265,9.345190,9.282394,9888454
2020-04-01,8.561035,8.900566,7.801132,8.270008,8.214437,12528212
2020-04-02,8.124495,8.270008,7.534357,8.205335,8.150199,19147770
2020-04-03,8.197251,9.304770,8.172999,9.167340,9.105740,14676510
2020-04-06,9.797898,10.582053,9.337106,10.145513,10.077339,17016048
2020-04-07,11.156023,11.956346,10.501213,10.703314,10.631392,11140051
2020-04-08,10.848828,12.190784,10.792239,11.786580,11.707379,11236166
2020-04-09,12.651576,13.710590,11.875505,12.069523,11.988421,15250355
2020-04-13,12.069523,12.085691,10.897332,11.083266,11.008792,8348389
2020-04-14,11.544058,12.166532,11.075182,11.374293,11.297863,8176199
2020-04-15,10.493129,10.638642,9.846403,10.202102,10.133549,8607293
2020-04-16,10.307195,10.388036,9.733226,9.894907,9.828418,4851761
2020-04-17,10.517381,11.269200,10.436540,11.139854,11.065000,8784184
2020-04-20,10.614390,10.913500,10.048504,10.137429,10.069309,6763421
2020-04-21,9.579628,10.250606,9.547292,9.749394,9.683883,5849897
2020-04-22,9.951496,10.024252,7.113985,8.237672,8.182319,61636370
2020-04-23,8.132579,9.135004,8.092158,8.593371,8.535627,25058651
2020-04-24,8.690380,8.868230,8.124495,8.334681,8.278674,10808411
2020-04-27,8.488278,9.369442,8.181083,9.296686,9.234217,10826843
2020-04-28,9.822150,10.444624,9.466451,10.169766,10.101430,13251734
2020-04-29,10.679062,11.018593,10.218270,10.331447,10.262024,11001878
2020-04-30,10.056589,10.218270,9.401778,9.611964,9.547377,21342456
2020-05-01,9.320938,9.741310,9.135004,9.700889,9.635702,8300641
2020-05-04,9.345190,9.854487,9.094584,9.733226,9.667824,8850117
2020-05-05,9.854487,10.137429,9.312854,9.393694,9.330572,16383199
2020-05-06,9.490703,9.700889,8.730800,8.884398,8.824699,10635479
2020-05-07,9.005659,9.482619,8.940986,9.037995,8.977263,6901842
2020-05-08,9.240097,10.137429,9.223929,9.878739,9.812359,12661685
2020-05-11,9.700889,9.765562,9.086500,9.320938,9.258307,9273294
2020-05-12,9.458367,9.717057,9.070331,9.086500,9.025443,7201319
2020-05-13,9.070331,9.070331,8.286176,8.569119,8.511539,14047125
2020-05-14,8.278092,9.151172,8.108327,8.472110,8.415181,12156246
2020-05-15,8.286176,9.054163,8.132579,8.779305,8.720312,11006950
2020-05-18,9.385610,10.428456,9.329022,10.323363,10.253995,19271842
2020-05-19,10.137429,10.598222,9.830234,10.113177,10.045220,11640789
2020-05-20,10.218270,10.404204,9.304770,9.878739,9.812359,17303898
2020-05-21,10.719483,11.988682,10.517381,11.681487,11.602992,35488540
2020-05-22,11.721908,12.271625,11.487470,12.190784,12.108869,14969927
2020-05-26,12.772838,13.726758,12.675829,13.484236,13.393627,16750712
2020-05-27,13.961196,14.252223,12.991108,13.904608,13.811175,12933701
2020-05-28,13.936944,14.001617,13.063864,13.160873,13.072438,13563334
2020-05-29,12.732417,13.443816,12.538399,13.088116,13.000170,9754982
2020-06-01,13.136621,13.864188,12.910267,13.371059,13.281212,9432991
2020-06-02,13.613581,13.662086,12.991108,13.581245,13.489985,9536652
2020-06-03,13.945028,15.109135,13.945028,14.801940,14.702477,11326219
2020-06-04,14.494745,14.793856,14.122878,14.430073,14.333109,18248348
2020-06-05,15.472918,16.071140,14.971706,15.101051,14.999579,13509153
2020-06-08,15.828618,15.957963,15.214228,15.610348,15.505453,11704247
2020-06-09,15.117219,15.246564,14.446241,14.591754,14.493703,9978261
2020-06-10,14.486661,14.761520,13.977365,14.114794,14.019948,8616200
2020-06-11,12.732417,13.298302,12.158448,12.514147,12.430058,10197704
2020-06-12,13.330639,13.637833,12.158448,12.651576,12.566563,9010308
2020-06-15,11.915926,12.805174,11.649151,12.546483,12.462175,7845301
2020-06-16,13.395311,13.734842,12.748585,13.047696,12.960021,8884134
2020-06-17,12.999192,13.015360,12.287793,12.497979,12.413999,7879690
2020-06-18,12.279709,12.821342,12.101859,12.627324,12.542474,5547203
2020-06-19,12.853678,12.894099,11.673403,11.705740,11.627082,12778829
2020-06-22,11.721908,12.085691,11.487470,11.843169,11.763588,7168910
2020-06-23,12.061439,12.061439,11.576395,11.875505,11.795707,5971494
2020-06-24,11.641067,11.641067,10.864996,11.204527,11.129237,8079466
2020-06-25,10.970089,11.568310,10.654810,11.422797,11.346041,12486649
2020-06-26,11.422797,11.681487,11.083266,11.204527,11.129237,9449567
2020-06-29,11.350040,12.271625,11.236863,12.223120,12.140985,8823768
2020-06-30,12.118027,12.231205,11.827001,12.101859,12.020539,5665213
2020-07-01,12.150364,12.643492,12.077607,12.206952,12.124928,7752032
