Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,50.459999,50.919998,50.220001,50.919998,48.002949,2587200
2020-01-03,50.259998,50.430000,49.799999,50.270000,47.390194,2276100
2020-01-06,50.310001,50.750000,50.020000,50.740002,47.833267,3978800
2020-01-07,50.689999,51.419998,50.689999,51.250000,48.314045,3573500
2020-01-08,51.450001,51.570000,51.009998,51.310001,48.370613,3941400
2020-01-09,51.509998,51.599998,51.270000,51.480000,48.530865,2775400
2020-01-10,51.389999,51.389999,50.419998,50.540001,47.644722,3307800
2020-01-13,50.669998,50.889999,50.549999,50.880001,47.965244,3557500
2020-01-14,50.830002,51.209999,50.650002,51.009998,48.087788,3150100
2020-01-15,50.730000,50.889999,50.369999,50.689999,47.786121,4273600
2020-01-16,46.750000,47.450001,46.360001,46.720001,44.043560,12395200
2020-01-17,46.849998,46.959999,45.860001,46.180000,43.534489,12579800
2020-01-21,46.310001,47.500000,46.230000,46.779999,44.100117,7863100
2020-01-22,46.919998,47.070000,46.500000,46.730000,44.052982,6344800
2020-01-23,46.480000,47.439999,46.250000,47.020000,44.326370,5586200
2020-01-24,46.660000,46.700001,45.540001,45.950001,43.605148,6416400
2020-01-27,45.169998,45.759998,45.040001,45.049999,42.751080,5940100
2020-01-28,45.400002,45.430000,44.810001,44.970001,42.675163,8295700
2020-01-29,45.099998,45.180000,44.279999,44.459999,42.191185,9836000
2020-01-30,44.160000,45.480000,44.099998,45.400002,43.083221,5153400
2020-01-31,45.040001,45.189999,44.340000,44.779999,42.494858,6765800
2020-02-03,45.040001,45.880001,44.919998,45.209999,42.902916,6482200
2020-02-04,45.840000,46.630001,45.830002,45.950001,43.605148,6870500
2020-02-05,46.480000,47.200001,46.450001,46.980000,44.582592,5209400
2020-02-06,47.250000,47.630001,47.060001,47.540001,45.114021,5696900
2020-02-07,47.230000,47.509998,46.980000,47.250000,44.838814,3867000
2020-02-10,46.980000,47.060001,46.340000,46.490002,44.117596,3078900
2020-02-11,46.660000,46.799999,46.310001,46.419998,44.051167,3480600
2020-02-12,46.810001,47.200001,46.509998,46.560001,44.184025,2631600
2020-02-13,46.439999,46.599998,45.959999,46.029999,43.681076,2699300
2020-02-14,46.099998,46.230000,45.689999,45.900002,43.557709,3770800
2020-02-18,45.799999,46.029999,45.180000,45.290001,42.978832,3253200
2020-02-19,45.299999,46.009998,45.200001,45.919998,43.576687,3957000
2020-02-20,45.799999,46.299999,45.599998,45.830002,43.491280,2925800
2020-02-21,45.509998,45.740002,44.830002,45.040001,42.741585,5058500
2020-02-24,44.020000,44.119999,42.900002,43.130001,40.929054,5088300
2020-02-25,43.209999,43.419998,41.330002,41.590000,39.467644,5765100
2020-02-26,41.820000,42.070000,41.189999,41.369999,39.258869,6741400
2020-02-27,40.509998,42.820000,40.230000,40.959999,38.869793,11049300
2020-02-28,39.520000,40.070000,38.540001,39.900002,37.863892,14487900
2020-03-02,40.029999,40.959999,39.200001,40.959999,38.869793,11490700
2020-03-03,40.889999,40.939999,38.099998,38.830002,36.848495,14057800
2020-03-04,39.310001,40.910000,38.650002,40.500000,38.433273,12017400
2020-03-05,38.560001,40.119999,38.160000,39.299999,37.294506,10984100
2020-03-06,37.570000,38.740002,37.360001,38.070000,36.127274,9299800
2020-03-09,34.799999,37.439999,34.200001,34.950001,33.166485,8351900
2020-03-10,36.509998,36.610001,35.040001,36.549999,34.684837,8741400
2020-03-11,35.619999,35.919998,33.700001,34.200001,32.454765,8599400
2020-03-12,31.850000,32.340000,29.400000,29.520000,28.013582,9726400
2020-03-13,31.750000,34.130001,30.450001,34.130001,32.388332,9089100
2020-03-16,29.139999,32.619999,29.000000,29.180000,27.690935,9714900
2020-03-17,30.129999,30.600000,28.190001,29.969999,28.440617,11954600
2020-03-18,28.059999,29.540001,26.400000,28.760000,27.292364,10176600
2020-03-19,28.459999,31.320000,27.700001,30.000000,28.469088,7907500
2020-03-20,30.299999,31.309999,28.870001,29.070000,27.586544,9555900
2020-03-23,28.809999,28.959999,26.930000,27.490000,26.087173,8555200
2020-03-24,29.209999,31.590000,29.170000,31.000000,29.418056,9411600
2020-03-25,31.510000,32.889999,29.510000,31.639999,30.025398,9866600
2020-03-26,31.930000,33.169998,30.930000,33.000000,31.315996,8440900
2020-03-27,31.629999,33.529999,31.280001,32.540001,30.879469,5764500
2020-03-30,32.599998,34.180000,31.719999,34.000000,32.264969,6232200
2020-03-31,33.560001,34.880001,33.290001,33.680000,31.961296,7047300
2020-04-01,31.950001,33.099998,31.379999,32.700001,31.031309,7727200
2020-04-02,32.400002,33.950001,32.070000,33.639999,31.923332,6709700
2020-04-03,33.459999,34.230000,32.959999,33.750000,32.027725,5085400
2020-04-06,35.630001,35.720001,34.450001,35.240002,33.441689,6782000
2020-04-07,37.180000,37.310001,34.740002,34.799999,33.024136,8191400
2020-04-08,35.090000,35.900002,34.709999,35.650002,33.830761,5860600
2020-04-09,36.340000,37.880001,36.169998,37.139999,35.244728,8037800
2020-04-13,36.980000,37.000000,35.410000,36.000000,34.162907,7002800
2020-04-14,36.730000,36.950001,35.500000,36.340000,34.485558,5368300
2020-04-15,34.910000,35.189999,34.430000,34.630001,32.862816,5291500
2020-04-16,37.240002,37.770000,35.520000,36.139999,34.295761,9772300
2020-04-17,37.470001,37.779999,36.820000,37.389999,35.481972,8579700
2020-04-20,36.750000,36.869999,35.900002,36.410000,34.551987,6156100
2020-04-21,35.330002,36.099998,34.869999,35.209999,33.413216,6780000
2020-04-22,35.910000,35.910000,35.150002,35.520000,33.707401,4128400
2020-04-23,35.709999,35.950001,35.099998,35.320000,33.517601,4287700
2020-04-24,35.750000,36.080002,35.080002,35.759998,33.935150,4126800
2020-04-27,35.849998,37.230000,35.689999,36.939999,35.361481,5342600
2020-04-28,38.070000,38.250000,37.320000,37.400002,35.801826,3929100
2020-04-29,38.389999,38.389999,37.430000,38.020000,36.395332,7789900
2020-04-30,37.279999,37.720001,36.930000,37.540001,35.935841,4397300
2020-05-01,36.650002,36.740002,35.849998,36.000000,34.461655,4005200
2020-05-04,35.650002,35.740002,35.060001,35.540001,34.021309,4139300
2020-05-05,36.029999,36.180000,35.130001,35.139999,33.638401,3679600
2020-05-06,35.400002,35.540001,34.490002,34.500000,33.025753,5061400
2020-05-07,34.980000,35.849998,34.700001,34.849998,33.360786,5595100
2020-05-08,35.560001,35.619999,34.820000,35.340000,33.829849,4756900
2020-05-11,34.830002,34.910000,34.389999,34.450001,32.977886,5014500
2020-05-12,34.580002,34.810001,32.980000,32.990002,31.580273,6567800
2020-05-13,32.619999,32.730000,31.650000,32.490002,31.101641,6877100
2020-05-14,31.959999,32.599998,31.240000,32.439999,31.053774,7074400
2020-05-15,32.060001,32.380001,31.700001,32.060001,30.690014,4121500
2020-05-18,33.060001,33.950001,32.759998,33.730000,32.288647,6943300
2020-05-19,33.580002,33.959999,33.110001,33.520000,32.087620,5591300
2020-05-20,34.060001,34.959999,34.009998,34.840000,33.351223,6587000
