Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,144.490005,144.490005,141.779999,143.880005,140.704117,1333700
2020-01-03,141.990005,143.440002,141.809998,142.149994,139.012283,883200
2020-01-06,141.000000,141.649994,140.289993,141.080002,137.965927,1014400
2020-01-07,141.190002,141.779999,140.660004,140.919998,137.809418,801300
2020-01-08,141.009995,141.839996,140.320007,140.710007,137.604080,1034200
2020-01-09,141.279999,143.000000,141.050003,141.970001,138.836273,943900
2020-01-10,142.419998,143.929993,141.229996,142.360001,139.217651,668400
2020-01-13,142.759995,143.720001,141.860001,143.350006,140.185822,1364500
2020-01-14,143.350006,145.059998,142.789993,143.960007,140.782333,863500
2020-01-15,143.889999,145.399994,143.440002,144.600006,141.408203,791300
2020-01-16,145.479996,146.089996,143.580002,144.199997,141.017044,834300
2020-01-17,140.889999,141.619995,136.080002,136.850006,133.829285,2357000
2020-01-21,136.139999,138.119995,135.830002,136.080002,133.076294,1619600
2020-01-22,137.179993,138.250000,136.350006,136.580002,133.565247,1131900
2020-01-23,136.580002,138.850006,135.470001,138.729996,135.667770,1175400
2020-01-24,139.039993,139.500000,137.149994,137.919998,134.875656,856900
2020-01-27,135.479996,136.050003,133.759995,133.869995,130.915054,887100
2020-01-28,134.660004,135.729996,133.910004,135.460007,132.469971,1180900
2020-01-29,135.899994,136.470001,134.339996,134.860001,131.883209,746800
2020-01-30,133.240005,134.720001,132.729996,133.830002,130.875931,975100
2020-01-31,133.389999,133.720001,129.919998,130.449997,127.570557,1173000
2020-02-03,130.740005,133.759995,130.539993,132.889999,129.956696,1618000
2020-02-04,134.470001,136.240005,133.990005,136.149994,133.144730,1068800
2020-02-05,137.220001,137.490005,134.889999,136.039993,133.037155,1124300
2020-02-06,134.509995,138.449997,133.679993,134.639999,131.668045,1186700
2020-02-07,134.410004,134.490005,131.169998,132.660004,129.731766,1354400
2020-02-10,132.710007,134.070007,132.500000,133.990005,131.032440,920000
2020-02-11,134.309998,136.179993,133.330002,135.970001,132.968719,1228300
2020-02-12,136.000000,137.559998,135.690002,136.589996,133.575012,1028500
2020-02-13,135.300003,137.309998,134.889999,137.279999,134.249786,1034100
2020-02-14,137.940002,138.960007,137.059998,138.289993,135.237488,1292600
2020-02-18,137.470001,137.660004,133.330002,134.869995,131.892990,1003200
2020-02-19,135.270004,137.360001,135.080002,136.630005,133.614136,667000
2020-02-20,136.529999,138.440002,135.759995,138.240005,135.188614,667900
2020-02-21,137.369995,138.300003,133.149994,133.910004,130.954178,960100
2020-02-24,131.389999,132.869995,128.360001,129.539993,127.041145,1441200
2020-02-25,130.339996,131.070007,124.750000,125.150002,122.735832,1291700
2020-02-26,125.790001,129.169998,124.680000,124.839996,122.431808,1319600
2020-02-27,121.739998,121.980003,116.040001,116.080002,113.840790,1969100
2020-02-28,113.290001,117.870003,110.919998,114.220001,112.016678,2984800
2020-03-02,115.360001,119.980003,113.129997,119.980003,117.665565,2087700
2020-03-03,118.150002,120.910004,113.870003,115.610001,113.379860,1656500
2020-03-04,117.809998,119.260002,115.940002,119.190002,116.890800,1301800
2020-03-05,115.989998,116.769997,111.680000,113.809998,111.614586,1623100
2020-03-06,108.959999,112.010002,108.320000,111.580002,109.427589,1572900
2020-03-09,102.150002,105.519997,98.190002,98.209999,96.315498,2728900
2020-03-10,102.180000,104.089996,99.080002,104.089996,102.082077,2157500
2020-03-11,100.370003,104.639999,100.370003,102.870003,100.885612,2858800
2020-03-12,96.010002,101.379997,91.250000,91.470001,89.705521,2756300
2020-03-13,96.519997,101.379997,92.510002,101.300003,99.345909,2292400
2020-03-16,88.059998,91.580002,85.010002,86.970001,85.292336,2461000
2020-03-17,88.680000,89.470001,84.360001,87.279999,85.596352,2125000
2020-03-18,80.989998,88.580002,75.199997,84.389999,82.762085,2121300
2020-03-19,84.059998,89.449997,78.760002,88.269997,86.567245,1873200
2020-03-20,89.660004,91.029999,79.330002,79.559998,78.025261,1903500
2020-03-23,78.379997,87.000000,73.389999,85.599998,83.948761,2204200
2020-03-24,90.239998,95.480003,88.800003,93.830002,92.019997,2191100
2020-03-25,92.660004,96.790001,90.410004,91.910004,90.137039,1747000
