Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,40.720001,40.779999,40.189999,40.750000,37.101665,2903800
2020-01-03,40.000000,40.160000,39.540001,39.910000,36.336872,2768100
2020-01-06,39.799999,39.799999,39.220001,39.700001,36.145672,2743500
2020-01-07,39.529999,39.799999,39.285000,39.450001,35.918060,3266700
2020-01-08,39.490002,40.014999,39.459999,39.759998,36.200294,5653800
2020-01-09,40.060001,40.165001,39.799999,40.020000,36.437027,2667400
2020-01-10,40.049999,40.080002,39.455002,39.520000,35.981789,2004000
2020-01-13,39.580002,39.970001,39.349998,39.860001,36.291351,3404300
2020-01-14,39.849998,40.150002,39.630001,40.009998,36.427914,2887400
2020-01-15,39.529999,39.549999,38.790001,38.980000,35.490128,4466200
2020-01-16,39.299999,39.730000,39.099998,39.590000,36.045521,5869100
2020-01-17,40.790001,41.290001,40.230000,40.869999,37.210918,7556300
2020-01-21,40.619999,40.669998,40.040001,40.090000,36.500755,4493300
2020-01-22,40.240002,40.439999,40.049000,40.150002,36.555382,5494800
2020-01-23,39.950001,40.099998,39.320000,39.860001,36.291351,4050100
2020-01-24,39.750000,39.860001,38.750000,39.130001,35.626705,4790100
2020-01-27,38.139999,38.639999,38.020000,38.099998,34.688919,4654900
2020-01-28,37.950001,38.404999,37.669998,38.009998,34.964882,3714600
2020-01-29,38.080002,38.299999,37.564999,37.619999,34.606129,2555400
2020-01-30,37.150002,37.990002,37.110001,37.910000,34.872894,9265000
2020-01-31,37.389999,37.724998,37.035000,37.279999,34.293365,5991000
2020-02-03,37.610001,38.044998,37.595001,37.680000,34.661324,4277200
2020-02-04,38.520000,38.919998,38.235001,38.290001,35.222454,2855700
2020-02-05,38.959999,39.549999,38.840000,39.509998,36.344715,2963200
2020-02-06,39.820000,39.869999,38.689999,38.720001,35.618004,3180700
2020-02-07,38.400002,38.660000,38.186001,38.419998,35.342037,2354900
2020-02-10,38.200001,38.540001,38.130001,38.490002,35.406433,2980100
2020-02-11,38.700001,39.270000,38.590000,39.000000,35.875576,2716800
2020-02-12,39.290001,39.459999,38.730000,38.880001,35.765190,2068300
2020-02-13,38.680000,38.950001,38.540001,38.950001,35.829575,3005600
2020-02-14,38.869999,39.035000,38.430000,38.669998,35.572006,2089100
2020-02-18,38.290001,38.549999,37.619999,37.959999,34.918888,4455700
2020-02-19,38.160000,38.549999,37.900002,38.349998,35.277641,4542100
2020-02-20,38.130001,38.939999,38.119999,38.779999,35.673195,3906700
2020-02-21,38.430000,38.490002,37.430000,37.610001,34.596931,3261200
2020-02-24,36.290001,36.439999,35.845001,36.060001,33.171108,4538500
2020-02-25,35.990002,36.075001,34.294998,34.439999,31.680887,6157300
2020-02-26,34.700001,34.799999,33.619999,33.689999,30.990976,6767200
2020-02-27,32.700001,33.785999,32.200001,32.439999,29.841116,7734300
2020-02-28,31.510000,32.320000,30.905001,31.690001,29.151205,12008100
2020-03-02,31.680000,33.340000,31.160000,33.320000,30.650616,8307800
2020-03-03,33.040001,33.580002,31.010000,31.150000,28.654461,10007400
