Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,174.240005,176.880005,173.729996,176.860001,171.961182,1591100
2020-01-03,174.210007,175.759995,173.550003,175.550003,170.687469,1301100
2020-01-06,174.479996,176.880005,173.740005,176.809998,171.912552,1234200
2020-01-07,176.009995,176.440002,173.490005,173.740005,168.927597,1234200
2020-01-08,174.500000,176.779999,173.990005,175.899994,171.027786,1713900
2020-01-09,176.529999,178.389999,176.110001,177.600006,172.680679,1459100
2020-01-10,178.100006,178.399994,173.410004,173.429993,168.626175,2560900
2020-01-13,174.080002,175.039993,173.570007,174.740005,169.899902,1300900
2020-01-14,174.880005,175.050003,173.429993,173.669998,168.859512,1039800
2020-01-15,173.119995,175.149994,172.149994,172.919998,168.130310,1139200
2020-01-16,174.000000,175.559998,173.050003,175.470001,170.609650,1410400
2020-01-17,175.710007,177.009995,175.529999,176.199997,171.319473,1653400
2020-01-21,175.100006,175.429993,172.389999,172.559998,167.780289,1655100
2020-01-22,173.070007,173.660004,170.619995,171.160004,166.419052,1285700
2020-01-23,170.279999,172.179993,168.660004,172.059998,167.294113,1245100
2020-01-24,172.050003,172.050003,169.039993,170.119995,165.407883,1103300
2020-01-27,166.179993,167.990005,162.929993,163.279999,158.757324,1586800
2020-01-28,164.800003,165.669998,162.399994,162.979996,158.465652,1750700
2020-01-29,163.910004,163.910004,160.000000,160.160004,155.723770,1959200
2020-01-30,159.000000,161.839996,158.539993,161.110001,156.647430,2496400
2020-01-31,159.720001,161.220001,157.330002,158.580002,154.187515,1693300
2020-02-03,159.440002,161.429993,157.279999,158.289993,153.905548,1813400
2020-02-04,161.330002,165.119995,160.649994,164.429993,159.875458,1412200
2020-02-05,167.429993,168.770004,166.509995,168.350006,163.686920,1476900
2020-02-06,168.750000,169.149994,166.050003,168.860001,164.182785,1805100
2020-02-07,167.419998,168.899994,166.660004,167.449997,162.811829,1711100
2020-02-10,166.460007,168.289993,166.130005,168.240005,163.579941,807700
2020-02-11,169.100006,171.059998,168.600006,170.259995,165.543961,1315700
2020-02-12,172.000000,173.199997,170.210007,171.830002,167.070496,1008200
2020-02-13,170.860001,171.910004,169.860001,170.759995,166.030106,831100
2020-02-14,170.830002,172.309998,167.179993,168.070007,163.414658,1152400
2020-02-18,167.399994,167.440002,164.210007,166.300003,161.693665,1177400
2020-02-19,166.500000,167.240005,164.850006,164.929993,160.361603,1244600
2020-02-20,164.759995,166.750000,164.500000,165.830002,161.236694,2048500
2020-02-21,177.910004,181.990005,176.000000,177.429993,172.515366,5917100
2020-02-24,172.509995,176.360001,171.500000,171.860001,167.099655,2292900
2020-02-25,172.179993,172.949997,165.800003,166.649994,162.033966,2358500
2020-02-26,168.279999,169.380005,165.610001,166.919998,162.296524,2545200
2020-02-27,164.399994,166.550003,159.960007,159.990005,155.558487,2957500
2020-02-28,155.289993,158.919998,152.660004,156.479996,152.145660,3048300
2020-03-02,157.919998,164.000000,156.550003,163.919998,159.379608,2532100
2020-03-03,164.339996,167.869995,157.000000,157.779999,153.409668,2443100
2020-03-04,161.240005,163.289993,160.520004,163.070007,158.553146,2513800
2020-03-05,158.830002,162.190002,157.919998,159.070007,154.663956,1878400
2020-03-06,154.199997,164.940002,153.669998,164.039993,159.496277,2973400
2020-03-09,152.009995,158.250000,147.130005,150.000000,145.845169,2886400
2020-03-10,155.619995,156.330002,148.009995,154.990005,150.696960,2797700
2020-03-11,150.850006,151.160004,143.850006,145.880005,141.839279,2397300
2020-03-12,135.000000,136.539993,128.089996,130.389999,126.778358,3288700
2020-03-13,137.929993,139.289993,130.529999,138.960007,135.110977,2525500
2020-03-16,123.900002,132.869995,119.839996,120.050003,116.724754,2617700
2020-03-17,122.800003,129.460007,119.070000,126.709999,123.200287,2909600
2020-03-18,117.820000,120.550003,106.139999,114.209999,111.046509,2635000
2020-03-19,112.900002,120.739998,106.250000,119.660004,116.345551,2455700
2020-03-20,119.660004,120.610001,110.339996,111.629997,108.537956,4155200
2020-03-23,110.269997,115.570000,106.519997,111.150002,108.071266,3130900
2020-03-24,117.370003,126.660004,112.699997,126.000000,122.509941,3488000
2020-03-25,125.879997,136.729996,121.839996,128.490005,124.930977,3962200
2020-03-26,129.350006,140.149994,127.139999,139.089996,135.237335,2227500
2020-03-27,135.000000,139.169998,132.160004,135.110001,131.367615,2302600
2020-03-30,136.720001,141.699997,134.559998,141.229996,138.094879,2251100
2020-03-31,141.990005,145.000000,137.250000,138.160004,135.093018,2240100
2020-04-01,132.179993,134.729996,129.679993,133.669998,130.702698,2040600
2020-04-02,133.309998,139.910004,132.860001,139.380005,136.285950,2863800
2020-04-03,138.479996,139.350006,132.130005,135.520004,132.511627,2053100
2020-04-06,141.580002,144.869995,139.720001,143.490005,140.304718,2079300
2020-04-07,148.000000,151.649994,142.539993,142.820007,139.649582,2067500
2020-04-08,145.080002,147.820007,142.610001,146.770004,143.511902,1210100
2020-04-09,147.279999,150.210007,144.130005,145.750000,142.514542,1596100
2020-04-13,141.779999,142.750000,136.869995,139.800003,136.696625,1655900
2020-04-14,140.309998,142.229996,135.160004,138.130005,135.063690,2479800
2020-04-15,133.119995,135.330002,127.550003,135.309998,132.306305,2938200
2020-04-16,134.250000,135.490005,128.509995,129.949997,127.065254,3642700
2020-04-17,133.539993,138.550003,133.009995,138.460007,135.386383,2468300
2020-04-20,135.839996,140.259995,133.759995,137.300003,134.252121,1974900
2020-04-21,133.990005,135.190002,132.500000,134.059998,131.084061,1958500
