Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,140.669998,142.580002,139.490005,142.389999,140.051025,832900
2020-01-03,140.190002,143.050003,140.190002,142.869995,140.523132,710600
2020-01-06,142.110001,143.529999,141.710007,143.479996,141.123108,729200
2020-01-07,143.580002,143.809998,142.360001,143.210007,140.857574,578100
2020-01-08,143.559998,147.240005,143.509995,146.279999,143.877151,1165600
2020-01-09,147.080002,148.259995,146.550003,147.979996,145.549210,703100
2020-01-10,148.309998,148.309998,146.479996,146.720001,144.309906,591200
2020-01-13,146.809998,148.850006,146.809998,148.589996,146.149170,571300
2020-01-14,148.250000,148.710007,147.110001,147.179993,144.762329,662900
2020-01-15,147.240005,150.169998,146.729996,149.770004,147.309814,681100
2020-01-16,150.809998,151.179993,149.399994,151.020004,148.539261,560900
2020-01-17,151.419998,153.619995,150.460007,153.029999,150.516251,836700
2020-01-21,152.529999,154.479996,151.759995,154.339996,151.804733,910000
2020-01-22,154.679993,155.429993,153.720001,154.750000,152.207993,678100
2020-01-23,154.089996,155.039993,152.630005,154.949997,152.404709,474000
2020-01-24,155.320007,155.399994,153.199997,154.009995,151.480148,589000
2020-01-27,151.619995,153.509995,150.399994,153.029999,150.516251,476900
2020-01-28,153.559998,155.250000,153.029999,154.649994,152.109619,1033400
2020-01-29,155.250000,155.699997,154.039993,154.419998,151.883408,487800
2020-01-30,153.309998,154.190002,151.009995,152.729996,150.221161,760000
2020-01-31,151.619995,152.440002,148.979996,149.899994,147.437653,751400
2020-02-03,150.699997,152.509995,150.539993,152.270004,149.768753,527400
2020-02-04,154.190002,155.820007,153.740005,155.339996,152.788300,579600
2020-02-05,156.419998,157.089996,155.100006,155.889999,153.329269,493000
2020-02-06,156.889999,156.949997,155.750000,155.970001,153.407944,472800
2020-02-07,155.529999,156.210007,155.199997,155.610001,153.053879,479900
2020-02-10,155.080002,155.690002,153.679993,154.720001,152.178497,606900
2020-02-11,155.990005,155.990005,153.210007,153.309998,150.791641,571000
2020-02-12,153.220001,154.960007,151.619995,154.520004,151.981766,1285600
2020-02-13,155.860001,164.770004,153.520004,162.259995,159.594635,1751900
2020-02-14,163.000000,164.389999,162.050003,162.960007,160.283127,900200
2020-02-18,162.600006,162.600006,159.289993,159.630005,157.007843,923100
2020-02-19,160.119995,162.289993,159.770004,161.880005,159.220886,789800
2020-02-20,161.559998,162.089996,159.199997,161.429993,158.778214,565600
2020-02-21,160.479996,161.320007,158.779999,159.529999,156.909470,786600
2020-02-24,154.949997,157.929993,154.410004,155.699997,153.142365,988500
2020-02-25,156.740005,157.000000,150.759995,152.190002,149.690033,951300
2020-02-26,153.350006,155.559998,151.600006,153.389999,150.870346,873200
2020-02-27,150.559998,152.089996,145.009995,145.089996,142.706696,1003000
2020-02-28,139.940002,143.529999,138.500000,142.039993,139.706787,1611500
2020-03-02,143.970001,151.029999,143.050003,150.869995,148.391724,1220000
2020-03-03,150.330002,154.369995,148.899994,151.270004,149.170761,1529100
2020-03-04,153.970001,163.039993,152.600006,162.869995,160.609787,1500700
2020-03-05,158.929993,161.029999,155.679993,158.250000,156.053894,1703300
2020-03-06,153.419998,155.970001,149.360001,154.179993,152.040375,1496700
2020-03-09,144.270004,148.320007,141.240005,141.690002,139.723724,1331800
2020-03-10,145.770004,152.869995,143.059998,152.860001,150.738708,1249700
2020-03-11,148.440002,152.029999,140.990005,145.479996,143.461121,1627200
2020-03-12,134.600006,139.759995,129.440002,135.470001,133.590027,2160400
2020-03-13,140.419998,142.419998,130.710007,140.710007,138.757309,1713400
2020-03-16,128.679993,131.740005,120.680000,128.929993,127.140793,1559300
2020-03-17,131.809998,136.339996,128.970001,134.000000,132.140411,1669000
2020-03-18,123.849998,127.169998,107.809998,124.110001,122.387680,1862200
2020-03-19,122.699997,122.699997,107.220001,115.410004,113.808418,1724700
2020-03-20,117.000000,118.000000,105.349998,105.650002,104.183853,1240400
2020-03-23,104.599998,110.980003,103.010002,104.620003,103.168159,1525600
2020-03-24,108.379997,114.930000,107.150002,113.660004,112.082703,1390900
2020-03-25,113.339996,119.470001,108.309998,115.720001,114.114120,1392300
2020-03-26,117.419998,122.209999,117.029999,121.650002,119.961800,902600
2020-03-27,118.190002,123.220001,117.070000,119.550003,117.890968,749900
2020-03-30,120.709999,124.610001,119.620003,122.099998,120.405571,940900
2020-03-31,121.239998,122.910004,119.040001,119.449997,117.792343,1161800
2020-04-01,115.440002,117.209999,112.550003,113.470001,111.895332,1087600
2020-04-02,112.040001,114.239998,107.040001,109.309998,107.793060,1164800
2020-04-03,108.250000,112.089996,105.660004,106.620003,105.140388,792400
2020-04-06,111.290001,114.959999,110.260002,113.849998,112.270058,1030300
2020-04-07,120.629997,123.339996,116.019997,116.239998,114.626884,1279400
2020-04-08,117.410004,124.169998,115.680000,122.680000,120.977524,747900
2020-04-09,123.389999,128.000000,123.199997,124.220001,122.496147,873400
2020-04-13,123.230003,124.070000,118.580002,121.419998,119.735008,1160100
2020-04-14,123.309998,130.509995,121.129997,129.789993,127.988831,1210300
2020-04-15,126.690002,127.739998,124.029999,124.260002,122.535591,849600
2020-04-16,124.940002,125.610001,120.550003,122.000000,120.306953,950300
2020-04-17,124.190002,128.119995,124.190002,127.970001,126.194115,1046100
2020-04-20,126.440002,130.669998,123.410004,125.809998,124.064079,1469300
2020-04-21,126.000000,133.559998,122.190002,130.039993,128.235367,2590700
2020-04-22,130.889999,132.910004,128.229996,132.490005,130.651382,1136200
2020-04-23,132.419998,133.789993,131.080002,131.320007,129.497620,785500
2020-04-24,131.360001,131.710007,129.389999,131.419998,129.596222,615100
2020-04-27,132.850006,138.529999,132.399994,138.089996,136.173676,884400
2020-04-28,140.600006,143.210007,138.699997,140.679993,138.727707,795000
2020-04-29,142.919998,144.589996,140.639999,143.500000,141.508575,783700
2020-04-30,141.729996,142.139999,138.619995,138.899994,136.972443,1043200
2020-05-01,137.160004,138.630005,135.850006,137.889999,135.976440,702500
2020-05-04,136.759995,141.910004,135.639999,141.710007,139.743439,874200
2020-05-05,142.410004,147.839996,142.410004,146.619995,144.585297,980200
2020-05-06,147.020004,148.100006,145.690002,146.259995,144.230286,703200
2020-05-07,148.320007,149.880005,147.440002,148.309998,146.251846,661200
2020-05-08,148.820007,150.710007,148.520004,149.380005,147.306976,506200
2020-05-11,148.649994,149.720001,147.330002,147.539993,145.492523,1118800
2020-05-12,147.250000,148.369995,145.289993,145.470001,143.451248,996300
2020-05-13,145.000000,145.289993,141.149994,142.899994,140.916901,921700
2020-05-14,141.479996,145.169998,140.789993,145.039993,143.027222,879500
2020-05-15,143.490005,145.460007,142.320007,144.419998,142.415817,1478600
2020-05-18,148.240005,149.119995,145.130005,146.100006,144.072540,1085600
2020-05-19,146.039993,147.919998,145.720001,146.210007,144.181000,729400
2020-05-20,148.000000,150.979996,148.000000,149.509995,147.435196,871900
2020-05-21,148.250000,149.199997,146.080002,146.699997,145.042511,608400
2020-05-22,146.080002,147.880005,146.080002,147.029999,145.368805,734600
2020-05-26,149.720001,153.759995,149.039993,151.250000,149.541107,1125300
2020-05-27,152.960007,154.229996,149.619995,150.899994,149.195068,1808800
2020-05-28,152.660004,155.970001,151.360001,154.000000,152.260071,1749800
2020-05-29,154.830002,155.199997,151.270004,153.559998,151.825043,1431800
2020-06-01,153.830002,156.649994,153.259995,155.050003,153.298187,949800
2020-06-02,155.820007,167.389999,154.080002,167.119995,165.231827,1638000
2020-06-03,168.720001,174.080002,166.710007,174.009995,172.043991,1415900
2020-06-04,172.820007,177.190002,172.820007,176.570007,174.575058,1224900
2020-06-05,178.759995,179.740005,174.520004,177.009995,175.010086,1095500
2020-06-08,175.860001,180.070007,174.779999,179.449997,177.422501,1074100
2020-06-09,177.910004,177.929993,172.630005,175.029999,173.052444,1078000
2020-06-10,175.880005,176.779999,174.389999,175.039993,173.062347,833400
2020-06-11,172.440002,174.059998,166.580002,168.649994,166.744537,1002900
2020-06-12,172.309998,173.389999,164.389999,167.979996,166.082092,793200
2020-06-15,164.440002,169.089996,163.809998,168.960007,167.051056,841600
2020-06-16,173.160004,173.740005,167.630005,169.740005,167.822250,758200
2020-06-17,170.419998,172.820007,168.850006,170.470001,168.543961,626700
2020-06-18,169.419998,172.289993,168.710007,170.839996,168.909775,895700
2020-06-19,172.839996,173.279999,167.320007,167.899994,166.002991,934600
2020-06-22,168.110001,172.110001,167.289993,171.369995,169.433792,520100
2020-06-23,172.070007,172.789993,170.759995,171.630005,169.690887,513200
2020-06-24,170.399994,171.389999,166.020004,166.169998,164.292542,665400
2020-06-25,165.639999,168.119995,163.389999,167.940002,166.042557,465000
2020-06-26,167.410004,168.520004,165.869995,167.529999,165.637192,1111600
2020-06-29,167.830002,168.860001,165.699997,167.720001,165.825043,443100
2020-06-30,167.009995,172.639999,166.720001,171.880005,169.938049,823900
2020-07-01,172.399994,175.059998,172.270004,173.570007,171.608963,682700
2020-07-02,174.919998,175.940002,171.830002,171.899994,169.957809,689600
2020-07-06,173.729996,174.589996,171.250000,171.550003,169.611771,884400
2020-07-07,171.089996,172.619995,168.039993,168.699997,166.793961,1332900
2020-07-08,168.470001,170.110001,168.470001,169.100006,167.189468,750400
2020-07-09,168.669998,169.350006,160.339996,161.789993,159.962006,1839500
2020-07-10,161.130005,163.479996,160.559998,163.110001,161.267120,679600
2020-07-13,165.089996,166.669998,163.020004,163.639999,161.791138,708800
2020-07-14,162.869995,164.039993,161.449997,163.440002,161.593399,845200
2020-07-15,165.169998,165.800003,163.380005,164.940002,163.076462,715600
2020-07-16,164.820007,165.669998,162.779999,165.210007,163.343414,628300
2020-07-17,166.139999,167.520004,165.179993,166.800003,164.915451,785900
2020-07-20,166.460007,168.869995,166.089996,167.800003,165.904144,864200
2020-07-21,168.380005,169.080002,165.800003,166.330002,164.450760,771100
2020-07-22,166.589996,169.210007,166.470001,168.009995,166.111755,1231100
2020-07-23,175.000000,181.759995,174.369995,176.639999,174.644257,2603400
2020-07-24,176.960007,176.960007,165.610001,167.160004,165.271362,1315500
2020-07-27,167.869995,168.160004,163.750000,165.360001,163.491714,978200
2020-07-28,165.429993,166.199997,162.240005,162.380005,160.545395,916100
2020-07-29,162.039993,166.059998,162.039993,165.630005,163.758682,572500
2020-07-30,163.699997,164.630005,162.119995,163.429993,161.583511,487100
2020-07-31,163.869995,164.429993,160.460007,162.559998,160.723328,525300
2020-08-03,163.259995,163.740005,161.649994,162.860001,161.019943,411700
2020-08-04,162.460007,163.479996,160.220001,160.750000,158.933792,524000
2020-08-05,161.839996,163.179993,161.770004,162.619995,160.782669,458400
2020-08-06,162.100006,163.139999,162.100006,162.779999,160.940857,387500
2020-08-07,163.100006,166.720001,162.610001,166.639999,164.757233,594900
2020-08-10,166.389999,167.149994,163.970001,164.669998,162.809494,808500
2020-08-11,165.429993,167.369995,161.910004,164.500000,162.641434,981200
2020-08-12,165.130005,168.279999,165.130005,166.860001,164.974762,389900
2020-08-13,165.490005,167.589996,165.490005,166.740005,164.856125,386400
2020-08-14,166.119995,167.100006,163.929993,164.740005,162.878723,321000
2020-08-17,165.889999,166.539993,164.320007,164.369995,162.512894,366100
2020-08-18,164.470001,166.600006,164.020004,164.800003,162.938019,709600
2020-08-19,165.100006,165.199997,161.259995,161.820007,159.991714,523100
2020-08-20,160.699997,162.029999,159.800003,161.460007,159.635773,598700
2020-08-21,160.610001,161.000000,158.289993,159.330002,157.529831,730800
2020-08-24,159.509995,159.820007,157.220001,159.380005,157.965927,1183000
2020-08-25,160.080002,161.199997,159.119995,160.179993,158.758820,558200
2020-08-26,159.660004,162.399994,159.369995,161.270004,159.839172,1112200
2020-08-27,162.199997,167.050003,161.660004,166.190002,164.715500,713700
2020-08-28,166.250000,169.039993,165.020004,168.369995,166.876160,709500
2020-08-31,168.210007,168.839996,165.639999,168.270004,166.777069,676100
2020-09-01,167.429993,169.250000,166.490005,168.690002,167.193329,623100
2020-09-02,169.639999,174.720001,169.020004,174.130005,172.585068,515500
2020-09-03,173.250000,174.169998,167.339996,168.850006,167.351913,531500
2020-09-04,170.539993,171.529999,165.600006,166.389999,164.913742,769600
2020-09-08,164.869995,166.339996,160.320007,163.820007,162.366562,1308900
2020-09-09,166.500000,169.910004,164.880005,167.699997,166.212097,989200
2020-09-10,167.440002,169.350006,161.350006,161.690002,160.255432,1129100
2020-09-11,162.380005,162.919998,160.279999,162.550003,161.107819,915200
2020-09-14,164.440002,165.429993,163.240005,163.320007,161.870987,823300
2020-09-15,164.449997,164.589996,159.520004,160.229996,158.808395,562800
2020-09-16,160.720001,161.369995,158.750000,159.119995,157.708221,647800
2020-09-17,157.380005,159.350006,155.539993,159.160004,157.747879,970000
2020-09-18,158.139999,159.119995,154.399994,155.919998,154.536621,1019700
2020-09-21,154.070007,155.160004,152.210007,155.100006,153.723907,817800
2020-09-22,155.520004,157.419998,155.320007,156.089996,154.705139,622000
2020-09-23,156.339996,156.529999,151.000000,152.160004,150.809967,581100
2020-09-24,151.880005,153.570007,150.529999,151.940002,150.591934,466000
2020-09-25,150.910004,156.860001,150.910004,156.410004,155.022278,729900
2020-09-28,158.679993,159.429993,157.479996,158.110001,156.707199,462900
2020-09-29,158.600006,161.179993,157.610001,157.839996,156.439590,374500
2020-09-30,158.259995,159.190002,156.110001,156.899994,155.507935,534100
2020-10-01,157.570007,158.940002,157.020004,158.009995,156.608078,588900
2020-10-02,156.699997,160.710007,155.789993,158.960007,157.549667,481300
2020-10-05,159.229996,160.360001,158.240005,159.869995,158.451569,394900
2020-10-06,161.190002,161.460007,156.699997,157.270004,155.874664,732400
2020-10-07,159.029999,161.470001,158.250000,161.070007,159.640930,624200
2020-10-08,162.440002,165.559998,161.789993,161.789993,160.354507,407100
2020-10-09,163.210007,165.339996,161.690002,164.279999,162.822449,319700
