Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,302.230011,303.309998,295.859985,298.279999,279.752350,412400
2020-01-03,297.160004,301.589996,296.500000,301.200012,282.491028,400700
2020-01-06,300.619995,301.940002,298.750000,300.000000,281.365540,369200
2020-01-07,298.309998,299.690002,294.540009,296.329987,277.923492,327200
2020-01-08,296.829987,299.589996,295.890015,298.040009,279.527252,450500
2020-01-09,298.079987,299.809998,297.149994,299.459991,280.859039,505900
2020-01-10,300.209991,303.279999,299.200012,302.399994,283.616455,736400
2020-01-13,302.089996,306.079987,302.089996,305.500000,286.523895,420300
2020-01-14,304.399994,305.000000,300.190002,301.820007,283.072479,335100
2020-01-15,302.500000,305.339996,301.279999,302.829987,284.019745,428600
2020-01-16,303.619995,306.250000,302.510010,306.029999,287.020966,292100
2020-01-17,305.459991,308.929993,304.329987,308.869995,289.684601,383700
2020-01-21,309.989990,312.609985,308.950012,311.500000,292.151245,410600
2020-01-22,312.890015,314.329987,307.380005,309.850006,290.603699,429300
2020-01-23,309.429993,313.500000,307.410004,312.510010,293.098480,487300
2020-01-24,312.899994,313.350006,308.390015,309.470001,290.247314,279800
2020-01-27,309.160004,312.040009,308.170013,308.940002,289.750214,560800
2020-01-28,305.750000,310.359985,303.989990,308.410004,289.253113,516500
2020-01-29,309.230011,309.399994,303.500000,303.500000,284.648132,584200
2020-01-30,304.429993,314.679993,303.970001,312.130005,292.742096,1170700
2020-01-31,311.600006,313.690002,307.839996,309.760010,290.519287,1736600
2020-02-03,311.010010,313.410004,309.019989,311.390015,292.048096,515800
2020-02-04,311.899994,321.299988,309.989990,311.579987,292.226227,395100
2020-02-05,311.380005,313.640015,309.019989,310.019989,290.763123,409000
2020-02-06,310.799988,315.820007,310.059998,314.739990,295.189941,440600
2020-02-07,315.730011,316.359985,313.790009,314.790009,295.236847,328200
2020-02-10,316.510010,317.640015,314.799988,317.339996,297.628418,667500
2020-02-11,317.019989,320.170013,316.579987,317.829987,298.088013,269600
2020-02-12,317.929993,320.420013,316.059998,319.179993,299.354156,339300
2020-02-13,318.609985,322.059998,318.609985,321.510010,301.539429,328800
2020-02-14,322.869995,325.410004,322.670013,324.170013,304.034210,477300
2020-02-18,325.470001,325.940002,319.640015,323.920013,303.799744,446300
2020-02-19,323.589996,323.609985,320.670013,321.630005,301.652008,243400
2020-02-20,322.299988,326.730011,319.700012,326.109985,305.853699,378500
2020-02-21,325.989990,329.739990,325.989990,329.029999,308.592316,463100
2020-02-24,327.619995,329.690002,324.920013,325.809998,305.572327,412600
2020-02-25,326.299988,326.589996,317.140015,317.910004,298.163055,435800
