Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,17.700001,17.799999,17.020000,17.280001,16.658602,8227500
2020-01-03,17.170000,17.500000,17.020000,17.440001,16.812847,4817300
2020-01-06,17.340000,18.490000,17.309999,18.280001,17.622639,8955700
2020-01-07,17.980000,18.500000,17.850000,18.030001,17.615799,8673300
2020-01-08,18.110001,18.420000,17.840000,18.070000,17.654881,4472900
2020-01-09,17.940001,17.990000,17.200001,17.430000,17.029581,5468100
2020-01-10,17.440001,17.830000,17.370001,17.799999,17.391083,4168800
2020-01-13,17.799999,18.160000,17.590000,17.980000,17.566948,5117000
2020-01-14,17.990000,18.299999,17.920000,18.139999,17.723270,3111800
2020-01-15,18.059999,18.160000,17.889999,17.920000,17.508326,3058400
2020-01-16,18.040001,18.639999,17.920000,18.610001,18.182474,8209400
2020-01-17,18.820000,18.920000,18.200001,18.530001,18.104313,9408100
2020-01-21,18.530001,18.530001,18.020000,18.150000,17.733044,6271500
2020-01-22,18.270000,18.299999,17.950001,17.959999,17.547407,3897400
2020-01-23,17.850000,17.900000,17.500000,17.809999,17.400852,3338100
2020-01-24,17.840000,17.990000,17.469999,17.660000,17.254299,4700200
2020-01-27,17.340000,17.889999,17.250000,17.690001,17.283609,4149000
2020-01-28,17.840000,18.270000,17.700001,18.129999,17.713501,3929900
2020-01-29,18.299999,18.480000,18.080000,18.110001,17.693960,3425900
2020-01-30,17.920000,18.180000,17.850000,18.120001,17.703732,4456700
2020-01-31,18.080000,18.120001,17.160000,17.410000,17.010042,7634900
2020-02-03,17.450001,18.059999,17.230000,17.450001,17.049124,4689500
2020-02-04,17.820000,18.090000,17.750000,17.799999,17.391083,4240300
2020-02-05,18.100000,18.730000,18.020000,18.680000,18.250868,5776900
2020-02-06,18.879999,18.990000,18.490000,18.490000,18.065231,3829700
2020-02-07,18.379999,18.379999,17.719999,17.850000,17.439936,4743600
2020-02-10,17.870001,17.969999,17.600000,17.660000,17.254299,2258900
2020-02-11,17.820000,17.820000,17.510000,17.629999,17.224987,4361900
2020-02-12,17.940001,18.500000,17.840000,18.459999,18.035919,4102100
2020-02-13,18.290001,18.360001,17.879999,18.330000,17.908907,6381600
2020-02-14,18.290001,18.430000,18.070000,18.139999,17.723270,4745800
2020-02-18,18.090000,18.090000,17.209999,17.400000,17.000273,5164200
2020-02-19,17.379999,17.430000,16.980000,17.180000,16.785326,4774900
2020-02-20,17.129999,17.629999,17.010000,17.469999,17.068663,3831300
2020-02-21,17.330000,17.590000,16.990000,17.059999,16.668081,4093000
2020-02-24,16.410000,16.610001,16.090000,16.290001,15.915772,7992500
2020-02-25,16.389999,16.389999,15.270000,15.370000,15.016907,9900000
2020-02-26,15.650000,15.730000,14.690000,14.700000,14.362299,7456000
2020-02-27,14.270000,14.840000,13.470000,14.190000,13.864015,11351300
2020-02-28,13.760000,14.490000,13.720000,14.330000,14.000798,11432700
2020-03-02,14.360000,14.480000,13.490000,14.030000,13.707690,12373800
2020-03-03,14.080000,14.680000,13.670000,13.820000,13.502515,9841500
2020-03-04,13.950000,14.290000,13.730000,14.280000,13.951946,7287500
2020-03-05,13.880000,13.990000,13.160000,13.360000,13.053082,7536800
2020-03-06,12.860000,13.500000,12.630000,13.190000,12.886988,7394900
2020-03-09,12.290000,12.360000,11.540000,11.770000,11.499610,8322700
2020-03-10,12.250000,12.690000,11.640000,12.430000,12.144447,8773900
2020-03-11,12.030000,12.090000,10.930000,10.970000,10.717987,13851400
2020-03-12,10.040000,10.420000,9.350000,10.070000,9.838663,14243300
2020-03-13,10.790000,11.360000,10.290000,10.810000,10.561663,17753200
2020-03-16,9.320000,9.770000,7.750000,8.340000,8.148407,18884800
2020-03-17,8.380000,8.540000,6.790000,8.350000,8.158177,17251400
2020-03-18,7.690000,8.980000,6.800000,7.890000,7.708744,14057000
2020-03-19,7.660000,8.590000,7.220000,8.070000,7.884609,10645900
2020-03-20,8.280000,8.530000,7.120000,7.220000,7.054135,11055800
2020-03-23,7.130000,7.230000,6.040000,6.280000,6.135731,13734800
2020-03-24,6.900000,8.230000,6.620000,8.130000,7.943230,11112600
2020-03-25,8.520000,9.700000,7.780000,8.980000,8.773704,12523000
2020-03-26,9.060000,9.340000,8.430000,8.450000,8.255878,10839800
2020-03-27,7.820000,8.000000,7.400000,7.790000,7.611042,8422300
2020-03-30,7.650000,7.670000,7.120000,7.420000,7.249541,7686100
2020-03-31,7.190000,7.430000,6.900000,7.040000,6.878271,9529200
