Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,45.139999,45.349998,44.040001,44.310001,42.297089,2405700
2020-01-03,44.230000,44.570000,44.009998,44.250000,42.239811,1858700
2020-01-06,44.299999,44.650002,44.220001,44.270000,42.258900,2276200
2020-01-07,44.200001,44.669998,44.130001,44.540001,42.516636,2076400
2020-01-08,44.509998,44.770000,44.509998,44.590000,42.564365,2016700
2020-01-09,44.720001,44.759998,44.299999,44.490002,42.468906,2242900
2020-01-10,44.400002,45.250000,44.330002,44.900002,43.085930,2356600
2020-01-13,45.020000,45.910000,45.000000,45.900002,44.045525,2379100
2020-01-14,45.830002,45.840000,45.040001,45.450001,43.613705,2676200
2020-01-15,45.570000,45.849998,45.299999,45.299999,43.469769,1558900
2020-01-16,45.369999,46.150002,45.299999,46.020000,44.160675,2061100
2020-01-17,46.099998,46.700001,46.000000,46.299999,44.429363,3373300
2020-01-21,46.340000,47.060001,46.330002,46.950001,45.053101,4061300
2020-01-22,46.990002,47.369999,46.430000,46.570000,44.688454,2262100
2020-01-23,46.560001,47.230000,46.369999,46.990002,45.091492,2872300
2020-01-24,47.160000,47.230000,46.750000,47.230000,45.321789,1667200
2020-01-27,47.150002,47.490002,46.709999,46.820000,44.928352,2318900
2020-01-28,46.750000,47.189999,46.689999,47.049999,45.149063,1441700
2020-01-29,47.080002,47.520000,46.919998,47.320000,45.408150,2281300
2020-01-30,47.310001,47.980000,47.090000,47.880001,45.945526,2476400
2020-01-31,47.799999,48.009998,47.139999,47.259998,45.350578,3577500
2020-02-03,47.410000,47.779999,47.299999,47.430000,45.513699,1898200
2020-02-04,47.630001,47.980000,47.540001,47.549999,45.628853,1688700
2020-02-05,47.730000,47.849998,47.360001,47.389999,45.475319,2133800
2020-02-06,47.060001,47.500000,46.509998,46.889999,44.995525,3810000
2020-02-07,46.889999,47.240002,46.610001,47.090000,45.187443,1654500
2020-02-10,47.080002,47.349998,47.000000,47.330002,45.417747,1616000
2020-02-11,47.400002,47.730000,47.169998,47.480000,45.561691,1512300
2020-02-12,47.480000,47.849998,47.369999,47.759998,45.830376,1397100
2020-02-13,47.740002,48.480000,47.500000,48.450001,46.492496,1818100
2020-02-14,48.470001,48.860001,48.400002,48.580002,46.617249,1466600
2020-02-18,48.400002,48.520000,48.119999,48.259998,46.310169,2114700
2020-02-19,48.340000,48.730000,48.240002,48.439999,46.482903,2092200
2020-02-20,46.939999,47.090000,44.919998,45.529999,43.690468,4520300
2020-02-21,45.169998,45.490002,44.730000,44.770000,42.961182,3623500
2020-02-24,44.160000,44.810001,44.070000,44.570000,42.769260,3433800
2020-02-25,44.700001,45.169998,44.610001,44.720001,42.913204,2521200
2020-02-26,44.939999,45.349998,43.910000,43.939999,42.164715,3147900
2020-02-27,43.580002,43.930000,42.520000,42.529999,40.811676,2669700
2020-02-28,41.650002,41.889999,40.139999,41.599998,39.919258,4121100
2020-03-02,41.860001,43.209999,41.759998,43.189999,41.445015,3812000
2020-03-03,43.250000,44.330002,42.619999,42.990002,41.253098,4089300
2020-03-04,43.840000,45.049999,43.419998,45.049999,43.229866,2005400
2020-03-05,44.259998,44.500000,43.400002,43.799999,42.030373,2355600
2020-03-06,42.790001,44.139999,42.680000,43.950001,42.174313,2611400
2020-03-09,42.180000,44.119999,42.000000,43.410000,41.656120,2570200
2020-03-10,43.880001,44.340000,42.009998,43.759998,41.991982,3485800
2020-03-11,42.910000,43.070000,41.910000,42.270000,40.562180,3227100
2020-03-12,39.639999,41.419998,39.009998,40.080002,38.460670,4250500
2020-03-13,41.320000,42.450001,39.799999,42.400002,40.686932,5237200
2020-03-16,39.799999,43.250000,39.310001,42.630001,40.907639,6520100
2020-03-17,43.310001,48.630001,42.919998,48.529999,46.569260,8303900
2020-03-18,45.820000,51.529999,45.549999,48.270000,46.319767,8444500
2020-03-19,48.430000,49.299999,45.560001,47.220001,45.312195,5974200
2020-03-20,47.330002,47.720001,44.599998,45.119999,43.297035,5160100
2020-03-23,45.299999,45.299999,41.860001,42.310001,40.600571,4950000
2020-03-24,42.490002,45.139999,42.459999,44.849998,43.037941,3415500
2020-03-25,44.009998,44.369999,41.700001,41.939999,40.245514,6298400
2020-03-26,42.000000,44.980000,41.849998,44.849998,43.037941,3487300
2020-03-27,44.250000,46.230000,44.110001,44.959999,43.143501,2457500
2020-03-30,45.730000,47.250000,45.730000,46.779999,44.889965,2387000
2020-03-31,46.830002,47.320000,45.980000,46.639999,44.755627,3274100
2020-04-01,45.830002,46.849998,45.299999,46.349998,44.477337,2304000
2020-04-02,45.680000,47.840000,45.680000,47.580002,45.657650,2842400
2020-04-03,47.119999,49.169998,47.049999,48.380001,46.425331,3875600
2020-04-06,48.680000,49.000000,47.529999,48.549999,46.588455,2864400
2020-04-07,48.160000,48.680000,47.459999,47.910000,45.974316,2748400
2020-04-08,47.840000,47.990002,46.980000,47.369999,45.456131,2164200
2020-04-09,46.759998,48.520000,46.570000,47.540001,45.844765,2933400
