Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,92.839996,93.070000,92.180000,92.669998,90.509125,3045300
2020-01-03,92.099998,94.980003,91.949997,94.669998,92.462486,2544500
2020-01-06,94.699997,95.470001,94.019997,94.699997,92.491776,2649700
2020-01-07,94.080002,94.930000,93.769997,94.430000,92.228081,2343900
2020-01-08,94.660004,94.900002,93.480003,93.599998,91.417427,3013700
2020-01-09,93.620003,94.980003,93.620003,94.430000,92.228081,2268300
2020-01-10,94.410004,94.800003,94.070000,94.250000,92.052284,1510500
2020-01-13,94.199997,95.070000,94.029999,95.029999,92.814079,2627700
2020-01-14,95.050003,95.120003,93.510002,93.769997,91.583481,3366100
2020-01-15,94.059998,96.250000,93.599998,95.769997,93.536835,3015800
2020-01-16,96.730003,96.989998,95.580002,96.269997,94.025177,2686500
2020-01-17,96.050003,97.050003,96.050003,96.769997,94.513519,2468700
2020-01-21,96.690002,97.449997,96.599998,96.760002,94.503754,2263600
2020-01-22,96.629997,97.099998,96.339996,96.430000,94.181450,1930400
2020-01-23,96.150002,97.419998,96.010002,97.300003,95.031174,2333000
2020-01-24,97.300003,98.089996,96.860001,97.110001,94.845589,1880200
2020-01-27,96.309998,98.389999,95.639999,98.180000,95.890648,2343600
2020-01-28,98.139999,99.099998,98.089996,98.940002,96.632912,2034000
2020-01-29,99.260002,99.800003,98.550003,98.910004,96.603622,1762400
2020-01-30,98.580002,100.180000,98.449997,100.169998,97.834236,1463800
2020-01-31,99.860001,100.430000,99.389999,99.739998,97.414261,2067900
2020-02-03,100.150002,100.430000,99.519997,100.040001,97.707253,1920000
2020-02-04,100.760002,101.930000,91.050003,92.589996,90.430984,11043200
2020-02-05,93.610001,94.019997,91.330002,92.879997,90.714233,12768000
2020-02-06,92.750000,92.830002,86.830002,90.110001,88.008812,17797700
2020-02-07,93.900002,95.459999,92.120003,92.629997,90.470062,12776900
2020-02-10,92.540001,94.970001,92.529999,94.820000,92.608994,5715000
2020-02-11,94.900002,95.150002,94.669998,94.760002,92.550392,3827800
2020-02-12,94.699997,94.989998,93.930000,94.389999,92.189011,4506100
2020-02-13,94.610001,94.669998,93.889999,94.190002,91.993683,5791300
