Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,69.129997,69.250000,67.379997,67.639999,62.908508,2699500
2020-01-03,67.519997,68.360001,67.400002,68.000000,63.243328,1240600
2020-01-06,68.000000,68.129997,67.550003,67.940002,63.187523,1323600
2020-01-07,69.320000,70.000000,68.639999,68.809998,63.996662,2412000
2020-01-08,68.779999,69.209999,68.510002,68.889999,64.071068,1270300
2020-01-09,69.320000,69.339996,68.529999,69.139999,64.303589,1436300
2020-01-10,69.279999,69.529999,69.180000,69.269997,64.424484,1418500
2020-01-13,69.410004,70.000000,69.279999,69.709999,64.833702,1778200
2020-01-14,69.709999,70.000000,69.559998,70.000000,65.103432,1426400
2020-01-15,70.000000,70.629997,69.879997,70.269997,65.354538,1398400
2020-01-16,70.500000,70.860001,70.269997,70.739998,65.791664,1337400
2020-01-17,70.809998,71.050003,70.480003,70.879997,65.921867,1846600
2020-01-21,70.709999,71.010002,70.309998,70.599998,65.661461,2175600
2020-01-22,70.400002,70.820000,70.029999,70.260002,65.345238,1727400
2020-01-23,69.820000,70.800003,69.690002,70.440002,65.512657,1535100
2020-01-24,70.730003,70.730003,69.110001,69.339996,64.489586,1506500
2020-01-27,68.889999,69.589996,68.720001,69.029999,64.201279,1618000
2020-01-28,68.989998,69.410004,68.889999,68.980003,64.154778,1127000
2020-01-29,68.949997,69.029999,68.389999,68.430000,63.643250,1677500
2020-01-30,68.330002,68.959999,68.040001,68.879997,64.061775,1412900
2020-01-31,68.849998,69.209999,68.010002,68.209999,63.438637,2746400
2020-02-03,68.580002,69.230003,68.349998,68.839996,64.024567,1872900
2020-02-04,69.169998,69.660004,68.629997,68.680000,63.875755,1978100
2020-02-05,68.820000,69.610001,68.820000,69.360001,64.508202,2393700
2020-02-06,64.220001,66.379997,63.150002,63.459999,59.020901,7661100
2020-02-07,63.259998,64.290001,62.380001,64.169998,59.681244,4297500
2020-02-10,63.950001,65.430000,63.549999,65.339996,60.769398,2973500
2020-02-11,65.580002,66.570000,65.480003,66.269997,61.634338,2601400
2020-02-12,67.500000,67.820000,66.080002,66.180000,61.550644,2220000
2020-02-13,66.220001,67.220001,66.050003,67.139999,62.443478,2275000
2020-02-14,67.080002,67.949997,66.910004,67.709999,62.973614,1567500
2020-02-18,67.230003,67.370003,66.529999,67.150002,62.452797,1570300
2020-02-19,67.160004,67.489998,66.250000,66.300003,61.662251,1581200
2020-02-20,65.779999,66.089996,65.099998,65.669998,61.076309,2107400
2020-02-21,65.400002,65.580002,64.949997,65.519997,60.936806,1824900
