Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,805.169983,809.989990,796.469971,805.059998,805.059998,150300
2020-01-03,790.099976,802.070007,788.200012,789.539978,789.539978,149700
2020-01-06,779.890015,793.859985,779.099976,793.729980,793.729980,187900
2020-01-07,790.559998,801.119995,787.179993,797.159973,797.159973,105800
2020-01-08,796.320007,805.489990,795.000000,797.070007,797.070007,148200
2020-01-09,806.159973,813.099976,800.520020,810.859985,810.859985,168200
2020-01-10,816.599976,822.250000,813.219971,817.690002,817.690002,167600
2020-01-13,815.150024,824.619995,813.659973,822.570007,822.570007,147200
2020-01-14,820.000000,835.969971,818.179993,830.630005,830.630005,152200
2020-01-15,827.429993,830.460022,815.510010,818.390015,818.390015,133600
2020-01-16,823.000000,830.669983,816.679993,830.669983,830.669983,103900
2020-01-17,833.969971,834.840027,825.359985,831.309998,831.309998,122900
2020-01-21,831.000000,839.500000,830.280029,835.130005,835.130005,164200
2020-01-22,838.229980,843.820007,833.890015,834.919983,834.919983,84600
2020-01-23,833.500000,834.469971,824.390015,831.119995,831.119995,83000
2020-01-24,836.070007,836.070007,817.869995,819.950012,819.950012,123000
2020-01-27,800.469971,807.739990,794.059998,799.880005,799.880005,144000
2020-01-28,802.150024,803.650024,790.690002,799.950012,799.950012,162500
2020-01-29,801.289978,812.109985,799.390015,802.619995,802.619995,111800
2020-01-30,792.429993,794.359985,766.210022,777.000000,777.000000,177400
2020-01-31,773.669983,774.710022,752.760010,757.179993,757.179993,157800
2020-02-03,762.969971,766.500000,757.630005,758.059998,758.059998,130800
2020-02-04,756.609985,775.320007,756.609985,768.000000,768.000000,160200
2020-02-05,779.510010,790.500000,776.700012,779.030029,779.030029,149700
2020-02-06,787.380005,788.140015,770.669983,778.520020,778.520020,180500
2020-02-07,777.450012,808.940002,770.179993,787.150024,787.150024,423400
2020-02-10,785.239990,799.150024,779.219971,780.770020,780.770020,216400
2020-02-11,781.609985,787.869995,775.489990,780.000000,780.000000,242100
2020-02-12,781.000000,784.380005,770.299988,772.789978,772.789978,107800
2020-02-13,767.640015,775.030029,759.150024,769.479980,769.479980,172500
2020-02-14,770.000000,772.219971,761.010010,763.200012,763.200012,123200
2020-02-18,759.679993,763.260010,750.169983,752.239990,752.239990,152200
2020-02-19,754.580017,770.419983,753.700012,766.390015,766.390015,111100
2020-02-20,763.919983,765.900024,751.429993,755.390015,755.390015,111800
2020-02-21,751.969971,762.030029,748.429993,760.219971,760.219971,147700
2020-02-24,735.250000,737.000000,717.659973,726.580017,726.580017,181100
2020-02-25,732.330017,732.330017,699.890015,703.000000,703.000000,184300
2020-02-26,707.809998,721.969971,698.119995,700.380005,700.380005,167000
2020-02-27,686.059998,710.440002,685.429993,691.650024,691.650024,206500
2020-02-28,672.090027,703.159973,666.359985,701.700012,701.700012,338700
2020-03-02,704.479980,725.590027,698.489990,724.140015,724.140015,306800
2020-03-03,725.039978,751.210022,722.919983,731.049988,731.049988,261900
2020-03-04,750.469971,775.369995,738.950012,773.890015,773.890015,181100
2020-03-05,754.659973,754.659973,724.960022,734.099976,734.099976,281400
2020-03-06,711.630005,724.109985,698.609985,715.549988,715.549988,231400
2020-03-09,670.000000,687.840027,660.880005,669.780029,669.780029,217500
2020-03-10,688.679993,701.880005,666.969971,701.710022,701.710022,197500
2020-03-11,683.369995,686.599976,650.030029,658.650024,658.650024,182200
2020-03-12,618.960022,653.299988,595.909973,639.770020,639.770020,259700
2020-03-13,667.130005,680.109985,608.070007,672.640015,672.640015,252500
2020-03-16,610.000000,645.570007,600.000000,622.630005,622.630005,294000
2020-03-17,633.960022,697.309998,632.559998,682.489990,682.489990,267200
2020-03-18,645.090027,707.640015,642.770020,700.130005,700.130005,280400
2020-03-19,696.280029,755.659973,676.039978,721.429993,721.429993,246900
2020-03-20,718.669983,726.440002,641.719971,645.119995,645.119995,299100
2020-03-23,645.900024,654.869995,579.400024,589.409973,589.409973,303900
2020-03-24,615.510010,652.940002,592.640015,645.530029,645.530029,223500
2020-03-25,636.179993,679.080017,632.700012,640.299988,640.299988,191900
2020-03-26,648.150024,668.880005,630.950012,659.270020,659.270020,460700
2020-03-27,650.400024,668.369995,641.690002,658.780029,658.780029,188000
2020-03-30,664.109985,688.270020,654.799988,685.400024,685.400024,293000
2020-03-31,677.830017,709.989990,671.830017,690.510010,690.510010,221800
2020-04-01,667.599976,691.909973,641.590027,656.239990,656.239990,148400
2020-04-02,632.210022,673.109985,627.400024,655.570007,655.570007,192800
2020-04-03,641.700012,651.739990,611.820007,630.580017,630.580017,166700
2020-04-06,657.169983,705.950012,653.909973,702.599976,702.599976,194100
2020-04-07,717.849976,731.340027,701.080017,709.489990,709.489990,151900
2020-04-08,709.099976,746.650024,695.320007,740.989990,740.989990,180100
2020-04-09,730.200012,738.559998,712.679993,727.419983,727.419983,186200
2020-04-13,718.520020,718.520020,677.500000,690.780029,690.780029,191200
2020-04-14,696.900024,717.020020,693.700012,711.770020,711.770020,198600
2020-04-15,705.109985,707.979980,685.789978,692.960022,692.960022,158300
2020-04-16,699.760010,701.099976,684.849976,695.869995,695.869995,135200
2020-04-17,708.239990,720.909973,697.820007,720.909973,720.909973,161100
2020-04-20,718.520020,718.520020,703.739990,707.630005,707.630005,133200
2020-04-21,700.000000,700.000000,681.479980,683.429993,683.429993,158400
2020-04-22,695.559998,705.799988,687.789978,704.200012,704.200012,151700
2020-04-23,704.000000,720.510010,698.010010,703.299988,703.299988,181200
2020-04-24,707.010010,714.770020,697.369995,713.380005,713.380005,138900
2020-04-27,713.840027,739.500000,710.270020,735.260010,735.260010,126400
2020-04-28,738.940002,739.150024,696.679993,699.979980,699.979980,174600
2020-04-29,708.109985,747.659973,706.010010,738.619995,738.619995,241800
2020-04-30,728.830017,746.270020,716.969971,719.940002,719.940002,213900
2020-05-01,709.690002,709.690002,684.030029,689.159973,689.159973,104400
2020-05-04,690.450012,693.919983,682.020020,690.890015,690.890015,76600
2020-05-05,694.250000,716.690002,692.150024,709.729980,709.729980,135600
2020-05-06,711.299988,718.859985,697.619995,715.580017,715.580017,111600
2020-05-07,721.000000,742.580017,718.690002,732.739990,732.739990,174000
2020-05-08,741.969971,757.419983,714.469971,719.570007,719.570007,182000
2020-05-11,714.989990,720.640015,710.010010,716.929993,716.929993,133400
2020-05-12,710.770020,720.690002,687.780029,690.070007,690.070007,155400
2020-05-13,689.659973,702.289978,681.390015,690.880005,690.880005,142400
2020-05-14,675.739990,690.710022,661.320007,689.530029,689.530029,129200
2020-05-15,689.940002,705.890015,678.849976,698.700012,698.700012,183400
2020-05-18,710.000000,722.070007,708.440002,718.700012,718.700012,149100
2020-05-19,718.630005,723.520020,710.969971,714.059998,714.059998,142800
2020-05-20,713.760010,739.789978,713.760010,735.559998,735.559998,137300
2020-05-21,732.659973,735.679993,717.340027,723.000000,723.000000,134000
2020-05-22,721.609985,749.460022,721.609985,748.309998,748.309998,163700
2020-05-26,762.159973,772.450012,756.150024,766.000000,766.000000,253900
2020-05-27,769.659973,789.669983,762.979980,788.309998,788.309998,199100
2020-05-28,791.030029,802.539978,784.570007,792.400024,792.400024,216700
2020-05-29,794.710022,797.489990,779.700012,795.000000,795.000000,300900
2020-06-01,797.820007,814.549988,794.969971,803.429993,803.429993,162600
2020-06-02,812.000000,827.880005,801.770020,823.599976,823.599976,131500
2020-06-03,829.510010,841.460022,825.880005,838.000000,838.000000,130100
2020-06-04,833.429993,841.419983,827.650024,840.659973,840.659973,158200
2020-06-05,852.549988,863.530029,846.020020,859.539978,859.539978,158600
2020-06-08,846.510010,857.570007,844.330017,848.659973,848.659973,120900
2020-06-09,844.489990,844.489990,808.520020,815.479980,815.479980,194500
2020-06-10,815.479980,821.419983,801.619995,812.609985,812.609985,121200
2020-06-11,799.900024,799.900024,755.929993,761.570007,761.570007,185900
2020-06-12,779.820007,784.849976,750.429993,764.419983,764.419983,109200
2020-06-15,752.169983,778.549988,747.020020,773.789978,773.789978,111800
2020-06-16,793.460022,793.460022,772.539978,784.049988,784.049988,118500
2020-06-17,789.650024,789.650024,775.460022,782.369995,782.369995,99700
2020-06-18,774.849976,787.280029,773.750000,782.739990,782.739990,77600
2020-06-19,794.000000,796.130005,778.549988,795.239990,795.239990,238300
2020-06-22,787.979980,799.609985,777.159973,785.159973,785.159973,160300
2020-06-23,793.409973,808.169983,791.659973,798.000000,798.000000,96800
2020-06-24,791.000000,791.000000,771.849976,784.039978,784.039978,132500
2020-06-25,778.690002,786.219971,765.010010,785.380005,785.380005,85100
2020-06-26,787.590027,790.140015,763.979980,772.299988,772.299988,169900
2020-06-29,779.049988,790.650024,774.640015,785.239990,785.239990,79400
2020-06-30,779.900024,809.770020,779.900024,805.549988,805.549988,124000
2020-07-01,804.070007,807.219971,793.750000,804.789978,804.789978,92600
2020-07-02,812.179993,819.919983,809.239990,814.700012,814.700012,78300
2020-07-06,825.400024,829.859985,817.760010,823.450012,823.450012,78300
2020-07-07,819.489990,830.210022,817.070007,819.059998,819.059998,101800
2020-07-08,821.710022,827.159973,813.130005,818.190002,818.190002,92000
2020-07-09,819.340027,838.320007,819.340027,830.530029,830.530029,162100
2020-07-10,834.580017,834.580017,811.969971,819.200012,819.200012,59000
2020-07-13,824.900024,836.659973,818.669983,823.989990,823.989990,79000
2020-07-14,823.679993,853.820007,823.679993,849.340027,849.340027,98100
2020-07-15,859.000000,873.159973,857.750000,869.039978,869.039978,144300
2020-07-16,869.900024,874.979980,856.099976,860.679993,860.679993,84900
2020-07-17,867.409973,878.760010,865.789978,867.890015,867.890015,116800
2020-07-20,871.169983,881.469971,864.659973,866.469971,866.469971,99400
2020-07-21,869.979980,878.130005,868.479980,870.510010,870.510010,78300
2020-07-22,871.059998,891.049988,871.059998,883.349976,883.349976,101600
2020-07-23,879.929993,891.030029,879.929993,885.369995,885.369995,107300
2020-07-24,882.559998,882.559998,853.020020,862.719971,862.719971,143900
2020-07-27,869.289978,897.179993,869.289978,895.500000,895.500000,116700
2020-07-28,897.280029,911.900024,880.030029,882.030029,882.030029,121900
2020-07-29,885.000000,906.559998,881.619995,898.080017,898.080017,108400
2020-07-30,891.099976,901.159973,879.690002,895.169983,895.169983,161400
2020-07-31,923.150024,953.700012,900.219971,935.000000,935.000000,248500
2020-08-03,933.260010,938.440002,915.380005,926.429993,926.429993,139500
2020-08-04,918.960022,935.830017,913.690002,928.590027,928.590027,120400
2020-08-05,936.549988,955.000000,934.549988,945.239990,945.239990,94900
2020-08-06,952.849976,952.849976,924.479980,938.250000,938.250000,95900
2020-08-07,930.700012,946.739990,930.700012,944.169983,944.169983,75300
2020-08-10,947.989990,953.049988,942.059998,945.950012,945.950012,70000
2020-08-11,945.159973,954.219971,942.859985,947.250000,947.250000,78100
2020-08-12,952.820007,975.020020,947.979980,973.270020,973.270020,94800
2020-08-13,968.200012,975.000000,967.359985,973.140015,973.140015,106600
2020-08-14,962.640015,972.260010,956.539978,961.039978,961.039978,80500
2020-08-17,964.580017,972.169983,957.729980,959.780029,959.780029,98100
2020-08-18,961.000000,970.000000,953.479980,963.200012,963.200012,97000
2020-08-19,961.179993,980.880005,960.570007,970.710022,970.710022,86900
2020-08-20,962.489990,967.750000,956.190002,959.340027,959.340027,77700
2020-08-21,961.090027,961.090027,946.489990,959.979980,959.979980,112600
2020-08-24,964.880005,964.880005,945.520020,947.940002,947.940002,76700
2020-08-25,955.260010,969.080017,954.049988,967.820007,967.820007,82700
2020-08-26,966.039978,980.000000,960.440002,972.099976,972.099976,102200
2020-08-27,969.219971,977.260010,957.859985,968.679993,968.679993,89500
2020-08-28,975.650024,975.650024,955.929993,966.609985,966.609985,87600
2020-08-31,968.000000,979.669983,962.739990,970.780029,970.780029,114900
2020-09-01,973.419983,981.770020,966.479980,975.890015,975.890015,96400
2020-09-02,977.349976,1009.070007,968.760010,1005.150024,1005.150024,89200
2020-09-03,1006.650024,1006.650024,956.530029,962.989990,962.989990,99000
2020-09-04,968.390015,968.390015,933.650024,949.260010,949.260010,107300
2020-09-08,937.830017,956.030029,926.880005,947.619995,947.619995,152400
2020-09-09,957.109985,991.479980,955.309998,975.820007,975.820007,80800
2020-09-10,976.609985,988.440002,959.770020,963.460022,963.460022,90000
2020-09-11,965.919983,979.229980,963.510010,973.710022,973.710022,75800
2020-09-14,981.440002,990.580017,973.599976,978.989990,978.989990,89300
2020-09-15,987.150024,994.909973,976.840027,980.900024,980.900024,84400
2020-09-16,989.190002,1003.039978,985.570007,988.830017,988.830017,96700
2020-09-17,983.840027,998.409973,976.380005,983.619995,983.619995,95200
2020-09-18,985.770020,995.299988,970.820007,976.469971,976.469971,141800
2020-09-21,962.700012,975.590027,945.000000,974.500000,974.500000,113700
2020-09-22,973.659973,987.260010,964.609985,986.070007,986.070007,118500
2020-09-23,987.599976,987.599976,953.890015,957.140015,957.140015,105200
