Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,344.440002,355.700012,343.619995,355.700012,343.670746,941900
2020-01-03,368.149994,375.820007,366.369995,375.010010,362.327728,2600300
2020-01-06,379.950012,382.260010,372.579987,375.829987,363.119995,2130000
2020-01-07,373.619995,376.709991,371.089996,374.970001,362.289032,863600
2020-01-08,376.200012,379.269989,367.100006,370.290009,357.767365,1312400
2020-01-09,370.559998,373.500000,369.170013,372.359985,359.767303,741500
2020-01-10,372.369995,375.000000,369.760010,374.390015,361.728699,1178200
2020-01-13,375.730011,377.760010,374.809998,376.829987,364.086121,667400
2020-01-14,375.799988,376.179993,373.079987,374.670013,361.999207,740600
2020-01-15,374.679993,381.779999,374.679993,380.260010,367.400146,650500
2020-01-16,381.609985,384.609985,379.570007,383.779999,370.801117,839100
2020-01-17,384.679993,384.679993,378.290009,379.970001,367.119934,1237700
2020-01-21,379.380005,381.190002,373.959991,378.130005,365.342224,1420900
2020-01-22,378.500000,380.339996,375.260010,375.320007,362.627228,864300
2020-01-23,375.799988,381.640015,374.760010,381.500000,368.598236,1099400
2020-01-24,383.019989,384.179993,380.200012,381.640015,368.733459,738000
2020-01-27,378.359985,380.989990,375.779999,379.070007,366.250427,665200
2020-01-28,380.500000,383.980011,374.220001,381.839996,368.926758,674500
2020-01-29,384.480011,384.480011,378.140015,382.649994,369.709320,639600
2020-01-30,373.100006,385.010010,369.179993,384.869995,371.854248,1397400
2020-01-31,383.329987,384.329987,372.079987,374.570007,361.902588,1086400
2020-02-03,367.329987,370.000000,362.760010,363.750000,351.448517,1316200
2020-02-04,366.630005,367.899994,360.000000,361.809998,349.574127,1054400
2020-02-05,362.579987,368.890015,358.799988,367.799988,355.361542,815200
2020-02-06,366.720001,366.720001,362.500000,363.750000,351.448517,860000
2020-02-07,363.380005,366.170013,361.119995,361.420013,349.197296,790300
2020-02-10,361.049988,364.029999,357.619995,363.290009,351.003998,716400
2020-02-11,364.559998,371.980011,363.809998,368.040009,355.593475,697600
2020-02-12,367.609985,369.230011,363.980011,367.730011,355.293945,935400
2020-02-13,366.700012,370.470001,365.040009,368.000000,355.554718,848600
2020-02-14,368.820007,371.640015,367.010010,370.940002,358.395355,635100
2020-02-18,367.700012,372.640015,365.750000,372.420013,359.825287,810900
2020-02-19,373.220001,374.390015,365.959991,366.149994,353.767303,864600
2020-02-20,365.279999,367.619995,360.529999,363.250000,350.965424,995200
2020-02-21,360.660004,365.929993,358.029999,365.010010,353.952118,880000
2020-02-24,357.989990,365.850006,357.720001,359.390015,348.502350,997500
2020-02-25,361.070007,361.440002,338.779999,339.970001,329.670715,1458800
2020-02-26,342.500000,347.149994,334.309998,334.320007,324.191864,934400
2020-02-27,329.489990,337.790009,325.000000,331.570007,321.525146,2054500
2020-02-28,320.000000,329.820007,313.980011,328.839996,318.877869,2919600
2020-03-02,330.459991,336.929993,321.859985,335.989990,325.811218,1547000
2020-03-03,335.989990,347.899994,329.010010,329.380005,319.401459,1207900
2020-03-04,335.570007,347.989990,330.519989,346.970001,336.458618,1193700
2020-03-05,339.480011,342.029999,325.859985,327.779999,317.849945,1214100
2020-03-06,319.320007,331.899994,315.839996,328.959991,318.994232,1361200
2020-03-09,306.940002,320.739990,280.000000,313.279999,303.789215,1355400
2020-03-10,324.690002,335.140015,321.630005,334.890015,324.744598,1826700
2020-03-11,325.450012,330.359985,311.869995,317.850006,308.220825,1484400
2020-03-12,296.989990,308.959991,289.260010,290.500000,281.699341,2525900
2020-03-13,303.660004,315.649994,289.589996,314.500000,304.972229,2307500
2020-03-16,274.589996,300.440002,274.589996,282.589996,274.028961,1520200
2020-03-17,288.359985,319.890015,287.579987,319.329987,309.655945,2113200
2020-03-18,301.010010,325.850006,298.609985,323.000000,313.214783,1779400
2020-03-19,321.149994,322.989990,289.510010,296.910004,287.915131,1711600
2020-03-20,300.940002,301.170013,274.769989,284.019989,275.415680,1768500
2020-03-23,280.850006,283.250000,263.309998,269.859985,261.684631,1497400
2020-03-24,280.250000,284.000000,272.630005,281.279999,272.758667,1655100
2020-03-25,281.790009,301.980011,279.000000,288.359985,279.624176,1615600
2020-03-26,290.630005,321.920013,290.630005,321.190002,311.459564,1425500
2020-03-27,311.890015,318.769989,301.600006,312.149994,302.693420,1504800
2020-03-30,317.410004,322.920013,308.859985,313.720001,304.215942,1261700
2020-03-31,309.170013,311.000000,300.380005,302.549988,293.384338,1980200
2020-04-01,293.850006,309.989990,290.619995,306.989990,297.689819,1226500
2020-04-02,301.899994,314.730011,301.690002,314.290009,304.768646,1061900
2020-04-03,313.899994,315.549988,310.309998,313.609985,304.109222,834900
2020-04-06,320.000000,335.269989,319.500000,332.329987,322.262115,1047600
2020-04-07,342.709991,343.309998,324.959991,325.519989,315.658447,1098500
2020-04-08,330.309998,336.630005,327.079987,329.670013,319.682709,919000
2020-04-09,334.609985,339.119995,330.649994,336.649994,326.451233,1115800
2020-04-13,336.709991,341.540009,334.140015,338.850006,328.584625,639000
2020-04-14,344.709991,352.000000,342.000000,348.790009,338.223450,639100
2020-04-15,346.019989,346.109985,336.510010,344.290009,333.859802,712300
2020-04-16,343.589996,348.350006,342.320007,346.239990,335.750702,879700
2020-04-17,353.609985,357.119995,347.000000,356.299988,345.505951,1236800
2020-04-20,353.660004,354.380005,343.510010,343.910004,333.491333,695700
2020-04-21,340.950012,346.589996,332.290009,333.679993,323.571198,813200
2020-04-22,339.170013,343.549988,334.970001,342.010010,331.648895,676200
2020-04-23,341.970001,344.000000,335.600006,335.829987,325.656067,1104400
2020-04-24,338.000000,340.839996,332.000000,339.309998,329.030701,560400
2020-04-27,341.959991,346.779999,340.500000,344.809998,334.364044,764500
2020-04-28,349.269989,351.420013,342.640015,344.529999,334.092560,696100
2020-04-29,332.549988,347.160004,321.130005,331.829987,321.777252,2044500
2020-04-30,327.559998,331.910004,322.980011,330.670013,320.652435,1137400
2020-05-01,326.959991,330.250000,324.269989,328.059998,318.121521,849700
2020-05-04,326.359985,327.000000,319.760010,322.559998,312.788116,576400
2020-05-05,323.489990,331.940002,322.260010,328.739990,318.780853,595700
2020-05-06,330.640015,331.510010,322.519989,323.029999,313.243896,570600
2020-05-07,326.970001,327.000000,322.739990,324.140015,314.320251,593100
2020-05-08,324.250000,329.029999,322.730011,327.649994,317.723938,664800
2020-05-11,326.100006,329.559998,324.760010,327.470001,317.549377,922300
2020-05-12,328.880005,332.529999,325.390015,325.510010,315.648712,1098300
2020-05-13,324.440002,325.809998,317.809998,320.459991,310.751678,690600
2020-05-14,318.260010,318.299988,307.329987,311.929993,302.480164,1121800
2020-05-15,311.309998,324.100006,310.250000,321.630005,311.886292,1672600
2020-05-18,330.179993,333.839996,322.570007,331.170013,321.137329,934400
2020-05-19,330.829987,335.190002,326.670013,327.029999,317.122681,564000
2020-05-20,331.950012,331.950012,319.709991,320.399994,310.693542,899000
2020-05-21,320.589996,329.529999,319.750000,328.109985,318.169983,733400
2020-05-22,328.950012,328.950012,323.440002,325.910004,316.036621,723900
2020-05-26,333.209991,333.350006,323.470001,324.190002,314.368744,1217700
2020-05-27,328.000000,343.500000,326.200012,342.980011,332.589508,934600
2020-05-28,346.410004,348.779999,342.309998,342.730011,332.347076,728200
2020-05-29,339.839996,340.739990,334.399994,335.200012,326.426239,1118800
2020-06-01,335.630005,342.119995,330.250000,330.670013,322.014801,1232400
2020-06-02,332.369995,333.820007,325.049988,327.059998,318.499298,1451400
2020-06-03,329.769989,336.690002,327.579987,335.959991,327.166321,1628800
2020-06-04,336.549988,340.940002,334.149994,335.739990,326.952087,689900
2020-06-05,343.250000,346.589996,339.690002,342.100006,333.145599,1259700
2020-06-08,341.579987,349.269989,341.480011,348.790009,339.660461,661500
2020-06-09,346.880005,346.880005,340.989990,342.529999,333.564331,1039200
2020-06-10,341.239990,344.079987,338.459991,341.250000,332.317871,606200
2020-06-11,330.000000,336.730011,320.820007,320.989990,312.588135,965900
2020-06-12,328.700012,328.700012,313.079987,317.679993,309.364777,817800
2020-06-15,310.750000,316.019989,308.549988,313.619995,305.411011,1194300
2020-06-16,324.470001,329.470001,317.760010,324.739990,316.239990,1069500
2020-06-17,323.809998,327.260010,320.570007,322.290009,313.854126,613200
2020-06-18,319.649994,321.489990,316.100006,317.829987,309.510864,741700
2020-06-19,322.000000,322.570007,312.380005,312.660004,304.476227,1242500
2020-06-22,311.929993,315.600006,309.579987,315.559998,307.300293,838100
2020-06-23,316.850006,317.000000,306.790009,307.100006,299.061737,979900
2020-06-24,304.609985,305.299988,299.250000,301.910004,294.007568,1217000
2020-06-25,300.369995,302.540009,294.000000,301.750000,293.851776,1285600
2020-06-26,300.679993,306.079987,298.929993,301.859985,293.958862,1286500
2020-06-29,304.820007,309.019989,303.329987,309.019989,300.931427,734000
2020-06-30,308.670013,309.220001,304.399994,307.440002,299.392853,772900
2020-07-01,308.869995,311.140015,306.500000,308.140015,300.074493,737900
2020-07-02,311.130005,313.239990,308.619995,309.970001,301.856628,629700
2020-07-06,313.049988,313.500000,308.760010,312.399994,304.222992,739200
2020-07-07,310.130005,312.500000,303.649994,304.470001,296.500549,741000
2020-07-08,304.000000,306.549988,298.769989,301.100006,293.218750,908100
2020-07-09,299.630005,300.309998,285.489990,285.950012,278.465302,1729500
2020-07-10,287.170013,294.220001,286.809998,292.000000,284.356934,1504700
2020-07-13,294.420013,296.570007,290.290009,292.350006,284.697784,1043600
2020-07-14,291.269989,295.850006,287.519989,295.549988,287.814056,1180200
2020-07-15,300.119995,303.929993,298.000000,300.760010,292.887695,1196300
2020-07-16,299.470001,305.980011,296.500000,303.649994,295.702026,1162900
2020-07-17,305.850006,307.690002,303.570007,306.839996,298.808533,1544800
2020-07-20,306.750000,306.760010,301.250000,301.489990,293.598541,921800
2020-07-21,306.329987,309.130005,302.390015,308.190002,300.123169,1007400
2020-07-22,306.589996,316.390015,306.010010,316.000000,307.728760,942100
2020-07-23,316.000000,318.720001,311.690002,313.059998,304.865723,694200
2020-07-24,314.779999,318.790009,310.260010,312.690002,304.505402,686900
2020-07-27,311.010010,311.720001,305.880005,308.019989,299.957611,575800
2020-07-28,307.910004,317.940002,307.910004,312.869995,304.680695,709300
2020-07-29,316.140015,316.690002,310.529999,315.260010,307.008148,1299500
2020-07-30,314.000000,329.459991,313.010010,326.010010,317.476776,1493800
2020-07-31,326.010010,326.579987,318.200012,325.010010,316.502960,1161300
2020-08-03,324.579987,326.190002,321.829987,323.589996,315.120117,603100
2020-08-04,324.600006,325.290009,320.859985,325.010010,316.502960,538100
2020-08-05,325.920013,330.929993,325.010010,329.709991,321.079865,566400
2020-08-06,327.989990,329.649994,325.450012,326.339996,317.798065,720200
2020-08-07,326.829987,332.000000,325.480011,329.269989,320.651398,1470200
2020-08-10,330.359985,336.269989,330.359985,335.730011,326.942322,1016000
2020-08-11,339.190002,345.410004,338.459991,341.850006,332.902161,1527100
2020-08-12,343.179993,343.989990,337.549988,339.399994,330.516296,636600
2020-08-13,336.790009,340.820007,335.459991,338.619995,329.756683,493000
2020-08-14,337.279999,343.839996,336.859985,342.059998,333.106659,396200
2020-08-17,341.769989,344.000000,338.519989,339.760010,330.866882,628200
2020-08-18,339.720001,339.920013,337.269989,337.600006,328.763397,499000
2020-08-19,337.000000,340.320007,336.200012,337.910004,329.065308,487700
2020-08-20,337.579987,338.440002,336.029999,336.670013,327.857758,338500
2020-08-21,337.299988,339.130005,336.440002,337.859985,329.016571,440800
2020-08-24,338.700012,344.510010,338.410004,344.420013,335.404846,416700
2020-08-25,345.000000,345.070007,341.450012,343.000000,334.022064,454600
2020-08-26,341.500000,342.880005,338.019989,341.410004,332.473663,607200
2020-08-27,343.459991,349.230011,342.059998,348.989990,339.855255,669200
2020-08-28,347.779999,348.549988,342.269989,344.750000,337.126953,513500
2020-08-31,343.200012,344.459991,341.570007,342.609985,335.034271,558000
2020-09-01,340.160004,342.869995,337.109985,340.380005,332.853577,538800
2020-09-02,338.820007,350.250000,338.019989,348.359985,340.657104,660600
2020-09-03,350.649994,352.119995,339.920013,342.230011,334.662689,791700
2020-09-04,343.989990,347.059998,337.339996,339.029999,331.533447,584400
2020-09-08,339.890015,339.890015,334.209991,334.559998,327.162292,661800
2020-09-09,342.679993,342.760010,336.660004,339.410004,331.905029,608800
2020-09-10,339.769989,341.040009,329.410004,330.019989,322.722656,558100
2020-09-11,333.059998,340.170013,331.700012,338.880005,331.386749,489300
2020-09-14,340.750000,341.660004,337.660004,338.450012,330.966278,552900
2020-09-15,337.549988,339.950012,334.730011,338.019989,330.545746,523500
2020-09-16,337.250000,346.890015,335.739990,343.470001,335.875244,750000
2020-09-17,341.130005,345.470001,338.079987,343.839996,336.237091,361300
2020-09-18,341.160004,345.890015,341.160004,341.500000,333.948822,689900
2020-09-21,337.929993,338.559998,324.410004,325.890015,318.683990,714900
2020-09-22,327.320007,333.459991,326.910004,332.799988,325.441193,651900
2020-09-23,334.450012,337.329987,326.519989,328.059998,320.806030,790800
2020-09-24,327.480011,328.700012,321.170013,324.720001,317.539856,574900
2020-09-25,324.130005,329.579987,322.940002,328.000000,320.747345,646300
2020-09-28,330.540009,333.559998,328.720001,329.519989,322.233673,566900
2020-09-29,328.779999,330.420013,324.429993,325.279999,318.087494,483200
2020-09-30,326.200012,326.730011,312.250000,315.489990,308.513947,1183800
2020-10-01,317.350006,321.049988,309.359985,311.809998,304.915314,1687900
2020-10-02,309.109985,315.140015,307.119995,313.950012,307.007996,1380900
2020-10-05,315.850006,317.230011,311.299988,312.179993,305.277130,881700
2020-10-06,320.329987,320.329987,308.890015,308.970001,302.138123,1149200
2020-10-07,310.399994,315.570007,310.399994,313.890015,306.949371,1019500
2020-10-08,314.220001,319.820007,314.220001,319.679993,312.611298,596800
2020-10-09,320.000000,322.470001,313.630005,315.279999,308.308594,1210200
2020-10-12,314.519989,318.809998,313.220001,316.589996,309.589630,834600
2020-10-13,315.100006,318.429993,311.859985,312.600006,305.687836,636400
2020-10-14,311.429993,317.600006,311.399994,314.890015,307.927216,1119900
2020-10-15,313.529999,316.260010,312.239990,314.820007,307.858765,854000
2020-10-16,315.970001,319.730011,315.559998,316.239990,309.247345,1393700
2020-10-19,316.040009,318.890015,310.820007,311.329987,304.445892,775300
2020-10-20,313.739990,313.769989,308.279999,309.049988,302.216339,786300
2020-10-21,308.040009,309.839996,305.910004,308.369995,301.551361,830000
2020-10-22,309.260010,314.690002,302.989990,302.989990,296.290314,1388000
2020-10-23,305.160004,309.559998,304.000000,308.429993,301.610077,1113300
2020-10-26,305.399994,312.350006,301.700012,309.839996,302.988892,1312700
2020-10-27,308.670013,309.010010,302.070007,302.119995,295.439575,1081500
2020-10-28,299.579987,304.250000,293.540009,293.660004,287.166687,1221300
2020-10-29,292.540009,297.690002,291.250000,292.390015,285.924713,1260400
2020-10-30,290.869995,293.920013,285.130005,289.820007,283.411591,1227100
2020-11-02,294.480011,298.980011,292.750000,296.630005,290.070953,852100
2020-11-03,299.309998,307.119995,299.309998,304.820007,298.079895,864900
2020-11-04,310.000000,324.260010,309.000000,315.640015,308.660645,1684000
2020-11-05,316.500000,317.279999,306.059998,307.399994,300.602844,1410300
2020-11-06,305.739990,305.940002,296.630005,301.359985,294.696350,946700
2020-11-09,315.000000,317.600006,300.070007,301.279999,294.618164,1732000
2020-11-10,302.730011,316.899994,301.480011,314.510010,307.555603,948500
2020-11-11,314.959991,314.970001,306.019989,309.959991,303.106201,590700
2020-11-12,308.000000,308.779999,302.339996,306.230011,299.458710,737400
2020-11-13,308.079987,313.119995,307.109985,311.709991,304.817505,493400
