Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,195.050003,196.800003,194.270004,196.800003,190.082169,1458800
2020-01-03,193.190002,196.589996,193.190002,196.440002,189.734436,2003700
2020-01-06,195.169998,196.169998,194.199997,195.929993,189.241852,2076800
2020-01-07,196.520004,197.729996,195.130005,196.710007,189.995270,1478900
2020-01-08,196.820007,199.350006,195.979996,197.630005,190.883835,1133600
2020-01-09,198.820007,198.979996,197.630005,198.300003,191.530975,1812000
2020-01-10,198.910004,200.720001,197.229996,197.550003,190.806564,1459400
2020-01-13,197.210007,200.380005,196.740005,200.279999,193.443375,1418400
2020-01-14,200.389999,203.429993,199.970001,201.699997,194.814896,1315900
2020-01-15,201.759995,203.839996,200.820007,202.889999,195.964279,1584600
2020-01-16,203.979996,206.600006,203.710007,206.250000,199.209579,1851100
2020-01-17,205.190002,209.399994,203.850006,209.320007,202.174789,2247200
2020-01-21,208.500000,208.809998,203.779999,204.619995,197.635239,1455200
2020-01-22,205.550003,205.619995,202.570007,203.139999,196.205750,1447800
2020-01-23,202.350006,208.839996,201.710007,208.610001,201.489014,1301500
2020-01-24,208.000000,209.899994,206.910004,207.860001,200.764633,1129400
2020-01-27,203.259995,205.830002,202.600006,202.660004,195.742126,1314100
2020-01-28,203.000000,205.720001,202.559998,204.759995,197.770447,1456600
2020-01-29,217.199997,219.880005,214.830002,214.830002,207.496719,3193400
2020-01-30,212.190002,215.100006,211.539993,214.500000,207.177963,1917100
2020-01-31,212.259995,212.750000,207.520004,208.210007,201.102676,2163300
2020-02-03,209.919998,210.399994,206.729996,206.990005,199.924347,1971800
2020-02-04,209.440002,213.270004,209.199997,211.869995,204.637741,2551200
2020-02-05,214.869995,214.949997,213.169998,213.800003,206.501877,1409800
2020-02-06,213.460007,214.539993,212.020004,212.679993,206.327240,1001800
2020-02-07,211.339996,212.100006,208.979996,210.179993,203.901917,2260000
2020-02-10,208.919998,209.789993,207.660004,209.250000,202.999695,2338300
2020-02-11,210.630005,213.309998,209.070007,209.169998,202.922073,1425200
2020-02-12,210.770004,212.729996,209.880005,210.919998,204.619812,891700
2020-02-13,209.699997,211.380005,209.000000,210.490005,204.202667,848600
2020-02-14,210.440002,211.210007,208.789993,209.350006,203.096741,711400
2020-02-18,208.610001,210.389999,207.029999,208.020004,201.806458,977600
2020-02-19,208.669998,210.449997,208.250000,209.169998,202.922073,703400
2020-02-20,209.149994,211.089996,208.139999,210.809998,204.513107,949100
2020-02-21,210.789993,211.610001,206.800003,208.050003,201.835556,1363400
2020-02-24,201.279999,203.660004,200.000000,203.000000,196.936386,1557300
2020-02-25,203.570007,203.830002,193.929993,194.850006,189.029831,2171000
2020-02-26,195.440002,196.990005,189.419998,190.070007,184.392624,1956000
2020-02-27,185.839996,193.050003,183.259995,184.279999,178.775543,4335700
2020-02-28,179.210007,182.580002,176.399994,182.350006,176.903198,3173500
2020-03-02,183.740005,184.619995,177.490005,182.589996,177.136017,2540600
2020-03-03,182.320007,187.630005,175.089996,176.860001,171.577179,2129600
2020-03-04,179.479996,184.479996,177.639999,184.240005,178.736755,1832100
2020-03-05,177.479996,179.520004,174.000000,175.350006,170.112289,1912400
2020-03-06,168.860001,175.250000,168.039993,174.600006,169.384689,2163600
2020-03-09,159.460007,164.250000,151.369995,154.500000,149.885086,3101100
2020-03-10,160.889999,161.889999,152.410004,160.509995,155.715561,2673400
2020-03-11,155.669998,156.970001,148.630005,151.360001,146.838867,2527800
2020-03-12,137.330002,141.929993,129.240005,133.500000,129.512360,3940400
2020-03-13,141.240005,147.350006,136.270004,146.860001,142.473297,3268500
2020-03-16,132.520004,141.860001,126.339996,126.440002,122.663231,2617600
2020-03-17,128.559998,142.130005,125.529999,139.589996,135.420425,2662000
2020-03-18,129.070007,132.710007,119.290001,130.839996,126.931793,2745000
2020-03-19,128.330002,139.309998,125.839996,136.330002,132.257797,2349100
2020-03-20,138.770004,138.770004,123.510002,123.709999,120.014786,2712100
2020-03-23,121.830002,123.839996,112.620003,118.879997,115.329048,3417400
2020-03-24,127.019997,141.119995,125.809998,140.229996,136.041321,2723000
2020-03-25,137.000000,150.740005,135.949997,140.399994,136.206253,2947700
2020-03-26,143.190002,149.100006,140.300003,146.919998,142.531479,2522600
2020-03-27,140.820007,146.619995,138.710007,143.360001,139.077835,1565300
2020-03-30,143.339996,149.919998,142.039993,148.289993,143.860565,2010000
2020-03-31,147.029999,149.889999,144.720001,146.000000,141.638947,2316800
2020-04-01,138.690002,142.419998,137.809998,140.009995,135.827896,2067700
2020-04-02,138.089996,144.110001,136.649994,143.720001,139.427094,2982400
2020-04-03,143.300003,144.380005,140.679993,142.320007,138.068893,2285900
2020-04-06,150.740005,155.899994,149.809998,154.750000,150.127609,2698100
2020-04-07,159.690002,161.990005,153.039993,153.529999,148.944046,2062400
2020-04-08,155.460007,160.259995,154.259995,158.970001,154.221558,1385900
2020-04-09,160.360001,164.669998,157.020004,159.300003,154.541718,2213600
2020-04-13,159.130005,159.300003,152.750000,154.289993,149.681351,1335700
2020-04-14,156.690002,158.990005,154.300003,155.490005,150.845520,1093800
2020-04-15,151.190002,154.479996,150.279999,153.850006,149.254501,1282200
2020-04-16,153.050003,153.600006,149.529999,153.250000,148.672409,1356300
2020-04-17,157.410004,161.419998,155.990005,160.669998,155.870773,1753000
2020-04-20,158.179993,158.639999,151.410004,153.699997,149.108978,1698000
2020-04-21,149.270004,151.669998,147.369995,150.000000,145.519485,2496400
2020-04-22,153.009995,155.330002,150.729996,153.779999,149.186600,1541500
2020-04-23,156.949997,160.089996,154.580002,155.860001,151.204468,1968600
2020-04-24,157.240005,161.089996,155.320007,160.679993,155.880478,1691100
2020-04-27,163.100006,167.809998,161.460007,166.869995,161.885574,1705100
2020-04-28,170.639999,172.740005,167.580002,170.639999,165.542969,1991900
2020-04-29,178.330002,184.850006,177.190002,180.330002,174.943542,2290400
2020-04-30,174.199997,178.850006,170.419998,171.100006,165.989227,2205400
2020-05-01,168.630005,170.899994,166.589996,170.729996,165.630264,1505200
2020-05-04,169.750000,169.750000,164.910004,168.009995,162.991547,1226700
2020-05-05,170.369995,173.000000,170.300003,171.360001,166.241486,978000
2020-05-06,172.089996,173.830002,167.770004,168.190002,163.166168,1107800
2020-05-07,170.369995,172.809998,168.820007,169.580002,165.439270,1046000
2020-05-08,171.910004,175.259995,171.460007,174.750000,170.483002,767100
2020-05-11,172.940002,175.320007,171.449997,174.059998,169.809860,891500
2020-05-12,173.699997,174.119995,166.690002,166.789993,162.717377,1389100
2020-05-13,165.389999,166.169998,161.850006,164.539993,160.522308,1326300
2020-05-14,162.289993,166.860001,157.479996,166.589996,162.522263,1266300
2020-05-15,164.179993,164.710007,159.130005,160.360001,156.444397,2041300
2020-05-18,167.410004,172.029999,165.479996,170.729996,166.561188,1314300
2020-05-19,170.309998,172.919998,167.470001,167.660004,163.566132,1345500
2020-05-20,172.860001,176.360001,171.470001,173.660004,169.419632,1311600
2020-05-21,172.690002,173.300003,168.830002,170.559998,166.395309,1178900
2020-05-22,171.149994,172.220001,169.410004,171.470001,167.283112,1151100
2020-05-26,177.000000,181.300003,175.630005,179.720001,175.331680,1326600
2020-05-27,181.720001,185.389999,181.600006,184.979996,180.463226,1332200
2020-05-28,186.210007,186.380005,179.509995,180.259995,175.858505,1314100
2020-05-29,179.779999,180.169998,177.360001,178.289993,173.936569,2190300
2020-06-01,178.119995,179.800003,175.800003,178.339996,173.985352,1937400
2020-06-02,180.350006,185.139999,179.970001,184.059998,179.565689,1769300
2020-06-03,187.449997,193.779999,185.880005,192.419998,187.721573,1761500
2020-06-04,190.490005,193.220001,190.130005,191.500000,186.824020,1321100
2020-06-05,200.000000,200.550003,193.690002,194.250000,189.506851,1955300
2020-06-08,194.419998,197.479996,190.860001,191.490005,186.814285,1532200
2020-06-09,188.570007,193.050003,186.720001,192.050003,187.360611,1370300
2020-06-10,191.800003,192.100006,188.479996,188.550003,183.946060,1578600
2020-06-11,182.259995,183.000000,174.059998,174.259995,170.004974,1394800
2020-06-12,179.850006,180.779999,173.380005,178.179993,173.829269,1323200
2020-06-15,172.660004,178.910004,171.289993,177.610001,173.273193,1208700
2020-06-16,185.000000,185.000000,176.389999,178.729996,174.365814,1390700
2020-06-17,180.039993,180.289993,176.520004,176.970001,172.648819,1106700
2020-06-18,175.679993,176.600006,173.690002,174.380005,170.122055,1567200
2020-06-19,176.369995,176.779999,169.059998,170.259995,166.102646,2572700
2020-06-22,169.979996,171.500000,167.619995,171.470001,167.283112,1507600
2020-06-23,173.789993,175.800003,172.389999,174.490005,170.229401,1664600
2020-06-24,172.759995,173.929993,168.699997,169.149994,165.019745,1981300
2020-06-25,168.850006,171.889999,166.000000,171.679993,167.487976,1163500
2020-06-26,170.720001,172.509995,167.410004,169.809998,165.663651,2105500
2020-06-29,170.550003,173.000000,169.059998,172.679993,168.463562,1060200
2020-06-30,172.119995,176.929993,171.899994,175.570007,171.283005,1257800
2020-07-01,175.759995,177.630005,170.789993,171.520004,167.331894,1116600
2020-07-02,176.050003,177.729996,173.330002,174.509995,170.248886,964700
2020-07-06,177.410004,179.660004,176.759995,178.619995,174.258514,1245400
2020-07-07,176.240005,178.339996,173.839996,174.119995,169.868408,1055800
2020-07-08,174.130005,175.309998,172.529999,175.259995,170.980560,1214200
2020-07-09,174.660004,175.350006,169.619995,170.910004,166.736801,1815000
2020-07-10,170.809998,171.690002,169.149994,170.850006,166.678238,1283300
2020-07-13,172.380005,177.410004,171.279999,175.130005,170.853745,1144600
2020-07-14,174.050003,178.399994,173.389999,177.929993,173.585358,1045300
2020-07-15,181.309998,182.139999,179.160004,181.279999,176.853577,1357300
2020-07-16,181.000000,185.789993,180.300003,182.919998,178.453522,1431300
2020-07-17,184.169998,189.020004,183.820007,188.250000,183.653381,1979400
2020-07-20,186.770004,187.740005,184.339996,186.169998,181.624176,1943000
2020-07-21,186.500000,189.770004,186.240005,187.179993,182.609497,1335100
2020-07-22,186.000000,191.179993,185.929993,189.080002,184.463135,1436000
2020-07-23,187.910004,188.800003,185.759995,186.979996,182.414398,1844600
2020-07-24,187.009995,188.360001,186.619995,187.009995,182.443649,1099300
2020-07-27,186.470001,190.740005,185.169998,189.929993,185.292374,1418300
2020-07-28,189.330002,189.910004,184.210007,185.100006,180.580322,1850700
2020-07-29,188.070007,193.880005,185.190002,192.820007,188.111801,2315500
2020-07-30,190.960007,191.080002,186.149994,188.869995,184.258224,1631700
2020-07-31,190.960007,193.220001,184.919998,192.210007,187.516693,1746200
2020-08-03,192.380005,193.179993,188.559998,190.470001,185.819183,1224300
2020-08-04,189.460007,192.550003,189.029999,192.389999,187.692291,1319900
2020-08-05,193.929993,194.729996,192.210007,193.059998,188.345947,1129900
2020-08-06,191.779999,196.399994,191.539993,195.770004,191.924240,1388400
