Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,19.430000,19.440001,18.870001,19.080000,17.399540,3998300
2020-01-03,18.780001,18.850000,18.500000,18.660000,17.016529,3206800
2020-01-06,18.520000,18.930000,18.440001,18.900000,17.235394,3492000
2020-01-07,18.950001,19.150000,18.730000,19.000000,17.326586,3362600
2020-01-08,19.070000,19.270000,18.950001,19.200001,17.508970,2967000
2020-01-09,19.309999,19.320000,19.049999,19.160000,17.472494,3903500
2020-01-10,19.230000,19.350000,19.120001,19.240000,17.545448,2339300
2020-01-13,19.309999,19.600000,19.040001,19.570000,17.846382,2514100
2020-01-14,19.520000,20.049999,19.400000,19.980000,18.220274,3991600
2020-01-15,19.879999,20.219999,19.740000,19.820000,18.074364,3610900
2020-01-16,20.040001,20.230000,19.879999,20.209999,18.430016,2708400
2020-01-17,20.299999,20.490000,20.190001,20.260000,18.475613,2712600
2020-01-21,19.530001,20.080000,19.530001,20.049999,18.284109,3623700
2020-01-22,20.059999,20.230000,20.030001,20.090000,18.320583,1803400
2020-01-23,19.980000,20.230000,19.650000,20.160000,18.384418,1845200
2020-01-24,20.110001,20.180000,19.730000,19.889999,18.138197,1479300
2020-01-27,19.400000,19.820000,19.350000,19.600000,17.873741,2902100
2020-01-28,19.740000,20.129999,19.500000,20.100000,18.329702,3021800
2020-01-29,20.209999,20.240000,19.840000,19.860001,18.110842,2448300
2020-01-30,19.790001,20.010000,19.559999,20.000000,18.238512,2422900
2020-01-31,19.980000,20.000000,19.410000,19.530001,17.809904,5176300
2020-02-03,19.620001,20.010000,19.559999,19.709999,17.974052,2841400
2020-02-04,19.990000,20.080000,19.799999,19.910000,18.156439,3584400
2020-02-05,20.139999,20.540001,20.049999,20.530001,18.721832,3676000
2020-02-06,20.680000,20.799999,20.160000,20.219999,18.439131,2370100
2020-02-07,20.110001,20.139999,19.830000,20.059999,18.293224,2763000
2020-02-10,19.930000,20.200001,19.850000,20.190001,18.411776,2880500
2020-02-11,20.209999,20.340000,20.080000,20.170000,18.393538,2340300
2020-02-12,20.230000,20.360001,19.660000,19.690001,17.955816,3684600
2020-02-13,19.650000,19.910000,19.459999,19.520000,17.800785,4622500
2020-02-14,18.930000,20.690001,18.549999,20.100000,18.329702,7850400
2020-02-18,20.030001,20.459999,19.709999,20.020000,18.256752,3006700
2020-02-19,20.090000,20.270000,19.799999,19.900000,18.147318,2647800
2020-02-20,19.830000,20.219999,19.780001,19.889999,18.138197,3323000
2020-02-21,19.750000,19.879999,19.209999,19.230000,17.536327,2779900
2020-02-24,18.700001,18.770000,18.120001,18.240000,16.633526,5676800
2020-02-25,18.280001,18.450001,16.980000,17.030001,15.530094,7006300
2020-02-26,17.120001,17.330000,16.570000,16.590000,15.128846,4196000
