Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,81.150002,81.169998,78.959999,79.870003,73.695023,1951400
2020-01-03,79.000000,80.010002,78.879997,79.930000,73.750381,1018300
2020-01-06,79.389999,79.669998,78.959999,79.529999,73.381294,1436600
2020-01-07,79.800003,80.040001,78.970001,79.110001,72.993774,1598300
2020-01-08,79.349998,79.949997,79.250000,79.320000,73.187538,1737400
2020-01-09,79.500000,80.019997,79.389999,79.750000,73.584290,1838700
2020-01-10,79.750000,80.089996,79.180000,79.250000,73.122940,1278600
2020-01-13,79.269997,79.680000,78.809998,79.680000,73.519699,1622500
2020-01-14,79.440002,79.830002,79.279999,79.629997,73.473557,1521200
2020-01-15,79.580002,79.959999,79.320000,79.459999,73.316711,1181500
2020-01-16,79.730003,79.889999,79.379997,79.699997,73.538162,1572100
2020-01-17,79.820000,80.739998,79.559998,80.489998,74.267067,2673200
2020-01-21,80.410004,81.000000,80.139999,80.269997,74.064079,2219000
2020-01-22,80.349998,80.459999,79.220001,79.470001,73.325935,1806500
2020-01-23,79.070000,79.190002,77.809998,78.750000,72.661606,1587000
2020-01-24,78.849998,78.849998,77.580002,77.699997,71.692780,1715000
2020-01-27,76.589996,77.419998,76.070000,76.870003,70.926956,2306800
2020-01-28,77.370003,77.580002,76.550003,76.760002,70.825447,2490300
2020-01-29,76.910004,77.000000,76.099998,76.209999,70.317978,1318500
2020-01-30,75.680000,76.110001,74.839996,75.989998,70.114990,2364200
2020-01-31,76.089996,76.360001,75.050003,75.309998,69.487564,3829200
2020-02-03,75.650002,76.820000,75.410004,75.639999,69.792046,1944000
2020-02-04,76.470001,77.129997,76.220001,76.730003,70.797760,2086000
2020-02-05,77.349998,78.290001,77.209999,77.769997,71.757370,1801500
2020-02-06,78.309998,78.940002,76.570000,76.589996,70.668594,1352800
2020-02-07,76.230003,76.449997,74.959999,75.739998,69.884308,1867300
2020-02-10,75.680000,77.010002,75.650002,77.000000,71.046906,3172400
2020-02-11,79.489998,80.250000,76.629997,77.279999,71.305237,3727800
2020-02-12,78.000000,79.290001,77.449997,78.849998,72.753868,2650800
2020-02-13,78.529999,80.019997,78.529999,79.529999,73.381294,2695400
2020-02-14,79.750000,79.750000,77.570000,78.139999,72.098755,1551900
2020-02-18,78.120003,78.730003,78.110001,78.610001,72.532425,1902500
2020-02-19,78.769997,79.070000,78.489998,78.620003,72.541664,1356000
2020-02-20,78.489998,78.989998,77.860001,78.779999,72.689285,1405000
2020-02-21,78.379997,78.570000,77.470001,78.269997,72.218704,2300300
2020-02-24,76.849998,76.900002,75.389999,76.239998,70.345657,1946700
2020-02-25,76.349998,76.440002,73.489998,74.019997,68.297302,2596900
2020-02-26,74.080002,75.120003,72.410004,72.410004,66.811768,3233200
2020-02-27,70.730003,72.010002,69.489998,69.519997,64.145187,4206900
2020-02-28,67.989998,69.709999,67.059998,69.279999,63.923744,4338700
2020-03-02,69.410004,70.470001,67.550003,70.360001,64.920258,3538400
2020-03-03,70.120003,71.739998,68.209999,69.190002,63.840717,2445500
2020-03-04,70.150002,71.110001,69.370003,70.980003,65.492325,2718400
2020-03-05,69.059998,69.279999,67.669998,68.120003,62.853458,3066500
2020-03-06,66.209999,67.529999,64.769997,65.820000,60.731258,4352400
2020-03-09,62.610001,62.619999,60.250000,60.369999,56.258183,3560800
2020-03-10,62.020000,64.230003,59.430000,64.180000,59.808689,2865900
2020-03-11,62.450001,62.880001,60.970001,62.220001,57.982189,2809900
2020-03-12,58.680000,59.599998,55.349998,56.549999,52.698372,3116800
2020-03-13,59.380001,62.939999,55.389999,62.910000,58.625191,4004800
2020-03-16,56.869999,60.740002,52.840000,57.230000,53.332054,4404900
2020-03-17,58.450001,59.889999,52.500000,59.509998,55.456764,4066400
2020-03-18,55.790001,56.439999,51.340000,56.029999,52.213783,3439800
2020-03-19,55.250000,58.549999,54.520000,54.840000,51.104839,2884200
2020-03-20,55.520000,55.580002,48.380001,49.509998,46.137859,3724200
2020-03-23,48.790001,50.459999,46.369999,48.299999,45.010281,3214800
2020-03-24,51.650002,52.340000,49.599998,51.480000,47.973686,3357600
2020-03-25,51.619999,56.680000,49.709999,52.160000,48.607376,5590100
2020-03-26,52.790001,56.590000,52.490002,56.349998,52.511986,3272000
2020-03-27,54.250000,55.919998,51.250000,51.980000,48.439632,3339800
2020-03-30,51.490002,55.500000,50.560001,54.919998,51.179386,3251600
2020-03-31,55.090000,56.200001,54.040001,54.900002,51.160748,2484900
2020-04-01,52.290001,53.189999,50.810001,51.669998,48.150742,3258600
2020-04-02,51.130001,54.099998,50.180000,52.110001,48.560783,2678700
2020-04-03,51.799999,53.270000,49.480000,49.590000,46.212421,2310600
2020-04-06,51.820000,54.049999,51.090000,53.700001,50.042484,2223700
2020-04-07,56.450001,56.750000,54.189999,54.259998,50.564339,2827200
2020-04-08,54.439999,55.150002,52.900002,54.669998,50.946415,2470600
