Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,207.009995,209.770004,206.149994,209.770004,203.335251,845200
2020-01-03,205.630005,207.839996,203.190002,206.820007,200.475754,895400
2020-01-06,204.750000,206.979996,203.720001,206.910004,200.563019,734100
2020-01-07,206.899994,207.440002,205.000000,206.490005,200.155884,699500
2020-01-08,207.130005,207.539993,205.699997,206.630005,200.291580,711500
2020-01-09,207.080002,208.130005,205.500000,207.130005,200.776260,587500
2020-01-10,207.000000,208.130005,204.720001,205.309998,199.012070,802100
2020-01-13,205.529999,208.470001,204.500000,208.080002,201.697113,749100
2020-01-14,207.660004,209.050003,206.220001,206.759995,200.417572,719100
2020-01-15,205.940002,207.990005,204.020004,205.339996,199.041138,983800
2020-01-16,206.350006,208.130005,205.970001,207.750000,201.377213,515800
2020-01-17,207.570007,209.750000,206.949997,207.000000,200.650208,859200
2020-01-21,205.899994,206.429993,201.229996,202.050003,195.852051,1016700
2020-01-22,202.479996,203.279999,198.440002,198.740005,192.643585,1005500
2020-01-23,197.669998,202.279999,195.619995,201.809998,195.619431,1221900
2020-01-24,202.029999,202.029999,196.589996,198.279999,192.197708,659700
2020-01-27,194.089996,195.720001,192.500000,194.020004,188.068390,815300
2020-01-28,195.570007,198.380005,194.199997,196.800003,190.763107,1020500
2020-01-29,198.000000,201.190002,197.940002,199.020004,192.915024,1389900
2020-01-30,205.119995,209.289993,199.929993,205.149994,198.856964,2165600
2020-01-31,202.529999,202.529999,194.070007,195.690002,189.687180,1947600
2020-02-03,196.639999,203.380005,195.949997,198.130005,192.052307,1185300
2020-02-04,202.240005,207.490005,202.240005,206.119995,199.797211,1161800
2020-02-05,209.479996,210.770004,207.199997,210.440002,203.984711,947500
2020-02-06,210.130005,210.179993,206.789993,209.850006,204.266983,967000
2020-02-07,207.929993,209.210007,206.699997,207.820007,202.291016,947300
2020-02-10,206.539993,209.610001,206.250000,209.449997,203.877625,501800
2020-02-11,211.320007,213.679993,210.539993,212.250000,206.603134,586800
2020-02-12,214.490005,215.399994,213.309998,213.910004,208.218979,679600
2020-02-13,212.259995,214.330002,211.500000,213.029999,207.362381,575600
2020-02-14,213.130005,213.339996,210.600006,211.839996,206.204071,535200
2020-02-18,210.669998,211.350006,208.259995,210.580002,204.977554,800200
2020-02-19,211.160004,212.759995,210.610001,211.779999,206.145630,904900
2020-02-20,211.229996,215.940002,210.869995,215.279999,209.552521,946100
2020-02-21,213.800003,215.270004,211.740005,215.199997,209.474655,702100
2020-02-24,207.199997,208.039993,201.500000,203.110001,197.706299,1294800
2020-02-25,204.029999,204.820007,193.919998,194.479996,189.305908,1308100
2020-02-26,196.429993,197.610001,189.369995,189.669998,184.623901,2268100
2020-02-27,184.919998,193.100006,181.729996,185.910004,180.963928,1722200
2020-02-28,179.119995,184.770004,176.300003,184.770004,179.854248,2000000
2020-03-02,186.199997,193.029999,182.750000,192.589996,187.466187,1122000
2020-03-03,192.009995,198.809998,185.820007,186.509995,181.547943,1184000
2020-03-04,189.589996,194.979996,187.250000,194.570007,189.393524,1584900
2020-03-05,186.919998,188.410004,177.460007,178.440002,173.692657,1920400
2020-03-06,173.199997,174.410004,163.479996,164.990005,160.600510,3336000
2020-03-09,150.000000,152.369995,138.410004,146.479996,142.582947,3002000
