Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,38.869999,38.980000,38.330002,38.680000,37.773914,2049300
2020-01-03,38.490002,39.080002,38.310001,39.020000,38.105953,2607200
2020-01-06,39.099998,39.570000,39.000000,39.310001,38.389153,2145700
2020-01-07,39.520000,39.810001,39.200001,39.570000,38.643066,4916900
2020-01-08,40.130001,40.480000,39.919998,39.930000,38.994633,5464200
2020-01-09,40.000000,40.230000,39.570000,39.810001,38.877445,3737700
2020-01-10,39.549999,40.419998,39.400002,39.990002,39.053230,3008500
2020-01-13,39.970001,40.470001,39.959999,40.430000,39.482922,2988400
2020-01-14,40.500000,41.040001,40.410000,40.939999,39.980972,3172400
2020-01-15,41.000000,41.599998,40.840000,41.310001,40.342304,2735800
2020-01-16,41.430000,41.740002,41.310001,41.660000,40.684109,2037700
2020-01-17,41.889999,42.220001,41.700001,41.790001,40.811066,2322500
2020-01-21,41.869999,42.650002,41.759998,42.540001,41.543495,3415800
2020-01-22,42.619999,43.189999,42.279999,42.880001,41.875530,2588000
2020-01-23,42.919998,44.160000,42.889999,43.849998,42.822800,3867300
2020-01-24,43.959999,44.320000,43.480000,43.709999,42.686085,4147400
2020-01-27,43.349998,44.450001,43.299999,44.299999,43.262268,5233300
2020-01-28,45.320000,47.299999,44.090000,46.840000,45.742760,9197100
2020-01-29,47.000000,47.110001,44.849998,46.009998,44.932209,5995300
2020-01-30,46.000000,46.410000,45.459999,45.680000,44.609940,3302700
2020-01-31,45.880001,46.060001,44.580002,44.650002,43.604073,4180000
2020-02-03,44.799999,45.080002,44.520000,44.660000,43.613831,2816000
2020-02-04,44.799999,44.910000,44.060001,44.080002,43.047421,4343900
2020-02-05,44.090000,45.290001,43.720001,45.270000,44.209545,2974000
2020-02-06,45.610001,45.910000,45.259998,45.490002,44.424389,3720100
2020-02-07,45.730000,46.330002,45.509998,46.099998,45.020100,3333900
2020-02-10,46.310001,46.740002,46.250000,46.660000,45.566978,2163500
2020-02-11,46.669998,47.150002,46.369999,46.980000,45.879482,2358700
2020-02-12,46.930000,47.169998,46.360001,46.700001,45.606049,1986400
2020-02-13,46.500000,47.009998,46.389999,46.689999,45.596275,2796800
2020-02-14,46.959999,47.000000,46.389999,46.689999,45.596275,1854100
2020-02-18,46.439999,47.020000,46.250000,46.650002,45.557220,2382600
2020-02-19,47.070000,47.369999,46.520000,46.549999,45.459560,3037000
2020-02-20,46.480000,46.820000,45.770000,46.669998,45.576752,4012200
2020-02-21,46.700001,47.119999,46.380001,46.410000,45.322838,2104400
2020-02-24,45.599998,46.000000,45.130001,45.250000,44.190010,3154900
2020-02-25,45.279999,45.389999,43.340000,43.349998,42.334518,2929700
2020-02-26,42.669998,43.750000,41.930000,42.070000,41.084499,4577300
2020-02-27,41.450001,43.330002,40.910000,41.740002,40.762238,4835600
2020-02-28,40.570000,41.500000,39.110001,40.200001,39.258305,9512700
2020-03-02,40.490002,41.740002,39.639999,41.549999,40.576683,5879100
2020-03-03,42.000000,43.450001,41.189999,42.189999,41.201687,5791900
2020-03-04,42.770000,44.490002,42.770000,44.419998,43.379448,6005600
2020-03-05,43.590000,44.130001,42.630001,42.959999,41.953655,4308200
2020-03-06,41.360001,42.029999,40.310001,41.500000,40.527859,4006800
2020-03-09,38.990002,39.709999,36.860001,38.630001,37.725094,5384600
2020-03-10,39.560001,40.090000,37.520000,39.630001,38.701660,4085800
2020-03-11,38.389999,38.660000,35.290001,35.340000,34.512154,6645200
2020-03-12,32.590000,32.930000,28.530001,30.490000,29.877218,6071400
2020-03-13,32.070000,32.689999,28.590000,30.530001,29.916412,6548800
2020-03-16,23.400000,25.420000,23.400000,24.080000,23.596045,6508800
