Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,112.080002,113.180000,111.379997,112.199997,101.667015,1607900
2020-01-03,111.250000,112.419998,108.190002,108.489998,98.305283,2236900
2020-01-06,108.239998,108.440002,107.209999,107.809998,97.689140,3917100
2020-01-07,107.129997,108.220001,106.739998,108.139999,97.988159,2687900
2020-01-08,108.320000,108.440002,103.809998,104.099998,94.327408,3452600
2020-01-09,103.379997,105.669998,102.220001,105.620003,95.704720,3127700
2020-01-10,105.639999,106.750000,104.809998,104.870003,95.025139,1910700
2020-01-13,104.919998,106.019997,104.540001,105.300003,95.414772,2243100
2020-01-14,105.269997,106.660004,104.989998,106.379997,96.393379,2753400
2020-01-15,105.570000,105.709999,104.120003,104.889999,95.043251,2386300
2020-01-16,105.559998,105.669998,103.650002,103.790001,94.046509,2568200
2020-01-17,103.790001,103.949997,102.519997,103.309998,93.611572,2782000
2020-01-21,102.500000,102.989998,101.910004,102.339996,92.732635,2102000
2020-01-22,102.800003,102.989998,101.570000,101.860001,92.297707,2505400
2020-01-23,101.489998,102.129997,100.000000,102.080002,92.497040,3520300
2020-01-24,101.900002,101.989998,99.370003,100.320000,90.902267,2120500
2020-01-27,98.269997,98.349998,96.620003,96.919998,87.821457,2472800
2020-01-28,97.449997,97.900002,96.610001,96.690002,87.613052,2926900
2020-01-29,97.180000,98.910004,95.550003,95.800003,86.806595,2395600
2020-01-30,95.230003,96.550003,94.500000,96.410004,87.359329,2610400
2020-01-31,94.900002,94.930000,90.209999,91.370003,82.792458,6451000
2020-02-03,91.290001,91.379997,88.440002,88.970001,80.617783,4306800
2020-02-04,90.570000,90.860001,88.279999,88.720001,80.391235,3427900
2020-02-05,90.370003,93.290001,90.309998,92.639999,83.943245,3100700
2020-02-06,92.989998,93.070000,90.050003,90.220001,81.750427,2606100
2020-02-07,89.970001,90.489998,89.260002,90.330002,81.850113,2481500
2020-02-10,89.860001,91.040001,89.620003,90.260002,81.786682,2171400
2020-02-11,90.940002,90.980003,89.550003,90.269997,81.795731,2682900
2020-02-12,91.589996,92.300003,90.449997,91.139999,82.584053,2361400
2020-02-13,91.000000,91.470001,90.169998,90.339996,81.859161,2727700
2020-02-14,89.519997,90.230003,88.610001,89.470001,81.886620,2254900
2020-02-18,88.709999,89.099998,87.070000,88.000000,80.541214,4542600
2020-02-19,88.500000,88.730003,86.720001,88.360001,80.870705,2441800
2020-02-20,88.510002,90.290001,88.410004,90.190002,82.545593,2905900
2020-02-21,89.519997,90.160004,88.690002,89.250000,81.685265,2406900
2020-02-24,86.620003,87.879997,85.930000,86.559998,79.223267,3732700
2020-02-25,86.830002,87.300003,82.269997,82.809998,75.791115,4211800
2020-02-26,83.099998,83.739998,80.279999,80.330002,73.521324,4156400
2020-02-27,78.699997,78.739998,74.239998,74.260002,67.965813,6900500
2020-02-28,71.699997,75.370003,71.389999,74.860001,68.514954,7137800
2020-03-02,75.269997,75.449997,72.220001,75.110001,68.743752,5279400
2020-03-03,75.459999,77.580002,72.099998,72.860001,66.684464,5710300
2020-03-04,74.019997,74.769997,72.419998,74.629997,68.304443,4201800
2020-03-05,72.150002,73.820000,71.529999,71.980003,65.879066,5724800
2020-03-06,70.000000,71.160004,68.019997,69.300003,63.426212,6374400
2020-03-09,62.650002,69.099998,60.200001,62.090000,56.827320,7993800
2020-03-10,65.949997,66.870003,60.290001,63.360001,57.989674,7047200
2020-03-11,61.040001,61.669998,54.119999,55.150002,50.475548,8448500
2020-03-12,51.020000,51.209999,44.810001,46.400002,42.467190,11492100
2020-03-13,50.709999,54.410000,46.650002,54.360001,49.752499,6997200
2020-03-16,46.770000,57.590000,45.320000,48.270000,44.178688,7192800
2020-03-17,49.080002,50.730000,45.959999,46.669998,42.714302,6274500
2020-03-18,44.840000,46.930000,40.040001,42.970001,39.327904,6970800
2020-03-19,43.250000,46.639999,41.810001,45.680000,41.808212,4936100
2020-03-20,47.189999,50.959999,45.360001,48.349998,44.251904,7605100
2020-03-23,47.689999,48.000000,41.410000,42.090000,38.522503,6075800
2020-03-24,45.750000,46.320000,42.400002,45.580002,41.716690,5476000
2020-03-25,46.189999,52.900002,43.660000,50.500000,46.219673,6516900
2020-03-26,51.400002,56.740002,51.060001,54.389999,49.779964,6014400
2020-03-27,52.080002,54.340000,50.049999,52.320000,47.885414,4191500
2020-03-30,50.669998,54.930000,48.689999,54.160000,49.569454,5207900
2020-03-31,55.709999,56.500000,52.049999,53.650002,49.102680,4743800
2020-04-01,51.470001,51.849998,49.040001,49.509998,45.313583,4142800
2020-04-02,51.500000,56.099998,50.060001,51.720001,47.336269,5169000
2020-04-03,53.000000,53.349998,50.340000,51.619999,47.244743,3587300
2020-04-06,54.090000,57.930000,53.439999,57.419998,52.553146,5347800
2020-04-07,60.169998,61.560001,58.009998,58.630001,53.660587,5281100
2020-04-08,59.619999,64.199997,59.389999,63.700001,58.300861,3754800
2020-04-09,67.110001,67.440002,59.400002,61.520000,56.305634,5316800
2020-04-13,63.099998,63.799999,60.980000,61.560001,56.342243,3438100
2020-04-14,61.810001,62.410000,60.080002,61.070000,55.893764,3496900
2020-04-15,58.310001,58.400002,55.060001,56.470001,51.683666,4093100
2020-04-16,55.970001,56.389999,53.160000,53.529999,48.992859,4363300
2020-04-17,54.950001,59.689999,54.639999,59.529999,54.484303,5601700
2020-04-20,57.000000,60.279999,56.509998,58.119999,53.193810,3468500
2020-04-21,55.509998,58.000000,54.410000,56.799999,51.985695,3287100
2020-04-22,59.669998,59.869999,57.349998,58.180000,53.248730,3071800
2020-04-23,60.070000,60.639999,58.360001,59.970001,54.887009,3419800
2020-04-24,61.000000,61.619999,59.529999,60.529999,55.399544,3399900
2020-04-27,60.650002,64.129997,60.169998,63.490002,58.108658,3234300
2020-04-28,65.150002,67.669998,64.230003,67.339996,61.632324,3851900
2020-04-29,70.000000,73.800003,69.500000,73.500000,67.270218,5191400
2020-04-30,73.510002,75.629997,72.010002,73.169998,66.968185,5993400
2020-05-01,70.550003,71.370003,65.260002,66.360001,60.735397,6626600
2020-05-04,66.010002,74.410004,65.699997,73.480003,67.251923,7575800
2020-05-05,75.500000,76.769997,73.910004,75.199997,68.826118,6934400
2020-05-06,75.820000,76.290001,71.820000,71.910004,65.814995,5972000
2020-05-07,73.790001,75.629997,72.529999,73.309998,67.096321,3586900
2020-05-08,74.629997,77.440002,73.779999,77.059998,70.528473,3275800
2020-05-11,76.160004,77.739998,75.849998,76.669998,70.171524,3441800
2020-05-12,77.120003,77.370003,73.489998,73.529999,67.297676,3117400
2020-05-13,73.000000,73.360001,70.519997,71.029999,65.009567,3687400
2020-05-14,69.599998,72.790001,67.870003,71.750000,65.668556,3159700
2020-05-15,70.470001,71.900002,69.129997,70.930000,65.742706,2830600
2020-05-18,75.000000,77.739998,74.739998,76.279999,70.701439,4530900
2020-05-19,76.000000,76.809998,74.110001,75.220001,69.718964,3736700
2020-05-20,76.809998,79.110001,76.650002,78.250000,72.527367,3501500
2020-05-21,78.650002,79.099998,76.820000,77.089996,71.452202,2299500
2020-05-22,76.339996,76.839996,75.150002,76.459999,70.868271,2036100
2020-05-26,79.160004,79.919998,78.459999,78.970001,73.194702,2747400
2020-05-27,80.000000,81.919998,79.110001,81.730003,75.752869,3328100
2020-05-28,81.919998,82.029999,78.199997,78.559998,72.814682,4129200
2020-05-29,78.330002,79.300003,77.080002,78.260002,72.536644,4305200
2020-06-01,78.029999,78.970001,76.309998,78.830002,73.064949,2470200
2020-06-02,79.639999,81.730003,79.080002,81.570000,75.604568,3151900
2020-06-03,82.849998,84.360001,82.639999,83.730003,77.606606,2562400
2020-06-04,82.559998,83.639999,81.680000,83.129997,77.050484,2586300
2020-06-05,86.769997,88.459999,86.150002,87.400002,81.008202,3767300
2020-06-08,88.559998,89.790001,87.389999,89.730003,83.167816,3355700
2020-06-09,86.559998,86.910004,85.129997,85.669998,79.404716,3809900
2020-06-10,85.050003,87.019997,83.410004,84.330002,78.162727,3201700
2020-06-11,78.010002,79.849998,74.959999,75.000000,69.515045,4387200
2020-06-12,77.730003,79.660004,75.320000,77.260002,71.609756,3025700
2020-06-15,73.430000,76.589996,72.599998,75.599998,70.071167,4308900
2020-06-16,78.900002,78.949997,75.180000,77.040001,71.405861,3419100
2020-06-17,77.040001,77.269997,72.839996,72.879997,67.550079,3665500
2020-06-18,72.510002,76.669998,72.099998,76.239998,70.664368,3760200
2020-06-19,78.000000,78.410004,74.610001,74.699997,69.236992,7484400
2020-06-22,74.099998,74.839996,72.900002,74.400002,68.958931,2455400
2020-06-23,74.750000,75.459999,74.169998,74.699997,69.236992,2749700
2020-06-24,73.500000,73.720001,69.320000,69.989998,64.871437,3560200
2020-06-25,69.419998,71.459999,68.889999,70.070000,64.945595,2655200
2020-06-26,69.730003,69.750000,67.959999,68.070000,63.091858,3797700
2020-06-29,68.839996,69.760002,67.820000,68.660004,63.638718,2364900
2020-06-30,68.019997,72.349998,67.260002,71.900002,66.641769,3502500
2020-07-01,71.769997,73.349998,68.830002,69.110001,64.055801,2251700
2020-07-02,70.269997,70.980003,68.279999,68.419998,63.416248,2624100
2020-07-06,69.610001,69.949997,66.279999,68.089996,63.110401,3592400
2020-07-07,67.190002,67.250000,64.480003,64.610001,59.884899,3120400
2020-07-08,64.680000,65.559998,63.639999,63.980000,59.300968,3798000
2020-07-09,64.000000,64.330002,58.919998,58.980000,54.666637,6096200
2020-07-10,58.730000,61.119999,58.720001,61.060001,56.594521,4247900
2020-07-13,61.340000,61.770000,59.500000,60.270000,55.862289,3481400
2020-07-14,59.630001,62.209999,59.400002,61.959999,57.428699,3423300
2020-07-15,63.970001,65.720001,62.700001,65.459999,60.672729,3635500
2020-07-16,65.070000,66.120003,63.869999,64.870003,60.125885,1857300
2020-07-17,65.309998,66.160004,63.590000,63.840000,59.171207,2122100
2020-07-20,63.849998,64.559998,62.270000,62.330002,57.771637,2079600
2020-07-21,63.730000,66.900002,63.500000,66.419998,61.562523,3241200
2020-07-22,65.160004,65.529999,63.910000,65.250000,60.478092,2585400
2020-07-23,64.820000,65.699997,63.970001,65.180000,60.413216,2104700
2020-07-24,65.449997,66.480003,64.750000,65.059998,60.301979,2040600
2020-07-27,64.750000,65.029999,63.599998,64.589996,59.866352,1826600
2020-07-28,64.139999,64.959999,63.400002,63.580002,58.930225,2428300
2020-07-29,64.160004,65.589996,63.709999,65.580002,60.783962,2449100
2020-07-30,64.010002,64.209999,61.299999,63.090000,58.476063,3118400
2020-07-31,61.369999,63.099998,60.590000,62.020000,57.484310,5838600
2020-08-03,61.310001,62.000000,60.040001,61.119999,56.650127,4331600
2020-08-04,60.750000,62.330002,60.119999,61.849998,57.326740,3412600
2020-08-05,63.119999,63.119999,60.529999,61.959999,57.428699,4538200
2020-08-06,61.099998,62.950001,60.680000,60.970001,56.511097,3187800
2020-08-07,60.599998,62.990002,60.139999,62.869999,58.272148,2914000
2020-08-10,63.369999,64.919998,62.900002,64.870003,60.125885,3387100
2020-08-11,66.389999,67.470001,63.750000,64.110001,59.421463,3544200
2020-08-12,65.339996,65.510002,63.810001,64.410004,59.699528,3442200
2020-08-13,63.849998,64.290001,62.619999,62.630001,58.049702,2875500
2020-08-14,62.099998,63.759998,61.860001,63.660000,59.004375,2638100
2020-08-17,62.700001,63.139999,62.130001,62.360001,58.628311,2816100
2020-08-18,62.259998,62.500000,61.090000,61.310001,57.641144,2658800
2020-08-19,61.500000,62.090000,60.369999,61.419998,57.744560,3100800
2020-08-20,60.759998,61.590000,60.619999,60.970001,57.321491,2598700
2020-08-21,61.000000,61.779999,60.570000,60.970001,57.321491,3124900
2020-08-24,61.250000,63.680000,60.680000,63.650002,59.841114,3011200
2020-08-25,63.700001,63.950001,61.419998,61.630001,57.941994,2303900
2020-08-26,61.419998,61.840000,60.009998,60.029999,56.437737,3003400
2020-08-27,60.180000,60.430000,59.070000,60.259998,56.653973,3160200
2020-08-28,60.349998,62.070000,60.349998,61.790001,58.092422,2469100
2020-08-31,61.849998,61.919998,58.459999,58.470001,54.971096,3657000
2020-09-01,58.380001,59.410000,57.709999,58.790001,55.271946,3194900
2020-09-02,58.590000,60.380001,57.830002,60.049999,56.456543,4491700
2020-09-03,60.130001,61.730000,59.200001,59.689999,56.118080,3365700
2020-09-04,60.000000,60.639999,58.560001,58.980000,55.450573,3420100
2020-09-08,58.320000,59.630001,57.869999,57.959999,54.491608,4119800
2020-09-09,58.040001,58.630001,57.160000,57.869999,54.406994,3057100
2020-09-10,58.160000,58.259998,55.349998,55.360001,52.047195,3100900
2020-09-11,55.689999,57.419998,54.880001,57.070000,53.654873,3002100
2020-09-14,57.520000,58.919998,57.430000,58.369999,54.877071,2889700
2020-09-15,58.250000,59.540001,57.709999,58.049999,54.576221,3397700
2020-09-16,58.750000,61.730000,58.110001,60.509998,56.889015,5347700
2020-09-17,58.820000,60.419998,58.759998,60.349998,56.738586,4187000
2020-09-18,59.250000,60.720001,58.930000,59.820000,56.240303,7292400
2020-09-21,57.919998,58.230000,55.580002,55.919998,52.573681,6187500
2020-09-22,55.709999,56.820000,54.869999,55.360001,52.047195,4135900
2020-09-23,55.470001,55.820000,52.560001,52.630001,49.480560,3725300
2020-09-24,52.299999,53.849998,51.049999,52.849998,49.687397,2981000
2020-09-25,52.070000,53.279999,51.700001,52.880001,49.715603,2824300
2020-09-28,53.939999,54.639999,53.430000,53.980000,50.749779,2126600
