Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,152.020004,153.149994,151.169998,152.339996,142.638107,995700
2020-01-03,155.000000,156.419998,152.889999,153.350006,143.583786,1782100
2020-01-06,154.910004,159.009995,153.020004,158.110001,148.040619,2126300
2020-01-07,157.550003,157.800003,155.649994,156.949997,146.954514,1343700
2020-01-08,157.960007,158.889999,150.699997,152.080002,142.394669,2125400
2020-01-09,152.089996,152.850006,149.550003,152.229996,142.535065,1516200
2020-01-10,151.630005,151.729996,148.850006,149.399994,139.885330,1976100
2020-01-13,149.289993,149.550003,146.470001,146.779999,137.432190,2104800
2020-01-14,146.690002,148.110001,145.070007,146.779999,137.432190,1583200
2020-01-15,146.039993,146.470001,144.050003,145.399994,136.140045,1249000
2020-01-16,146.389999,149.309998,146.070007,146.990005,137.628815,1419300
2020-01-17,147.830002,148.880005,146.880005,148.789993,139.314194,1812800
2020-01-21,147.910004,149.539993,146.639999,147.350006,137.965897,1273300
2020-01-22,146.750000,146.830002,144.089996,144.630005,135.419113,1519100
2020-01-23,143.089996,143.300003,140.080002,140.429993,131.486603,1974800
2020-01-24,140.100006,142.259995,139.110001,142.029999,132.984711,1266300
2020-01-27,138.369995,138.869995,134.970001,135.389999,126.767570,1652100
2020-01-28,137.169998,141.830002,136.399994,140.970001,131.992218,2173400
2020-01-29,141.779999,142.600006,138.839996,138.919998,130.072754,1077200
2020-01-30,136.899994,139.479996,134.699997,137.529999,128.771301,1663100
2020-01-31,135.029999,135.839996,133.500000,135.000000,126.402405,1601200
2020-02-03,135.259995,136.089996,132.289993,132.570007,124.127182,1335300
2020-02-04,135.850006,138.990005,134.960007,135.899994,127.245117,2073400
2020-02-05,138.949997,142.970001,138.589996,142.190002,133.134491,1402700
2020-02-06,142.820007,142.820007,139.940002,140.440002,131.495941,918300
2020-02-07,138.750000,139.309998,136.619995,137.820007,129.042816,1041700
2020-02-10,136.759995,137.190002,135.479996,136.750000,128.040955,1193600
2020-02-11,139.380005,139.389999,135.839996,136.130005,127.460434,1654000
2020-02-12,138.720001,139.860001,136.869995,137.610001,128.846176,1170700
2020-02-13,136.520004,140.580002,136.119995,140.039993,131.121429,1399000
2020-02-14,140.600006,141.009995,137.570007,139.229996,130.363022,936500
2020-02-18,137.000000,137.949997,133.789993,135.559998,126.926735,1719300
2020-02-19,136.240005,142.009995,135.919998,141.169998,132.179474,2390600
2020-02-20,144.000000,147.240005,139.820007,142.529999,133.452850,2394400
2020-02-21,141.089996,142.889999,139.490005,142.250000,133.190689,1403400
2020-02-24,135.690002,137.330002,133.880005,135.970001,127.310646,1549700
2020-02-25,136.779999,137.199997,129.149994,130.089996,121.805107,1835800
2020-02-26,130.789993,131.800003,125.349998,125.489998,117.498062,2010200
2020-02-27,120.730003,127.570000,117.300003,122.669998,114.857666,2747500
2020-02-28,117.699997,122.889999,117.650002,122.779999,114.960640,3469300
2020-03-02,124.459999,125.129997,119.269997,124.320000,116.402573,3385300
2020-03-03,124.970001,124.970001,118.150002,120.029999,112.385780,2113600
2020-03-04,122.070000,124.540001,120.239998,123.500000,115.634781,1788100
2020-03-05,119.019997,122.260002,116.870003,118.610001,111.056229,1907900
2020-03-06,113.410004,114.440002,101.900002,105.120003,98.425346,5181500
2020-03-09,72.860001,74.959999,64.529999,66.309998,62.086983,7675200
2020-03-10,70.760002,80.190002,67.589996,79.860001,74.774040,6753600
2020-03-11,76.180000,77.470001,67.239998,70.239998,65.766708,4409100
2020-03-12,63.919998,66.459999,58.810001,60.680000,56.815544,4695300
2020-03-13,66.199997,70.709999,60.919998,70.680000,66.178680,4543800
2020-03-16,59.480000,68.790001,57.240002,59.720001,55.916687,3588800
2020-03-17,59.820000,61.959999,54.500000,57.529999,53.866154,4181200
2020-03-18,52.009998,57.990002,48.619999,56.770000,53.154552,4272600
2020-03-19,56.919998,63.500000,55.099998,60.369999,56.525280,4247900
2020-03-20,62.810001,68.559998,59.290001,61.759998,57.826752,4374400
2020-03-23,61.689999,62.970001,57.200001,61.290001,57.386688,3061900
2020-03-24,66.790001,73.580002,63.290001,72.620003,67.995140,3901100
2020-03-25,72.129997,75.410004,67.379997,72.309998,67.704872,2980000
2020-03-26,72.440002,74.750000,71.389999,74.339996,69.605591,2894500
2020-03-27,70.529999,72.930000,67.760002,68.650002,64.277969,2940200
2020-03-30,65.790001,67.349998,62.189999,66.489998,62.758320,3132700
2020-03-31,69.099998,72.830002,67.559998,70.150002,66.212906,2657500
2020-04-01,66.900002,68.970001,62.540001,67.769997,63.966480,2571700
2020-04-02,71.190002,81.480003,70.410004,75.150002,70.932289,4907200
2020-04-03,79.000000,80.000000,72.839996,74.680000,70.488670,4925400
2020-04-06,76.099998,76.800003,72.900002,76.239998,71.961121,2280400
2020-04-07,81.290001,84.260002,74.790001,75.309998,71.083313,2989300
2020-04-08,77.480003,81.610001,74.839996,80.290001,75.783821,3283800
2020-04-09,83.000000,84.120003,72.580002,75.480003,71.243767,4751600
2020-04-13,79.029999,79.599998,75.400002,78.550003,74.141472,2213200
2020-04-14,77.050003,80.000000,76.489998,77.370003,73.027695,2164400
2020-04-15,72.529999,76.480003,71.529999,74.919998,70.715195,2066800
2020-04-16,73.879997,73.940002,69.989998,71.110001,67.119026,3087300
2020-04-17,72.750000,77.320000,72.080002,76.629997,72.329224,2814300
2020-04-20,71.379997,75.360001,69.769997,71.279999,67.279510,3763800
2020-04-21,68.019997,74.279999,67.000000,73.470001,69.346596,3700600
2020-04-22,77.589996,80.739998,77.080002,80.660004,76.133057,3360400
2020-04-23,83.330002,84.800003,78.639999,79.309998,74.858810,3135100
2020-04-24,80.669998,80.669998,74.680000,77.449997,73.103210,2983400
2020-04-27,76.209999,82.959999,73.510002,81.860001,77.265701,2612100
2020-04-28,83.760002,85.400002,81.260002,82.760002,78.115196,1953600
2020-04-29,86.010002,90.129997,84.059998,89.800003,84.760094,2497600
