Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,277.899994,278.299988,274.890015,278.149994,264.148865,181300
2020-01-03,275.459991,278.269989,275.459991,277.239990,263.284668,162400
2020-01-06,277.089996,277.750000,275.489990,276.589996,262.667358,265200
2020-01-07,275.850006,276.630005,274.029999,274.170013,260.369202,244300
2020-01-08,274.920013,277.200012,273.329987,273.339996,259.580963,225700
2020-01-09,273.589996,276.869995,273.589996,276.239990,262.334961,193800
2020-01-10,275.980011,277.269989,273.570007,274.829987,260.996002,220700
2020-01-13,274.559998,276.690002,274.559998,275.959991,262.069092,158700
2020-01-14,273.489990,276.350006,273.489990,274.649994,260.825043,203400
2020-01-15,274.320007,276.579987,273.029999,275.540009,261.670227,206700
2020-01-16,276.970001,278.410004,276.390015,277.429993,263.465088,264200
2020-01-17,278.649994,281.450012,278.649994,279.970001,265.877258,205900
2020-01-21,280.000000,280.950012,278.649994,280.000000,265.905701,398400
2020-01-22,280.190002,281.089996,278.890015,281.000000,266.855408,561600
2020-01-23,278.989990,281.140015,276.329987,280.920013,266.779449,336400
2020-01-24,280.869995,281.980011,275.480011,277.350006,263.389130,258800
2020-01-27,274.429993,275.630005,272.630005,272.679993,258.954193,173900
2020-01-28,273.890015,276.859985,273.890015,275.140015,261.290375,214900
2020-01-29,275.160004,276.369995,273.619995,274.619995,260.796539,192500
2020-01-30,273.070007,277.100006,271.940002,276.880005,262.942780,214100
2020-01-31,276.000000,278.869995,275.859985,276.570007,262.648407,454200
2020-02-03,277.109985,281.140015,276.660004,279.589996,265.516357,288100
2020-02-04,281.489990,282.329987,277.589996,277.589996,263.617065,236400
2020-02-05,278.989990,283.309998,278.640015,283.299988,269.039612,344900
2020-02-06,283.940002,284.269989,280.260010,280.450012,266.333069,374300
2020-02-07,279.510010,285.850006,279.510010,282.579987,268.355896,229100
2020-02-10,282.079987,285.959991,281.779999,285.880005,271.489777,215100
2020-02-11,287.630005,294.309998,284.260010,291.640015,276.959839,411900
2020-02-12,291.959991,291.959991,284.910004,287.679993,273.199158,243300
2020-02-13,287.029999,291.799988,287.029999,291.779999,277.092773,233900
2020-02-14,292.059998,293.899994,289.660004,291.369995,276.703400,209700
2020-02-18,290.500000,290.600006,287.179993,289.790009,275.202942,205900
2020-02-19,291.239990,291.839996,289.529999,290.579987,275.953156,243700
2020-02-20,289.000000,290.059998,285.239990,287.929993,273.436554,160500
2020-02-21,287.399994,289.950012,286.970001,289.850006,275.259918,235000
2020-02-24,285.559998,287.440002,281.170013,283.040009,268.792725,593100
2020-02-25,282.440002,283.619995,277.670013,278.549988,264.528717,438500
2020-02-26,280.109985,281.059998,273.230011,273.230011,259.476471,349000
2020-02-27,270.489990,274.359985,261.799988,261.809998,248.631332,354000
2020-02-28,256.839996,257.839996,242.229996,247.880005,235.402557,676700
2020-03-02,248.009995,260.100006,247.740005,258.160004,245.165115,771700
2020-03-03,258.149994,262.000000,251.250000,253.440002,240.682663,439400
2020-03-04,256.980011,269.589996,255.509995,269.390015,255.829819,302700
2020-03-05,263.119995,263.920013,254.199997,257.179993,244.234406,304400
2020-03-06,249.339996,255.000000,246.529999,253.509995,240.749146,334200
2020-03-09,223.139999,243.229996,223.139999,234.770004,222.952469,513300
2020-03-10,240.869995,241.289993,229.289993,240.449997,229.864151,397600
2020-03-11,233.250000,237.729996,223.889999,227.949997,217.914459,497200
2020-03-12,211.759995,211.869995,200.820007,200.820007,191.978867,625900
2020-03-13,210.869995,214.259995,200.779999,213.089996,203.708710,704200
2020-03-16,182.960007,205.979996,170.500000,182.610001,174.570572,803600
2020-03-17,186.740005,199.039993,180.399994,198.029999,189.311707,605600
2020-03-18,183.580002,190.910004,172.149994,188.710007,180.402039,625400
