Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,155.399994,156.169998,154.039993,156.110001,153.704605,444200
2020-01-03,154.089996,155.940002,153.119995,155.289993,152.897232,417200
2020-01-06,154.960007,156.119995,153.850006,156.029999,153.625839,449100
2020-01-07,155.009995,156.089996,154.729996,155.149994,152.759430,351400
2020-01-08,155.729996,157.500000,154.179993,156.270004,153.862167,474800
2020-01-09,157.080002,158.429993,156.570007,157.580002,155.151993,444700
2020-01-10,158.000000,158.460007,155.869995,156.889999,154.472610,392900
2020-01-13,157.399994,158.580002,156.449997,158.270004,155.831360,383600
2020-01-14,157.479996,158.419998,156.949997,158.320007,155.880600,312100
2020-01-15,158.429993,159.729996,157.899994,158.720001,156.274414,408900
2020-01-16,159.520004,160.750000,158.199997,160.729996,158.253433,725300
2020-01-17,160.979996,161.979996,160.240005,160.570007,158.095917,475800
2020-01-21,160.389999,162.309998,160.009995,161.940002,159.444809,506500
2020-01-22,162.899994,165.000000,161.839996,164.380005,161.847198,386300
2020-01-23,163.559998,164.130005,160.889999,161.389999,158.903275,531900
2020-01-24,161.529999,163.100006,160.809998,162.389999,159.887863,549500
2020-01-27,160.000000,161.800003,159.570007,160.619995,158.145111,444000
2020-01-28,161.240005,164.419998,161.240005,163.300003,160.783844,533600
2020-01-29,164.139999,167.050003,164.110001,165.839996,163.284683,571600
2020-01-30,164.309998,165.520004,162.990005,165.440002,162.890869,619500
2020-01-31,164.380005,166.029999,158.160004,158.970001,156.520538,1157500
2020-02-03,159.460007,163.990005,159.229996,163.139999,160.626312,735000
2020-02-04,165.440002,167.649994,164.919998,166.850006,164.279160,708700
2020-02-05,168.309998,169.050003,166.960007,167.740005,165.155441,555800
2020-02-06,168.179993,170.570007,167.130005,170.509995,167.882736,379400
2020-02-07,170.250000,171.639999,168.759995,171.460007,168.818100,465100
2020-02-10,171.070007,173.289993,170.820007,173.190002,170.521454,487500
2020-02-11,174.179993,174.899994,173.039993,174.350006,171.663589,356700
2020-02-12,173.509995,174.729996,172.470001,172.759995,170.479401,555100
2020-02-13,172.589996,175.160004,172.279999,174.880005,172.571442,497800
2020-02-14,175.050003,176.699997,173.949997,176.600006,174.268738,318300
2020-02-18,176.139999,176.860001,174.179993,174.800003,172.492477,637500
2020-02-19,175.529999,177.990005,175.020004,176.619995,174.288467,378000
2020-02-20,176.399994,176.529999,172.509995,176.000000,173.676651,290700
2020-02-21,175.369995,175.699997,173.539993,173.880005,171.584656,448200
2020-02-24,169.919998,171.449997,168.259995,169.830002,167.588104,436900
