Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,151.330002,151.490005,148.479996,149.119995,139.030396,1262100
2020-01-03,148.789993,149.429993,147.669998,147.759995,137.762466,1264900
2020-01-06,147.740005,149.139999,147.740005,149.000000,138.918549,1107200
2020-01-07,148.350006,149.320007,147.610001,148.880005,138.806686,1210600
2020-01-08,149.330002,150.479996,149.009995,149.899994,139.757660,1255000
2020-01-09,149.759995,150.220001,148.550003,148.820007,138.750748,1119400
2020-01-10,149.250000,150.300003,149.130005,149.759995,139.627106,1144100
2020-01-13,149.800003,151.800003,149.750000,151.169998,140.941727,968300
2020-01-14,151.250000,151.929993,150.389999,151.220001,140.988327,1341400
2020-01-15,151.779999,154.470001,151.779999,154.139999,143.710754,1030300
2020-01-16,154.520004,155.979996,154.279999,155.179993,144.680389,1428000
2020-01-17,155.479996,157.300003,155.139999,157.199997,146.563705,1445700
2020-01-21,157.020004,158.119995,156.419998,157.960007,147.272308,1508100
2020-01-22,158.179993,158.809998,157.080002,157.550003,146.890045,899700
2020-01-23,157.449997,160.179993,157.059998,160.059998,149.230209,1533500
2020-01-24,159.789993,160.509995,159.009995,159.759995,148.950516,981100
2020-01-27,159.149994,160.199997,157.860001,158.539993,147.813049,949100
2020-01-28,158.949997,159.949997,158.550003,159.820007,149.006470,1000700
2020-01-29,159.470001,159.809998,158.199997,158.679993,147.943573,962100
2020-01-30,158.770004,161.380005,158.369995,161.130005,150.227829,929000
2020-01-31,160.550003,161.199997,159.570007,160.639999,149.770981,1917400
2020-02-03,161.289993,161.869995,160.550003,161.059998,150.162552,958500
2020-02-04,160.679993,161.660004,158.779999,158.970001,148.213959,1422000
2020-02-05,158.940002,160.320007,158.529999,159.050003,148.288559,976800
2020-02-06,159.339996,161.240005,158.630005,160.500000,149.640457,1344100
2020-02-07,160.660004,161.080002,158.360001,158.589996,147.859695,1250700
2020-02-10,158.690002,159.250000,157.600006,157.979996,147.290955,885100
2020-02-11,158.529999,159.580002,158.119995,158.559998,147.831711,677900
2020-02-12,157.910004,159.300003,157.570007,158.889999,148.139389,825900
2020-02-13,158.789993,159.789993,157.770004,159.000000,148.241959,1261100
2020-02-14,159.619995,160.960007,159.619995,160.960007,150.069321,774400
2020-02-18,161.500000,161.759995,160.460007,160.889999,150.004059,1158500
2020-02-19,160.649994,161.279999,159.649994,159.729996,148.922531,790000
2020-02-20,159.330002,160.270004,158.839996,159.889999,149.071732,1182200
2020-02-21,159.570007,160.589996,158.240005,158.429993,147.710495,1285800
2020-02-24,157.839996,158.229996,154.119995,154.160004,143.729416,2065900
2020-02-25,154.490005,154.770004,149.089996,149.570007,139.449982,1744900
2020-02-26,149.949997,150.940002,146.460007,146.869995,136.932648,2132100
2020-02-27,147.559998,150.669998,141.380005,141.419998,131.851410,3214000
2020-02-28,138.100006,140.839996,134.649994,139.779999,130.322372,4207700
2020-03-02,140.460007,143.699997,139.169998,142.229996,132.606613,3323600
2020-03-03,142.649994,146.270004,139.940002,141.020004,131.478485,2534100
2020-03-04,142.699997,148.000000,142.520004,147.839996,137.837051,1564700
2020-03-05,144.919998,145.399994,140.789993,141.759995,132.168396,3109500
2020-03-06,138.110001,142.649994,136.720001,141.869995,132.270966,2474700
2020-03-09,134.100006,136.139999,125.110001,127.760002,119.115654,3550700
2020-03-10,129.860001,134.020004,122.180000,130.600006,121.763512,4230100
2020-03-11,127.269997,127.790001,117.739998,122.949997,114.631111,3777100
2020-03-12,116.419998,116.419998,103.849998,104.269997,97.215004,3994900
2020-03-13,109.779999,109.980003,98.160004,106.919998,99.685707,3748000
2020-03-16,98.000000,101.820000,88.129997,88.620003,82.623909,3728900
2020-03-17,89.290001,100.550003,88.300003,98.379997,91.723534,5059000
2020-03-18,92.989998,102.949997,89.160004,102.400002,95.471542,3882900
2020-03-19,101.459999,101.559998,96.440002,100.000000,94.195190,2471400
2020-03-20,99.150002,105.839996,97.320000,99.639999,93.856094,5236600
2020-03-23,100.309998,100.309998,88.000000,93.419998,87.997147,3145300
2020-03-24,96.669998,105.650002,95.370003,104.029999,97.991264,2826300
2020-03-25,104.160004,119.620003,101.129997,114.019997,107.401360,3365500
2020-03-26,111.349998,125.279999,110.029999,123.599998,116.425255,2017000
