Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,85.059998,85.129997,83.980003,84.660004,80.074654,2121900
2020-01-03,84.199997,84.720001,83.930000,84.349998,79.781441,1759900
2020-01-06,84.150002,84.250000,83.500000,84.239998,79.677406,1916800
2020-01-07,84.239998,84.349998,83.400002,83.559998,79.034233,1701400
2020-01-08,83.889999,84.959999,83.620003,84.529999,79.951691,2945900
2020-01-09,84.739998,85.129997,84.440002,84.629997,80.046265,1914800
2020-01-10,84.739998,85.089996,84.709999,84.919998,80.320564,1593600
2020-01-13,84.900002,85.019997,83.279999,83.720001,79.185562,3467300
2020-01-14,83.040001,83.410004,82.190002,82.400002,77.937050,2797700
2020-01-15,82.860001,83.360001,82.250000,82.650002,78.173515,2806800
2020-01-16,83.279999,83.449997,82.519997,82.660004,78.182976,2588300
2020-01-17,83.150002,83.879997,82.510002,82.820000,78.334290,4796900
2020-01-21,82.540001,83.470001,82.500000,83.230003,78.722099,2821400
2020-01-22,83.620003,84.120003,83.080002,83.139999,78.636978,2410600
2020-01-23,82.860001,83.800003,82.750000,83.589996,79.062607,1863100
2020-01-24,83.660004,83.839996,82.239998,82.629997,78.154587,1902300
2020-01-27,82.150002,82.570000,81.660004,82.339996,77.880310,1547000
2020-01-28,82.389999,82.769997,82.199997,82.669998,78.192429,1557800
2020-01-29,82.839996,82.959999,81.849998,81.889999,77.454681,1377900
2020-01-30,81.690002,82.900002,81.440002,82.839996,78.353218,2051000
2020-01-31,82.650002,83.250000,81.900002,82.139999,77.691132,2786000
2020-02-03,81.209999,81.209999,76.209999,76.680000,72.526855,5033600
2020-02-04,76.160004,76.160004,74.559998,75.059998,70.994598,5782000
2020-02-05,75.089996,75.879997,74.389999,75.699997,71.599930,3465600
2020-02-06,75.919998,76.750000,75.699997,76.620003,72.470116,2867200
2020-02-07,76.940002,77.360001,76.570000,77.360001,73.170021,2903000
2020-02-10,77.330002,77.750000,76.580002,76.959999,72.791695,2539100
2020-02-11,76.699997,76.860001,75.779999,76.269997,72.139053,2287400
2020-02-12,76.260002,77.629997,76.199997,77.459999,73.264618,2503700
2020-02-13,77.629997,78.629997,77.599998,77.940002,73.718628,2382600
2020-02-14,78.230003,78.480003,77.949997,78.209999,73.973991,1613600
2020-02-18,78.059998,78.489998,76.639999,76.830002,72.668747,3264600
2020-02-19,76.809998,77.180000,76.010002,76.199997,72.072861,1553100
2020-02-20,76.279999,77.040001,76.000000,76.709999,72.555229,1398400
2020-02-21,76.699997,77.309998,76.449997,77.040001,72.867371,1883500
2020-02-24,76.629997,76.800003,75.400002,75.540001,71.448608,1951100
2020-02-25,75.650002,76.220001,73.910004,74.050003,70.039299,3031200
2020-02-26,74.320000,74.650002,72.690002,72.870003,68.923218,3585000
2020-02-27,72.250000,72.440002,69.660004,69.680000,65.905998,4305100
2020-02-28,67.970001,68.260002,65.519997,66.650002,63.040115,5831700
2020-03-02,67.110001,69.889999,67.019997,69.680000,65.905998,5055000
2020-03-03,69.379997,73.260002,67.470001,68.500000,64.789909,4131900
2020-03-04,69.169998,70.669998,67.779999,70.650002,66.823463,3063900
2020-03-05,69.190002,69.940002,66.959999,67.650002,63.985935,3987200
2020-03-06,66.019997,67.300003,65.129997,66.949997,63.323849,3331300
2020-03-09,62.500000,63.779999,60.250000,61.250000,57.932583,4898600
2020-03-10,62.709999,62.860001,59.560001,62.419998,59.039207,4385700
2020-03-11,60.970001,61.689999,54.430000,55.150002,52.162975,7360200
2020-03-12,49.919998,51.549999,43.490002,43.509998,41.153408,9736200
2020-03-13,48.599998,49.419998,43.259998,47.070000,44.520599,15153300
2020-03-16,40.720001,42.400002,37.500000,37.750000,35.705391,10264200
2020-03-17,38.020000,38.380001,32.040001,35.060001,33.161083,17467700
2020-03-18,33.619999,33.619999,26.000000,31.240000,29.547979,26221600
2020-03-19,31.049999,40.480000,28.760000,37.110001,35.100052,11766500
2020-03-20,41.689999,45.680000,35.200001,35.330002,33.416454,13695300
2020-03-23,34.580002,36.939999,32.369999,36.270000,34.305546,11719200
2020-03-24,39.299999,43.000000,37.880001,38.980000,36.868763,10948100
2020-03-25,39.540001,47.020000,39.430000,45.650002,43.177509,10269100
2020-03-26,47.209999,54.029999,47.000000,53.480000,50.583420,10600600
2020-03-27,50.029999,53.119999,48.880001,50.450001,47.717533,9237800
2020-03-30,49.560001,49.990002,45.450001,46.349998,43.839592,7373500
2020-03-31,46.049999,48.180000,45.549999,45.630001,43.158592,5556500
2020-04-01,41.980000,42.700001,39.009998,41.869999,39.602238,7411600
2020-04-02,40.990002,43.480000,40.410000,41.290001,39.477940,4878000
2020-04-03,40.599998,41.000000,37.200001,39.500000,37.766499,6871400
2020-04-06,42.049999,45.540001,41.529999,45.009998,43.034691,6654500
2020-04-07,48.639999,49.619999,45.750000,46.070000,44.048164,6634800
2020-04-08,47.279999,50.000000,46.450001,47.250000,45.176384,5878200
2020-04-09,49.040001,52.680000,48.770000,49.590000,47.413689,6390700
2020-04-13,49.650002,49.810001,45.470001,47.049999,44.985161,3125500
2020-04-14,48.020000,49.919998,47.349998,48.320000,46.199425,3717000
2020-04-15,45.680000,46.419998,44.099998,46.099998,44.076855,4823600
2020-04-16,46.070000,47.169998,44.400002,45.740002,43.732655,6002300
2020-04-17,49.509998,51.250000,49.189999,50.310001,48.102093,8095300
2020-04-20,49.389999,50.689999,48.700001,49.610001,47.432816,3801800
2020-04-21,48.799999,50.049999,48.150002,49.099998,46.945194,6099900
2020-04-22,50.250000,52.439999,49.410000,51.349998,49.096447,4984700
2020-04-23,49.110001,51.349998,48.709999,49.750000,47.566669,8693900
2020-04-24,50.700001,54.360001,50.459999,53.080002,50.750526,7246300
2020-04-27,53.500000,55.500000,53.200001,54.919998,52.509777,7303200
2020-04-28,56.299999,57.990002,55.790001,55.840000,53.389400,7775300
2020-04-29,58.209999,58.990002,57.169998,58.599998,56.028275,5109800
2020-04-30,57.549999,58.099998,55.880001,56.270000,53.800533,7067500
2020-05-01,54.500000,54.860001,52.500000,52.759998,50.444569,3836900
2020-05-04,51.910000,54.029999,51.560001,53.830002,51.467617,4510100
2020-05-05,54.650002,55.500000,50.380001,50.540001,48.321999,7369700
2020-05-06,50.980000,52.080002,50.200001,51.880001,49.603188,6033900
2020-05-07,52.070000,53.570000,51.160000,52.279999,49.985638,4513300
2020-05-08,53.080002,53.480000,52.020000,53.290001,50.951313,2470500
2020-05-11,53.270000,53.270000,51.389999,51.700001,49.431091,3776700
2020-05-12,51.889999,52.650002,49.250000,49.279999,47.117290,4616600
2020-05-13,49.250000,49.290001,45.869999,46.689999,44.640957,5348100
2020-05-14,45.560001,48.080002,44.169998,47.980000,45.874344,5468900
2020-05-15,47.430000,47.840000,46.259998,47.619999,45.530148,7648800
2020-05-18,50.290001,53.669998,50.250000,52.700001,50.387207,6195600
2020-05-19,52.410000,53.439999,50.470001,51.380001,49.125134,3769800
2020-05-20,52.740002,53.240002,52.049999,52.580002,50.272472,3562500
2020-05-21,52.590000,53.840000,52.139999,52.480000,50.176857,3555100
2020-05-22,52.790001,52.799999,51.169998,51.750000,49.478897,3537500
2020-05-26,53.750000,55.630001,53.130001,55.110001,52.691437,4736800
2020-05-27,56.000000,57.750000,55.360001,56.950001,54.450695,5737800
2020-05-28,57.520000,57.599998,55.369999,55.950001,53.494579,4973700
2020-05-29,55.270000,56.590000,54.450001,55.160000,52.739246,9024400
2020-06-01,56.139999,57.770000,55.590000,57.180000,54.670601,3068200
2020-06-02,57.310001,57.680000,56.110001,56.639999,54.154289,2869800
2020-06-03,57.990002,59.650002,57.900002,59.099998,56.506329,3076400
2020-06-04,58.590000,59.480000,57.340000,58.590000,56.018707,2880100
2020-06-05,63.369999,64.379997,61.139999,61.590000,58.887058,6726900
2020-06-08,65.010002,65.010002,63.180000,64.110001,61.296467,6450100
2020-06-09,62.889999,62.889999,60.150002,61.389999,58.695835,5418700
2020-06-10,61.470001,61.580002,56.930000,56.990002,54.488937,6988000
2020-06-11,53.860001,55.340000,53.020000,53.369999,51.027798,6348400
2020-06-12,55.669998,56.150002,52.700001,54.259998,51.878738,4364300
2020-06-15,52.490002,55.000000,51.810001,54.880001,52.471535,4326600
2020-06-16,56.680000,57.770000,55.369999,56.529999,54.049122,4707100
2020-06-17,56.639999,56.639999,54.369999,54.480000,52.089085,2544100
2020-06-18,54.000000,56.000000,53.250000,55.930000,53.475452,3470700
2020-06-19,56.889999,56.930000,54.150002,54.259998,51.878738,5948500
2020-06-22,53.950001,55.189999,52.869999,55.000000,52.586269,3270500
2020-06-23,56.680000,59.740002,56.680000,58.279999,55.722317,7164200
2020-06-24,56.689999,57.099998,53.529999,54.880001,52.471535,5383600
2020-06-25,54.139999,55.580002,53.759998,55.000000,52.586269,2793400
2020-06-26,54.700001,54.700001,52.259998,52.299999,50.004757,6824500
2020-06-29,52.950001,54.950001,52.160000,54.419998,52.031719,2971100
2020-06-30,54.000000,55.200001,53.509998,54.660000,52.261189,4668300
2020-07-01,54.400002,55.240002,52.750000,53.700001,51.769524,3393500
2020-07-02,54.880001,55.939999,53.980000,54.060001,52.116577,4925000
2020-07-06,55.150002,55.540001,53.480000,53.759998,51.827362,2530100
2020-07-07,53.450001,53.700001,52.169998,53.020000,51.113968,2827100
2020-07-08,52.959999,54.049999,52.570000,53.110001,51.200729,3457000
2020-07-09,52.849998,52.880001,50.180000,50.980000,49.147305,3704200
2020-07-10,51.029999,52.389999,50.029999,52.310001,50.429493,2442300
2020-07-13,52.660000,53.900002,51.689999,52.439999,50.554817,3136800
2020-07-14,52.049999,53.220001,51.470001,52.959999,51.056129,2607900
2020-07-15,54.299999,55.720001,54.209999,55.439999,53.446976,2938300
2020-07-16,55.070000,55.650002,54.340000,54.619999,52.656448,1944200
2020-07-17,55.020000,55.070000,53.820000,54.169998,52.222626,1727500
2020-07-20,53.520000,54.349998,52.500000,53.029999,51.123604,2727200
2020-07-21,53.619999,55.250000,53.540001,54.720001,52.752853,2329000
2020-07-22,54.709999,56.349998,54.240002,55.340000,53.350559,2289900
2020-07-23,55.160000,55.450001,54.369999,54.939999,52.964947,2855000
2020-07-24,54.540001,55.090000,54.330002,54.939999,52.964947,2070900
2020-07-27,54.590000,54.799999,53.770000,53.990002,52.049095,2373100
2020-07-28,53.840000,54.259998,53.299999,53.500000,51.576710,1957800
2020-07-29,53.720001,54.349998,53.080002,53.990002,52.049095,2633000
2020-07-30,53.049999,53.599998,52.330002,53.590000,51.663479,2101400
2020-07-31,53.169998,53.450001,52.209999,52.849998,50.950077,3070000
2020-08-03,52.730000,52.790001,50.900002,52.130001,50.255966,2901800
2020-08-04,52.599998,54.189999,52.130001,54.110001,52.164783,3407900
2020-08-05,54.580002,55.099998,54.020000,54.990002,53.013149,4392000
2020-08-06,54.910000,57.730000,54.680000,56.400002,54.372459,3328400
2020-08-07,55.799999,58.720001,55.689999,57.799999,55.722130,4447500
2020-08-10,58.259998,60.529999,58.209999,60.099998,57.939445,4006000
