Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,56.410000,56.680000,55.880001,56.669998,52.596294,5607100
2020-01-03,56.150002,56.299999,55.660000,56.200001,52.160088,4434300
2020-01-06,55.490002,55.799999,55.150002,55.730000,51.723869,9669300
2020-01-07,55.669998,55.669998,55.090000,55.490002,51.501129,5272800
2020-01-08,55.419998,55.820000,55.310001,55.610001,51.612495,6232700
2020-01-09,55.910000,56.220001,55.709999,56.180000,52.141518,5700600
2020-01-10,56.380001,56.500000,55.730000,55.959999,51.937336,5032600
2020-01-13,55.799999,56.230000,55.689999,56.220001,52.178646,6121900
2020-01-14,56.180000,56.490002,55.910000,56.360001,52.308586,5214100
2020-01-15,55.910000,56.119999,54.900002,55.130001,51.166996,5899900
2020-01-16,55.189999,55.869999,55.189999,55.860001,51.844521,4493800
2020-01-17,56.299999,56.380001,55.849998,56.290001,52.243618,5789200
2020-01-21,56.049999,56.529999,55.840000,56.279999,52.234325,6698600
2020-01-22,56.500000,56.500000,56.130001,56.340000,52.290016,3952800
2020-01-23,55.990002,56.389999,55.240002,56.360001,52.308586,4256400
2020-01-24,56.299999,56.349998,55.020000,55.480000,51.491837,5520200
2020-01-27,54.520000,54.970001,54.340000,54.680000,50.749344,5952300
2020-01-28,55.009998,55.389999,54.740002,54.959999,51.009220,4390300
2020-01-29,55.090000,55.250000,53.650002,53.860001,49.988293,5487500
2020-01-30,52.849998,53.099998,49.369999,52.130001,48.382652,13251600
2020-01-31,51.860001,51.880001,51.240002,51.570000,47.862907,7724900
2020-02-03,51.980000,52.939999,51.970001,52.500000,48.726055,5448600
2020-02-04,53.400002,53.910000,53.090000,53.160000,49.338608,4516900
2020-02-05,53.820000,54.680000,53.779999,54.430000,50.517323,4896000
2020-02-06,54.650002,54.880001,53.799999,54.180000,50.285290,4376900
2020-02-07,53.669998,54.400002,53.330002,54.270000,50.368820,4123200
2020-02-10,53.840000,54.419998,53.840000,54.330002,50.424507,2885000
2020-02-11,54.369999,55.119999,54.369999,54.810001,50.869999,3769300
2020-02-12,55.189999,55.470001,54.209999,54.439999,50.526596,4264500
2020-02-13,53.959999,54.910000,53.790001,54.820000,51.303356,4162700
2020-02-14,54.799999,54.970001,54.389999,54.939999,51.415657,4074200
2020-02-18,54.630001,54.799999,53.540001,54.009998,50.545319,4265800
2020-02-19,54.259998,54.650002,54.049999,54.610001,51.106827,3414600
2020-02-20,54.389999,55.439999,54.230000,55.310001,51.761929,5185600
2020-02-21,54.830002,55.099998,54.240002,54.849998,51.331429,5640300
2020-02-24,53.650002,54.340000,53.270000,53.770000,50.320717,7350700
2020-02-25,53.750000,53.779999,51.150002,51.310001,48.018520,7233200
2020-02-26,51.709999,52.209999,50.650002,50.700001,47.447647,6856800
2020-02-27,49.790001,50.230000,47.540001,47.549999,44.499718,7471600
2020-02-28,46.049999,46.910000,44.919998,46.139999,43.180168,10746600
2020-03-02,48.099998,48.820000,45.610001,48.810001,45.678890,8156400
2020-03-03,48.389999,49.400002,46.439999,46.889999,43.882057,10348300
2020-03-04,47.240002,47.599998,45.860001,47.380001,44.340622,9533200
2020-03-05,45.419998,45.509998,43.020000,43.610001,40.812469,12103800
2020-03-06,41.490002,42.490002,39.549999,40.669998,38.061058,13966100
2020-03-09,36.459999,37.950001,33.889999,34.509998,32.296215,15081800
2020-03-10,36.230000,36.869999,33.930000,36.340000,34.008823,14818100
2020-03-11,35.080002,35.490002,33.310001,33.660000,31.500742,11487700
2020-03-12,30.320000,33.160000,28.940001,30.219999,28.281418,12378600
2020-03-13,32.779999,34.139999,30.639999,33.830002,31.659843,12391400
2020-03-16,28.469999,30.320000,24.010000,27.370001,25.614244,12016800
2020-03-17,28.280001,29.740000,25.940001,29.270000,27.392363,14132600
2020-03-18,27.230000,29.469999,26.040001,28.320000,26.503302,11291600
2020-03-19,27.610001,32.000000,26.520000,29.969999,28.047455,10763100
2020-03-20,30.309999,30.690001,28.000000,30.040001,28.112967,15605700
2020-03-23,28.000000,29.129999,25.510000,25.690001,24.042013,12832500
2020-03-24,26.930000,30.389999,26.230000,30.120001,28.187834,10396700
2020-03-25,30.040001,32.000000,28.850000,30.670000,28.702553,13398800
2020-03-26,30.830000,34.669998,30.540001,34.279999,32.080975,10238300
2020-03-27,32.490002,34.759998,32.259998,33.270000,31.135763,8639500
2020-03-30,33.160000,33.529999,31.680000,32.560001,30.471313,7813100
2020-03-31,31.809999,32.430000,30.209999,30.840000,28.861647,8324700
2020-04-01,28.600000,29.290001,28.090000,28.469999,26.643677,9102300
2020-04-02,28.290001,29.610001,27.629999,28.480000,26.653040,8909100
2020-04-03,28.240000,28.570000,26.410000,27.209999,25.464504,9002000
2020-04-06,29.150000,30.389999,28.459999,29.770000,27.860285,11721400
2020-04-07,31.920000,32.330002,30.420000,30.590000,28.627684,11735700
2020-04-08,31.040001,32.939999,30.879999,32.700001,30.602327,8369500
