Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,19.350000,19.379999,19.020000,19.240000,19.240000,3271951
2020-01-03,18.990000,19.430000,18.889999,19.270000,19.270000,2711550
2020-01-06,19.000000,19.049999,18.209999,18.370001,18.370001,4200650
2020-01-07,18.340000,18.610001,18.250000,18.590000,18.590000,2544964
2020-01-08,18.670000,18.780001,18.040001,18.160000,18.160000,2479710
2020-01-09,18.170000,18.240000,17.613100,17.780001,17.780001,1927947
2020-01-10,17.760000,17.840000,17.559999,17.770000,17.770000,1123673
2020-01-13,17.799999,18.049999,17.679701,18.040001,18.040001,1518712
2020-01-14,18.090000,18.840000,18.059999,18.760000,18.760000,1999068
2020-01-15,18.709999,19.059999,18.699900,18.900000,18.900000,1344491
2020-01-16,19.049999,19.320000,18.959999,19.020000,19.020000,1426606
2020-01-17,19.190001,19.230000,18.309999,18.370001,18.370001,2270574
2020-01-21,18.320000,18.389999,18.030001,18.090000,18.090000,2157925
2020-01-22,18.090000,18.709999,18.090000,18.309999,18.309999,1450281
2020-01-23,18.200001,18.895000,17.980000,18.780001,18.780001,1684118
2020-01-24,18.879999,18.980000,18.520000,18.610001,18.610001,1607134
2020-01-27,18.020000,18.639999,17.950001,18.450001,18.450001,1236349
2020-01-28,18.559999,18.750000,18.240000,18.680000,18.680000,1284882
2020-01-29,18.799999,19.100000,18.680000,18.680000,18.680000,1239845
2020-01-30,18.600000,18.690001,18.250000,18.549999,18.549999,1177009
2020-01-31,18.490000,18.540001,17.914600,17.959999,17.959999,1339978
2020-02-03,18.070000,18.360001,17.969999,17.980000,17.980000,2482947
2020-02-04,18.290001,18.731501,18.160000,18.420000,18.420000,2277198
2020-02-05,18.620001,18.799999,18.090000,18.500000,18.500000,1661510
2020-02-06,18.629999,18.740000,18.350000,18.400000,18.400000,1479788
2020-02-07,18.459999,18.520000,17.870001,17.969999,17.969999,2154821
2020-02-10,18.129999,18.471001,18.010000,18.150000,18.150000,2540193
2020-02-11,15.260000,15.580000,15.020000,15.120000,15.120000,16126475
2020-02-12,15.260000,15.895000,15.200000,15.450000,15.450000,6487031
2020-02-13,15.450000,15.568000,15.080000,15.130000,15.130000,4984923
2020-02-14,15.150000,15.500000,15.150000,15.450000,15.450000,3637737
2020-02-18,15.350000,15.445000,14.910000,15.000000,15.000000,4699030
2020-02-19,15.000000,15.120000,14.800000,14.960000,14.960000,3275969
2020-02-20,15.000000,15.100000,14.730000,14.940000,14.940000,3033827
2020-02-21,14.860000,15.050000,14.510000,14.570000,14.570000,2996511
2020-02-24,13.980000,14.210000,13.810000,14.140000,14.140000,3690203
2020-02-25,14.280000,14.340000,13.270000,13.460000,13.460000,3230124
2020-02-26,13.590000,13.681900,13.040000,13.040000,13.040000,3370683
2020-02-27,12.720000,13.230000,12.370000,12.550000,12.550000,5848158
2020-02-28,12.190000,12.730000,12.180000,12.480000,12.480000,9194116
2020-03-02,12.550000,12.630000,12.190000,12.490000,12.490000,6345242
2020-03-03,12.520000,12.750000,11.880000,12.200000,12.200000,7170552
2020-03-04,12.410000,12.465000,11.840000,12.390000,12.390000,4389162
2020-03-05,12.020000,12.220000,11.601700,11.730000,11.730000,4598687
2020-03-06,11.330000,11.614100,11.030000,11.140000,11.140000,7530181
2020-03-09,10.310000,10.520000,9.510000,9.910000,9.910000,4275453
2020-03-10,10.310000,10.400000,9.665000,10.290000,10.290000,5025049
2020-03-11,10.030000,10.265000,9.870000,9.990000,9.990000,5598206
2020-03-12,9.230000,9.510000,8.670000,8.750000,8.750000,6572801
2020-03-13,9.150000,9.490000,8.770000,9.480000,9.480000,3825202
2020-03-16,8.280000,9.360000,8.130000,8.330000,8.330000,4276451
2020-03-17,8.580000,9.080000,8.070000,8.960000,8.960000,6926646
2020-03-18,8.390000,8.790000,7.250000,7.390000,7.390000,6420275
2020-03-19,7.290000,8.165000,6.800000,8.010000,8.010000,4965036
2020-03-20,8.010000,8.425000,7.147500,7.230000,7.230000,11032371
2020-03-23,7.150000,7.500000,6.790000,7.140000,7.140000,3339096
2020-03-24,7.460000,8.060000,7.460000,8.010000,8.010000,6613341
2020-03-25,8.180000,8.740000,7.585000,8.240000,8.240000,7212126
2020-03-26,8.320000,8.960000,8.080000,8.760000,8.760000,5615831
2020-03-27,8.400000,8.580000,8.070000,8.320000,8.320000,3230073
2020-03-30,8.250000,8.490000,7.919800,8.410000,8.410000,3147815
2020-03-31,8.360000,8.640000,7.955000,8.060000,8.060000,3078898
2020-04-01,7.660000,7.810000,7.200000,7.450000,7.450000,3456807
2020-04-02,7.320000,7.570000,6.600000,6.890000,6.890000,5159910
2020-04-03,6.850000,7.500000,6.600000,7.480000,7.480000,4134741
2020-04-06,7.920000,8.240000,7.720000,8.000000,8.000000,3686321
2020-04-07,8.620000,8.840000,8.190000,8.390000,8.390000,4331637
2020-04-08,8.550000,8.980000,8.480000,8.640000,8.640000,3001774
2020-04-09,8.970000,9.550000,8.920000,9.350000,9.350000,3784450
2020-04-13,9.290000,9.350000,8.600000,8.730000,8.730000,2989851
2020-04-14,9.080000,9.190000,8.757500,8.970000,8.970000,2368011
2020-04-15,8.460000,8.770000,8.250000,8.650000,8.650000,3092127
2020-04-16,8.660000,8.660000,8.230000,8.360000,8.360000,2445776
2020-04-17,8.710000,9.045000,8.700000,8.890000,8.890000,3180075
2020-04-20,8.590000,9.060000,8.570000,8.640000,8.640000,2783051
2020-04-21,8.420000,8.850000,8.300000,8.520000,8.520000,1970258
2020-04-22,8.730000,8.920000,8.560000,8.560000,8.560000,1580775
2020-04-23,8.580000,8.980000,8.580000,8.740000,8.740000,1832665
2020-04-24,8.840000,9.185000,8.840000,8.970000,8.970000,3288817
2020-04-27,9.030000,9.500000,8.880000,9.350000,9.350000,2528505
2020-04-28,9.730000,9.940000,9.445000,9.640000,9.640000,3862032
2020-04-29,9.800000,10.170000,9.730000,9.790000,9.790000,3524552
2020-04-30,9.100000,9.710000,9.000000,9.270000,9.270000,4106162
2020-05-01,9.020000,9.055000,8.610000,8.760000,8.760000,3699105
2020-05-04,8.550000,8.849900,8.350000,8.710000,8.710000,2886937
2020-05-05,8.960000,8.960000,8.420000,8.460000,8.460000,3518382
2020-05-06,8.500000,8.620000,8.090000,8.230000,8.230000,3080876
2020-05-07,8.360000,8.830000,8.357500,8.610000,8.610000,3905396
2020-05-08,8.860000,8.950000,8.640000,8.940000,8.940000,6501076
2020-05-11,8.430000,8.490000,7.830000,8.000000,8.000000,11773617
2020-05-12,8.100000,8.290000,7.600000,7.680000,7.680000,8642775
2020-05-13,7.590000,7.590000,6.900000,6.930000,6.930000,8846212
2020-05-14,6.820000,7.020000,6.370000,6.910000,6.910000,5721973
2020-05-15,6.710000,6.960000,6.580000,6.910000,6.910000,5687640
2020-05-18,7.400000,7.550000,7.250000,7.300000,7.300000,8766700
2020-05-19,7.320000,7.390000,6.950000,7.080000,7.080000,7356744
2020-05-20,7.230000,7.600000,7.120000,7.470000,7.470000,5742854
2020-05-21,6.930000,7.970000,6.910000,7.700000,7.700000,26844567
2020-05-22,7.700000,7.700000,7.320000,7.380000,7.380000,21484308
2020-05-26,7.690000,7.920000,7.550000,7.860000,7.860000,20873940
2020-05-27,8.180000,8.520000,7.930000,8.510000,8.510000,14106350
2020-05-28,8.850000,8.853300,8.050000,8.120000,8.120000,11724788
2020-05-29,8.000000,8.195000,7.800000,7.860000,7.860000,16378230
2020-06-01,7.880000,8.360000,7.810000,8.260000,8.260000,13434594
2020-06-02,8.390000,8.610000,8.300000,8.410000,8.410000,9771784
2020-06-03,8.650000,9.260000,8.650000,9.190000,9.190000,12833723
2020-06-04,9.150000,9.460000,8.910000,9.300000,9.300000,10693180
2020-06-05,10.120000,10.300000,9.760000,9.840000,9.840000,10865473
2020-06-08,10.440000,10.540000,10.040000,10.220000,10.220000,9732087
2020-06-09,9.970000,10.005000,9.560000,9.710000,9.710000,7927689
2020-06-10,9.730000,9.730000,9.070000,9.420000,9.420000,8591780
2020-06-11,8.620000,8.715000,8.430000,8.520000,8.520000,6612568
2020-06-12,9.000000,9.040000,8.330000,8.680000,8.680000,7021906
2020-06-15,8.260000,8.880000,8.188500,8.800000,8.800000,5460694
2020-06-16,9.490000,9.490000,8.990000,9.280000,9.280000,12841952
2020-06-17,9.240000,9.240000,8.785000,8.850000,8.850000,9167437
2020-06-18,8.680000,9.010000,8.550000,8.810000,8.810000,8575349
2020-06-19,9.090000,9.090000,8.440000,8.600000,8.600000,13241212
2020-06-22,8.550000,8.590000,8.280000,8.580000,8.580000,10798685
2020-06-23,8.700000,8.930000,8.520000,8.930000,8.930000,6403144
2020-06-24,8.750000,8.760000,8.260000,8.580000,8.580000,9223958
2020-06-25,8.420000,8.680000,8.290000,8.670000,8.670000,4830864
2020-06-26,8.570000,8.720000,8.100000,8.260000,8.260000,12800721
2020-06-29,8.350000,8.990000,8.210000,8.880000,8.880000,7766207
2020-06-30,8.840000,8.885000,8.530000,8.840000,8.840000,10950927
2020-07-01,8.790000,9.050000,8.640000,8.650000,8.650000,7347573
2020-07-02,8.860000,9.010000,8.620000,8.680000,8.680000,4753394
2020-07-06,8.800000,9.000000,8.660000,9.000000,9.000000,5440524
2020-07-07,8.890000,9.090000,8.560000,8.600000,8.600000,5809353
2020-07-08,8.620000,8.665000,8.410000,8.640000,8.640000,4280641
2020-07-09,8.570000,8.630000,8.210000,8.290000,8.290000,4139238
2020-07-10,8.300000,8.660000,8.220000,8.630000,8.630000,4844316
2020-07-13,8.660000,8.710000,8.360000,8.460000,8.460000,4614436
2020-07-14,8.400000,8.590000,8.250000,8.490000,8.490000,3635227
2020-07-15,8.720000,9.200000,8.700000,9.180000,9.180000,5884811
2020-07-16,9.030000,9.310000,8.960000,9.190000,9.190000,3494592
2020-07-17,9.200000,9.450000,9.075000,9.130000,9.130000,3610023
