Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,254.320007,254.830002,250.649994,254.550003,254.550003,1182300
2020-01-03,252.279999,252.479996,249.220001,250.169998,250.169998,921300
2020-01-06,248.710007,251.089996,246.740005,250.949997,250.949997,880500
2020-01-07,250.410004,254.839996,250.009995,253.089996,253.089996,1157500
2020-01-08,252.449997,259.179993,252.449997,258.000000,258.000000,1123400
2020-01-09,259.670013,266.320007,259.399994,263.500000,263.500000,1580100
2020-01-10,264.179993,267.299988,262.440002,267.279999,267.279999,1453900
2020-01-13,269.239990,279.450012,269.049988,275.700012,275.700012,1893900
2020-01-14,276.350006,283.160004,276.170013,282.619995,282.619995,1479900
2020-01-15,282.630005,284.059998,275.799988,276.200012,276.200012,1469100
2020-01-16,277.989990,280.160004,276.350006,277.000000,277.000000,715300
2020-01-17,278.000000,278.190002,271.179993,272.890015,272.890015,805500
2020-01-21,272.890015,276.839996,269.750000,272.010010,272.010010,1093900
2020-01-22,273.380005,276.190002,272.500000,273.970001,273.970001,1068300
2020-01-23,273.730011,274.390015,268.929993,272.200012,272.200012,904400
2020-01-24,272.260010,275.239990,270.869995,272.980011,272.980011,786300
2020-01-27,267.359985,276.510010,266.209991,273.700012,273.700012,837800
2020-01-28,275.000000,277.260010,271.779999,273.869995,273.869995,636100
2020-01-29,274.500000,275.690002,271.109985,273.980011,273.980011,477000
2020-01-30,270.549988,275.000000,270.149994,274.489990,274.489990,621400
2020-01-31,274.269989,274.269989,266.739990,267.910004,267.910004,730800
2020-02-03,273.000000,280.000000,272.160004,274.959991,274.959991,947900
2020-02-04,277.519989,279.880005,272.859985,273.519989,273.519989,961700
2020-02-05,275.549988,280.059998,274.440002,278.179993,278.179993,687500
2020-02-06,279.809998,293.390015,279.510010,293.049988,293.049988,1600100
2020-02-07,292.160004,297.339996,290.250000,295.959991,295.959991,1277800
2020-02-10,295.000000,297.420013,291.730011,293.250000,293.250000,767600
2020-02-11,294.890015,295.380005,290.029999,293.779999,293.779999,687900
