Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,99.669998,100.250000,99.480003,100.230003,95.142197,2555100
2020-01-03,98.900002,99.940002,98.760002,99.599998,94.544174,1966200
2020-01-06,99.000000,99.430000,98.599998,99.209999,94.173981,1967600
2020-01-07,99.169998,99.970001,98.559998,98.720001,93.708839,1766100
2020-01-08,98.000000,98.180000,96.809998,97.040001,92.114128,2980000
2020-01-09,97.139999,97.339996,95.480003,95.779999,90.918076,2582000
2020-01-10,96.180000,96.419998,94.910004,95.059998,90.234627,2499800
2020-01-13,95.320000,96.220001,95.199997,95.930000,91.060471,1992600
2020-01-14,96.000000,97.320000,95.750000,96.529999,91.630020,1704100
2020-01-15,96.440002,96.889999,95.269997,95.709999,90.851631,1491100
2020-01-16,96.400002,96.629997,95.000000,95.129997,90.301079,3285300
2020-01-17,94.650002,94.769997,93.449997,94.269997,89.484726,4608100
2020-01-21,94.070000,94.980003,93.839996,94.629997,89.826462,2661000
2020-01-22,94.610001,95.150002,94.260002,94.570000,89.769508,2245600
2020-01-23,87.800003,88.750000,84.879997,85.410004,81.074486,9031700
2020-01-24,85.760002,86.129997,84.080002,84.529999,80.239151,4766300
2020-01-27,82.790001,83.820000,82.239998,82.510002,78.321693,4136800
2020-01-28,82.970001,83.790001,82.290001,83.629997,79.384834,4187400
2020-01-29,83.910004,84.400002,83.660004,84.059998,79.792999,4054000
2020-01-30,83.959999,84.610001,83.260002,84.559998,80.267616,4023900
2020-01-31,84.129997,84.239998,82.849998,82.970001,78.758347,3498500
2020-02-03,83.300003,84.550003,82.860001,82.910004,78.701385,3163500
2020-02-04,84.110001,84.930000,83.860001,83.949997,79.688591,3143800
2020-02-05,84.370003,85.120003,83.830002,84.599998,80.305603,2324200
2020-02-06,84.940002,85.330002,84.010002,84.080002,79.812004,2328400
2020-02-07,83.349998,84.099998,82.870003,82.959999,78.748848,1954700
2020-02-10,82.830002,83.610001,82.629997,83.330002,79.100060,2011000
2020-02-11,83.000000,83.550003,82.699997,82.959999,78.748848,2011600
2020-02-12,83.580002,84.360001,83.239998,83.930000,79.669609,2233100
2020-02-13,83.529999,84.260002,83.160004,84.050003,79.783524,1672900
2020-02-14,84.279999,84.400002,83.099998,83.660004,79.413322,1812200
2020-02-18,83.300003,83.769997,82.480003,82.669998,78.473564,3911600
2020-02-19,82.980003,83.760002,82.669998,83.400002,79.166512,2323400
2020-02-20,83.449997,84.099998,82.599998,83.989998,79.726570,2701300
2020-02-21,83.510002,84.110001,82.870003,83.720001,79.470261,2529500
2020-02-24,80.750000,82.599998,80.599998,81.830002,77.676208,2964700
2020-02-25,82.180000,82.309998,77.040001,77.239998,73.319191,3876200
2020-02-26,77.599998,78.830002,76.370003,76.389999,72.512337,3554500
2020-02-27,74.910004,76.750000,73.199997,73.199997,69.484268,4158300
2020-02-28,71.089996,73.110001,70.000000,72.000000,68.345184,7248400
2020-03-02,72.500000,74.760002,70.760002,74.650002,70.860672,5197200
2020-03-03,74.870003,76.139999,70.800003,71.510002,67.880066,5683200
2020-03-04,72.360001,74.400002,70.790001,74.309998,70.537926,3392500
2020-03-05,73.070000,73.070000,70.540001,71.570000,67.937019,3251100
2020-03-06,69.470001,71.680000,68.680000,70.129997,66.570114,3433000
2020-03-09,65.089996,65.449997,62.020000,62.389999,59.631145,3356700
2020-03-10,64.519997,65.230003,60.869999,65.160004,62.278660,3563200
2020-03-11,63.259998,64.680000,62.180000,62.720001,59.946560,4547900
2020-03-12,59.000000,60.020000,53.189999,55.349998,52.902451,4128800
2020-03-13,58.099998,59.630001,54.950001,59.540001,56.907173,3136300
2020-03-16,53.770000,58.080002,51.250000,55.720001,53.256092,4363200
2020-03-17,56.590000,62.700001,54.450001,60.680000,57.996765,4618100
2020-03-18,55.720001,57.570000,52.250000,57.299999,54.766224,4013900
2020-03-19,54.790001,58.540001,53.049999,57.080002,54.555950,5305600
2020-03-20,57.560001,58.180000,51.590000,52.779999,50.446095,4461900
2020-03-23,50.669998,51.939999,45.070000,45.990002,43.956348,4546900
2020-03-24,48.959999,52.970001,48.180000,52.430000,50.111572,3026400
2020-03-25,53.160000,60.389999,52.020000,58.049999,55.483055,3709000
2020-03-26,58.090000,62.439999,57.639999,61.930000,59.191486,3228500
2020-03-27,57.869999,59.450001,57.020000,57.790001,55.234554,2568800
2020-03-30,57.830002,60.410000,57.049999,59.750000,57.107887,2829700
2020-03-31,59.060001,59.599998,53.740002,54.080002,51.688610,3254500
2020-04-01,51.119999,51.740002,47.939999,48.680000,46.527390,3775200
2020-04-02,48.189999,50.840000,47.799999,49.119999,46.947937,3393000
2020-04-03,48.700001,49.770000,48.119999,48.880001,46.718552,3672300
2020-04-06,51.270000,55.570000,51.250000,54.669998,52.252522,3562800
2020-04-07,57.939999,59.250000,56.150002,56.340000,53.848671,4103600
2020-04-08,57.230000,58.980000,56.049999,57.990002,55.425716,3090000
2020-04-09,59.439999,60.470001,58.160000,59.209999,56.591763,3280900
2020-04-13,59.200001,59.200001,57.230000,57.500000,54.957378,1861000
2020-04-14,58.900002,59.970001,58.509998,59.570000,56.935844,2148400
2020-04-15,57.619999,57.779999,55.680000,55.849998,53.380341,1716000
2020-04-16,55.939999,56.060001,53.750000,54.849998,52.424561,2114200
2020-04-17,57.049999,58.990002,56.959999,57.500000,54.957378,3372200
2020-04-20,56.349998,57.560001,55.520000,55.830002,53.361229,1700000
2020-04-21,53.500000,54.660000,52.500000,53.340000,50.981335,3697900
2020-04-22,54.400002,55.130001,53.849998,54.270000,51.870213,1885500
2020-04-23,54.090000,55.520000,53.799999,54.349998,51.946663,1656800
2020-04-24,54.860001,55.470001,54.110001,54.570000,52.156940,2573900
2020-04-27,55.430000,58.160000,55.029999,57.709999,55.158092,2592500
2020-04-28,59.270000,61.180000,58.709999,59.500000,56.868942,2726400
2020-04-29,61.500000,63.240002,59.980000,60.279999,57.614449,2819700
2020-04-30,59.349998,59.820000,57.720001,58.099998,55.530846,4254000
2020-05-01,56.560001,56.689999,55.020000,55.430000,52.978916,2242000
2020-05-04,54.480000,55.910000,54.040001,55.720001,53.256092,3507800
2020-05-05,56.639999,57.180000,55.509998,55.660000,53.198742,2314900
2020-05-06,55.750000,56.360001,54.830002,56.020000,53.542824,2938600
2020-05-07,56.709999,58.700001,56.700001,57.279999,54.747108,2587100
2020-05-08,58.439999,59.209999,58.090000,58.230000,55.655102,2020100
2020-05-11,57.470001,58.040001,56.040001,57.299999,54.766224,1742900
2020-05-12,57.610001,57.959999,55.500000,55.790001,53.322994,1939700
2020-05-13,55.200001,55.380001,52.099998,52.759998,50.426979,3217400
2020-05-14,51.959999,55.520000,50.720001,55.439999,52.988468,3805700
2020-05-15,52.910000,54.560001,51.470001,51.959999,49.662354,6502200
2020-05-18,55.070000,57.310001,54.770000,56.450001,53.953804,3027200
2020-05-19,56.580002,56.750000,54.709999,54.840000,52.415001,3632900
2020-05-20,55.790001,56.689999,55.669998,55.980000,53.504597,2515800
2020-05-21,55.700001,56.820000,55.209999,56.290001,53.800888,3369500
2020-05-22,56.529999,56.740002,54.459999,55.639999,53.179626,2076800
2020-05-26,57.910000,60.509998,57.770000,59.820000,57.174789,3060100
2020-05-27,61.389999,63.299999,61.049999,62.180000,59.430431,2800500
2020-05-28,62.680000,62.950001,58.660000,58.790001,56.190334,3062200
2020-05-29,57.840000,58.220001,55.520000,56.099998,53.619282,4086800
2020-06-01,56.180000,58.500000,55.849998,58.070000,55.502174,2922700
2020-06-02,58.750000,59.580002,58.459999,59.349998,56.725574,7396800
2020-06-03,60.459999,64.209999,60.139999,64.000000,61.169952,5531900
2020-06-04,63.599998,64.730003,62.830002,64.089996,61.255966,3260400
2020-06-05,68.709999,71.250000,67.919998,68.309998,65.289360,3576700
2020-06-08,69.089996,69.750000,66.919998,68.070000,65.059982,3609700
2020-06-09,66.430000,66.430000,64.099998,64.449997,62.037518,2466100
2020-06-10,63.849998,65.169998,62.750000,63.580002,61.200089,2875900
2020-06-11,60.799999,61.189999,59.509998,59.799999,57.561573,3287300
2020-06-12,61.759998,62.040001,58.599998,61.250000,58.957298,3657900
2020-06-15,59.180000,63.439999,58.459999,63.119999,60.757301,4267400
2020-06-16,66.370003,66.760002,64.169998,65.970001,63.500622,4208500
2020-06-17,66.139999,66.290001,63.520000,63.610001,61.228962,3108800
2020-06-18,63.009998,64.790001,62.720001,63.500000,61.123081,2287200
2020-06-19,64.889999,65.019997,62.200001,63.290001,60.920944,7135400
2020-06-22,62.540001,63.099998,61.480000,62.599998,60.256763,2189800
2020-06-23,63.830002,64.070000,62.299999,62.689999,60.343395,1955300
2020-06-24,61.520000,61.910000,58.689999,59.029999,56.820396,2400800
2020-06-25,58.500000,60.080002,58.349998,59.810001,57.571201,2121300
2020-06-26,59.619999,59.619999,56.700001,57.139999,55.001144,8854000
2020-06-29,57.720001,60.700001,57.509998,60.360001,58.100609,3108600
2020-06-30,59.919998,61.110001,59.099998,60.939999,58.658905,2651000
2020-07-01,61.209999,62.330002,60.430000,60.599998,58.331631,2279800
2020-07-02,62.060001,63.209999,61.419998,61.580002,59.274952,1833200
2020-07-06,62.759998,63.410000,61.700001,62.990002,60.632175,1805400
2020-07-07,62.000000,62.110001,59.669998,59.830002,57.590454,1979300
2020-07-08,59.840000,60.689999,59.049999,60.680000,58.408634,2173400
2020-07-09,60.430000,60.480000,58.180000,58.270000,56.088844,2774600
2020-07-10,58.560001,60.759998,58.349998,60.740002,58.466396,1776700
2020-07-13,61.330002,61.419998,59.320000,60.049999,57.802216,1965800
2020-07-14,59.810001,61.160000,59.529999,60.240002,57.985107,1507100
2020-07-15,61.619999,62.740002,61.410000,62.660000,60.314518,1978600
2020-07-16,62.049999,63.599998,61.849998,62.320000,59.987247,1897800
2020-07-17,62.459999,62.459999,59.700001,59.720001,57.484566,1920000
2020-07-20,59.160000,59.980000,57.910000,57.930000,55.761574,2361600
2020-07-21,58.520000,60.320000,58.020000,59.669998,57.436436,2407400
2020-07-22,59.450001,60.209999,59.060001,59.689999,57.455692,1571500
2020-07-23,59.470001,61.080002,59.470001,60.139999,57.888844,1607800
2020-07-24,60.810001,61.139999,59.700001,59.900002,57.657833,1605000
2020-07-27,59.599998,60.889999,59.340000,60.820000,58.543396,1471000
2020-07-28,60.369999,61.490002,60.369999,60.810001,58.533772,1263900
2020-07-29,60.849998,62.220001,60.669998,61.910000,59.592594,1124600
2020-07-30,60.950001,61.110001,60.000000,60.500000,58.235374,1908500
2020-07-31,59.099998,62.029999,58.080002,60.360001,58.100609,4156800
2020-08-03,60.330002,60.330002,57.590000,59.810001,57.571201,2450800
2020-08-04,59.360001,60.000000,58.950001,59.480000,57.253559,2119500
2020-08-05,59.810001,62.169998,59.779999,61.939999,59.621468,1849300
2020-08-06,60.990002,61.500000,59.900002,59.980000,57.734837,2456900
2020-08-07,59.849998,61.299999,58.919998,61.279999,58.986176,1674400
2020-08-10,61.299999,64.529999,61.299999,64.010002,61.613991,2048200
2020-08-11,65.389999,66.580002,64.239998,64.459999,62.047142,2263100
2020-08-12,65.309998,65.330002,62.830002,63.720001,61.334846,1233200
2020-08-13,63.250000,64.250000,62.939999,63.830002,61.440727,1031000
2020-08-14,63.389999,64.760002,62.880001,64.239998,61.835373,1533900
2020-08-17,64.050003,64.150002,62.590000,63.119999,60.757301,1216200
2020-08-18,62.849998,62.970001,61.279999,62.040001,59.717731,2311800
2020-08-19,62.040001,62.830002,61.160000,61.400002,59.101688,1483800
2020-08-20,60.709999,61.400002,60.480000,61.000000,58.716660,1444100
2020-08-21,60.990002,61.779999,60.560001,61.660000,59.351952,1547700
2020-08-24,61.840000,66.029999,61.840000,65.980003,63.510254,2334400
2020-08-25,66.500000,66.500000,64.339996,64.440002,62.027897,1905500
2020-08-26,64.180000,64.870003,63.619999,64.059998,61.662113,1822200
2020-08-27,64.629997,67.010002,64.540001,66.620003,64.126297,2785100
2020-08-28,66.839996,68.209999,65.779999,67.940002,65.396881,3013400
2020-08-31,67.879997,67.949997,65.129997,65.750000,63.288860,2526700
2020-09-01,65.250000,66.930000,65.050003,66.559998,64.068535,1795300
2020-09-02,67.309998,68.660004,66.650002,68.410004,65.849289,2013200
2020-09-03,68.730003,70.559998,68.169998,68.540001,65.974419,3054300
2020-09-04,69.349998,69.809998,67.690002,68.220001,65.666397,1988500
2020-09-08,67.449997,69.480003,67.190002,68.379997,65.820404,2446500
2020-09-09,67.760002,69.209999,66.709999,68.000000,65.917343,2503400
2020-09-10,68.650002,69.669998,67.870003,68.389999,66.295403,2004400
2020-09-11,69.180000,70.709999,67.889999,70.029999,67.885170,2377700
2020-09-14,70.940002,73.580002,70.349998,73.209999,70.967773,2422300
2020-09-15,75.610001,76.239998,73.629997,74.790001,72.499390,3607200
2020-09-16,75.000000,77.300003,74.580002,76.440002,74.098862,2769200
2020-09-17,75.610001,76.809998,74.080002,74.589996,72.305504,2672600
2020-09-18,73.809998,74.570000,71.970001,72.129997,69.920853,5273500
2020-09-21,70.849998,71.120003,68.230003,68.690002,66.586220,2207000
2020-09-22,69.010002,69.989998,68.150002,69.279999,67.158157,2028600
2020-09-23,70.650002,72.519997,68.879997,69.070000,66.954575,2696100
2020-09-24,68.559998,70.279999,66.949997,69.370003,67.245392,2442900
2020-09-25,69.190002,70.980003,68.709999,70.540001,68.379547,1736600
2020-09-28,71.809998,72.389999,71.050003,71.190002,69.009659,1269400
2020-09-29,70.879997,71.099998,68.849998,69.660004,67.526505,1886700
2020-09-30,70.559998,71.290001,69.650002,70.250000,68.098434,1979600
2020-10-01,70.820000,71.830002,70.440002,71.580002,69.387711,1742000
2020-10-02,69.730003,72.820000,69.690002,72.529999,70.308601,1261700
2020-10-05,73.440002,75.040001,73.290001,74.910004,72.615715,1651500
2020-10-06,75.000000,77.379997,74.529999,74.660004,72.373383,2146500
2020-10-07,75.820000,77.129997,75.820000,76.959999,74.602921,1843500
2020-10-08,77.540001,78.459999,77.050003,78.330002,75.930969,1349100
2020-10-09,77.660004,78.059998,76.419998,77.610001,75.233017,2134700
2020-10-12,77.959999,78.470001,77.349998,77.870003,75.485062,1842000
2020-10-13,77.139999,77.860001,76.239998,76.820000,74.467209,1554400
