Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,66.720001,66.900002,65.190002,65.500000,58.768879,1757500
2020-01-03,65.080002,66.089996,64.790001,66.010002,59.226463,1110700
2020-01-06,65.809998,66.989998,65.739998,66.870003,59.998096,891200
2020-01-07,66.660004,66.779999,65.900002,66.059998,59.271320,804200
2020-01-08,66.169998,66.349998,65.620003,65.919998,59.145718,960100
2020-01-09,65.919998,66.129997,65.620003,66.110001,59.316189,672700
2020-01-10,66.269997,66.519997,66.029999,66.430000,59.603298,619300
2020-01-13,66.529999,67.279999,66.440002,67.010002,60.123703,1009200
2020-01-14,66.870003,67.040001,66.269997,66.930000,60.051918,1030800
2020-01-15,67.110001,67.510002,66.779999,67.019997,60.132683,1110800
2020-01-16,67.099998,67.339996,66.870003,67.269997,60.356979,1006100
2020-01-17,67.300003,67.650002,67.050003,67.199997,60.294167,886700
2020-01-21,67.209999,67.970001,67.050003,67.779999,60.814571,1126600
2020-01-22,67.900002,68.230003,67.519997,67.620003,60.671017,789500
2020-01-23,67.500000,68.680000,67.410004,68.610001,61.559273,769100
2020-01-24,68.059998,68.059998,66.910004,67.309998,60.979465,1252600
2020-01-27,66.820000,67.080002,65.989998,66.169998,59.946686,2237900
2020-01-28,66.260002,66.919998,66.199997,66.400002,60.155060,1415700
2020-01-29,66.610001,66.919998,66.389999,66.510002,60.254715,1352000
2020-01-30,66.269997,66.680000,66.040001,66.379997,60.136929,1012500
2020-01-31,66.400002,66.550003,65.389999,65.769997,59.584309,3490700
2020-02-03,66.010002,66.529999,65.180000,65.260002,59.122269,1571400
2020-02-04,65.510002,66.519997,65.510002,66.139999,59.919502,810900
2020-02-05,66.360001,66.959999,66.120003,66.480003,60.227535,893700
2020-02-06,66.839996,66.980003,66.250000,66.690002,60.417782,1376000
2020-02-07,66.709999,66.709999,66.260002,66.339996,60.100697,1163300
2020-02-10,66.550003,66.629997,66.050003,66.220001,59.991978,1187400
2020-02-11,66.430000,67.160004,66.430000,67.139999,60.825459,1013800
2020-02-12,67.250000,67.750000,67.019997,67.360001,61.024765,901100
2020-02-13,67.110001,67.849998,67.110001,67.699997,61.332783,899600
2020-02-14,67.790001,67.889999,67.389999,67.889999,61.504921,657700
2020-02-18,67.889999,67.980003,67.169998,67.779999,61.405266,1049100
2020-02-19,68.139999,68.500000,63.950001,64.379997,58.325031,2738800
2020-02-20,63.779999,64.430000,62.290001,64.279999,58.234440,2317500
2020-02-21,64.160004,64.279999,63.360001,63.849998,57.844883,1609300
2020-02-24,63.209999,63.419998,61.630001,62.369999,56.504074,2208500
2020-02-25,62.590000,62.590000,58.630001,58.910000,53.369492,2248500
2020-02-26,59.169998,59.439999,57.450001,57.500000,52.092102,1649900
2020-02-27,56.509998,56.980000,54.430000,54.430000,49.310837,2189800
2020-02-28,53.380001,54.259998,51.720001,53.580002,48.540783,3690500
2020-03-02,53.939999,55.590000,53.279999,55.580002,50.352684,2037800
2020-03-03,55.430000,56.820000,54.110001,54.540001,49.410492,2418900
2020-03-04,55.360001,56.110001,54.750000,55.959999,50.696941,1790500
2020-03-05,54.869999,54.939999,52.650002,53.029999,48.042507,1581800
2020-03-06,51.689999,52.529999,51.060001,52.349998,47.426464,1998200
2020-03-09,49.400002,49.470001,47.009998,47.029999,42.606812,2126800
2020-03-10,48.349998,50.430000,46.419998,50.410000,45.668922,1842800
2020-03-11,48.959999,49.279999,46.840000,47.450001,42.987309,2388500
2020-03-12,44.180000,45.400002,42.099998,42.660000,38.647808,2529800
2020-03-13,45.250000,45.410000,40.490002,44.230000,40.070152,3626100
2020-03-16,41.000000,41.270000,33.310001,33.480000,30.331192,3193500
2020-03-17,34.369999,36.119999,33.500000,35.330002,32.007202,3749900
2020-03-18,32.970001,33.380001,28.530001,31.090000,28.165974,3679300
2020-03-19,30.100000,35.000000,30.070000,32.900002,29.805744,3408500
2020-03-20,33.380001,34.439999,29.059999,29.660000,26.870466,4808700
2020-03-23,29.580000,31.080000,27.639999,30.610001,27.731119,3718400
2020-03-24,32.599998,34.709999,31.870001,33.900002,30.711691,3124100
2020-03-25,34.439999,37.000000,31.590000,34.549999,31.300562,3583900
2020-03-26,35.209999,37.290001,33.889999,37.040001,33.556374,2901900
2020-03-27,35.580002,38.599998,34.700001,37.700001,34.154297,2785700
2020-03-30,37.689999,37.869999,35.570000,37.599998,34.063705,2471700
2020-03-31,37.209999,37.549999,35.240002,36.209999,32.804436,3675700
2020-04-01,34.189999,35.200001,32.439999,33.660000,30.494263,3344500
2020-04-02,32.520000,33.680000,30.309999,31.360001,28.410582,3714500
2020-04-03,31.000000,32.639999,30.629999,31.889999,28.890734,3226400
2020-04-06,34.060001,34.330002,32.759998,33.599998,30.439903,3270900
2020-04-07,35.590000,38.180000,35.000000,37.299999,33.791920,4483800
2020-04-08,37.730000,40.799999,36.990002,40.480000,36.672840,3078600
2020-04-09,41.430000,44.630001,41.169998,43.480000,39.390686,2965600
2020-04-13,43.090000,43.560001,41.139999,42.090000,38.131420,1607200
2020-04-14,42.830002,44.599998,42.830002,44.209999,40.052032,1888800
2020-04-15,42.279999,43.160000,41.599998,42.439999,38.448505,1708500
2020-04-16,42.540001,42.970001,40.299999,40.299999,36.509769,3365900
2020-04-17,41.490002,42.500000,40.880001,42.049999,38.095177,2783000
2020-04-20,40.980000,41.049999,37.810001,38.150002,34.561977,3468900
2020-04-21,36.759998,38.099998,36.000000,36.070000,32.677605,3007000
2020-04-22,36.840000,37.540001,36.180000,37.209999,33.710384,2639800
2020-04-23,37.419998,38.080002,37.080002,37.480000,33.954994,1887500
2020-04-24,37.860001,38.099998,36.709999,37.770000,34.217720,2085500
2020-04-27,38.259998,40.310001,37.849998,40.090000,36.319519,1874300
2020-04-28,41.450001,42.410000,41.080002,41.560001,37.651272,2118200
2020-04-29,43.110001,45.200001,42.410000,44.290001,40.124516,2788800
2020-04-30,43.240002,44.509998,42.700001,43.820000,39.698708,2472200
2020-05-01,42.520000,42.980000,41.720001,42.000000,38.049881,2148000
2020-05-04,41.009998,41.349998,39.639999,39.919998,36.165504,2792700
2020-05-05,40.549999,41.570000,38.759998,38.849998,35.196140,3528200
2020-05-06,37.080002,38.110001,35.959999,35.970001,32.587009,3575500
2020-05-07,36.419998,38.180000,36.419998,37.689999,34.145241,2492300
2020-05-08,38.029999,39.450001,37.840000,39.410000,36.339832,2922800
2020-05-11,38.830002,38.900002,36.680000,36.740002,33.877834,2819100
2020-05-12,36.810001,37.250000,35.450001,35.529999,32.762096,3244300
2020-05-13,35.009998,35.139999,32.060001,32.299999,29.783724,4502800
2020-05-14,32.000000,35.099998,30.820000,35.009998,32.282608,5996700
2020-05-15,34.959999,35.520000,33.650002,35.320000,32.568455,7019100
2020-05-18,37.139999,39.020000,37.139999,37.869999,34.919800,2943800
2020-05-19,37.630001,38.549999,36.810001,37.459999,34.541740,2175500
2020-05-20,38.060001,38.090000,36.419998,36.639999,33.785622,3967500
2020-05-21,36.349998,37.180000,35.520000,35.750000,32.964954,4018600
2020-05-22,35.770000,36.270000,33.970001,34.150002,31.489603,2522000
2020-05-26,35.790001,38.209999,35.790001,37.680000,34.744606,2871400
2020-05-27,39.209999,39.950001,38.279999,39.500000,36.422821,3084400
2020-05-28,39.049999,39.340000,37.590000,37.900002,34.947468,2075300
2020-05-29,37.310001,37.529999,36.060001,36.209999,33.389122,4058900
2020-06-01,36.160000,38.750000,36.020000,38.130001,35.159550,2483800
2020-06-02,39.009998,40.060001,38.730000,39.509998,36.432037,2142900
2020-06-03,40.349998,42.360001,40.349998,41.299999,38.082592,3359000
2020-06-04,41.090000,41.610001,40.020000,41.310001,38.091812,4316500
2020-06-05,44.220001,44.660000,43.270000,43.759998,40.350952,6423300
2020-06-08,45.139999,45.959999,44.849998,45.939999,42.361118,4258200
2020-06-09,44.500000,45.259998,43.520000,45.099998,41.586559,2428000
2020-06-10,44.810001,44.810001,41.490002,42.290001,38.995468,3106700
2020-06-11,39.549999,40.709999,38.520000,38.860001,35.832684,3173200
2020-06-12,41.009998,41.320000,38.400002,40.169998,37.040627,1921200
2020-06-15,38.320000,40.450001,38.150002,40.200001,37.068283,2706300
2020-06-16,42.450001,42.540001,40.500000,41.410000,38.184025,2807200
2020-06-17,41.590000,41.720001,39.880001,39.959999,36.846981,1439200
2020-06-18,39.410000,40.299999,39.009998,40.040001,36.920753,1391700
2020-06-19,40.709999,40.720001,38.630001,39.150002,36.100086,4208600
2020-06-22,38.910000,39.470001,38.310001,39.160000,36.109306,2225500
2020-06-23,39.689999,39.720001,38.439999,39.150002,36.100086,2272400
2020-06-24,38.439999,38.439999,36.369999,37.779999,34.836811,2825900
2020-06-25,37.150002,38.180000,37.070000,37.910000,34.956688,2245600
2020-06-26,37.490002,37.990002,36.369999,36.639999,33.785622,2691400
2020-06-29,37.150002,38.590000,36.250000,38.580002,35.574490,1600100
2020-06-30,38.439999,38.830002,37.590000,38.209999,35.233315,1654600
2020-07-01,38.299999,39.480000,38.150002,38.630001,35.620598,1001300
2020-07-02,39.740002,39.980000,37.980000,38.119999,35.150322,1059000
2020-07-06,39.220001,39.380001,37.189999,37.689999,34.753822,2116200
2020-07-07,37.090000,37.090000,35.790001,35.810001,33.020283,1486700
2020-07-08,35.799999,36.330002,35.320000,35.860001,33.066387,2982600
2020-07-09,35.639999,35.779999,34.299999,34.919998,32.199615,1845200
2020-07-10,34.740002,36.139999,34.740002,36.000000,33.195480,1513300
2020-07-13,36.270000,37.570000,35.490002,36.799999,33.933159,2069200
2020-07-14,36.599998,37.740002,36.360001,36.669998,33.813286,1913800
2020-07-15,37.529999,38.209999,36.990002,38.150002,35.177986,1843300
2020-07-16,37.939999,38.130001,36.910000,37.070000,34.182125,1762200
2020-07-17,37.099998,37.389999,36.439999,36.590000,33.739521,1161600
2020-07-20,36.169998,36.529999,34.570000,35.000000,32.273384,1894400
2020-07-21,35.410000,36.340000,35.020000,35.459999,32.697548,1508500
2020-07-22,35.259998,36.830002,34.810001,36.250000,33.426006,1839300
2020-07-23,36.000000,36.290001,35.070000,35.669998,32.891186,1472100
2020-07-24,35.599998,36.090000,34.740002,35.009998,32.282608,1387900
2020-07-27,34.720001,34.779999,33.880001,34.759998,32.052078,2339100
2020-07-28,34.730000,36.639999,34.580002,36.209999,33.389122,1984100
2020-07-29,36.540001,36.660000,34.709999,36.230000,33.407562,1548500
2020-07-30,35.599998,35.709999,34.380001,35.240002,32.494686,1700800
2020-07-31,35.070000,35.070000,33.849998,34.520000,31.830778,3944700
2020-08-03,34.369999,34.389999,32.840000,34.020000,31.369730,2413700
2020-08-04,34.599998,37.049999,34.430000,36.029999,33.223141,3235100
2020-08-05,36.070000,36.470001,34.880001,35.209999,32.467022,1779900
2020-08-06,34.889999,35.990002,34.759998,35.750000,32.964954,1877800
2020-08-07,34.900002,35.570000,34.549999,35.549999,33.273827,2108200
2020-08-10,35.790001,37.810001,35.790001,37.180000,34.799461,2065600
2020-08-11,37.779999,38.400002,36.840000,37.060001,34.687149,1500000
2020-08-12,37.410000,37.529999,36.110001,36.810001,34.453152,1007900
2020-08-13,36.480000,36.810001,35.340000,35.380001,33.114716,1859900
2020-08-14,35.250000,36.209999,35.189999,35.580002,33.301907,1641200
2020-08-17,35.610001,35.610001,34.580002,35.180000,32.927517,1772600
2020-08-18,35.080002,35.240002,34.259998,34.680000,32.459534,1484700
2020-08-19,34.730000,35.070000,34.180000,34.209999,32.019623,1772200
2020-08-20,34.060001,35.169998,33.849998,34.720001,32.496967,1618100
2020-08-21,34.779999,35.480000,34.639999,35.459999,33.189590,2104600
2020-08-24,35.299999,37.049999,34.900002,36.970001,34.602909,1466400
2020-08-25,36.970001,37.520000,36.570000,37.119999,34.743305,1507600
2020-08-26,37.049999,37.049999,35.360001,35.759998,33.470379,1222000
2020-08-27,36.029999,37.160000,35.910000,36.880001,34.518673,1348900
2020-08-28,37.000000,37.509998,36.410000,37.160000,34.780743,1553100
2020-08-31,37.230000,37.230000,35.689999,35.830002,33.535900,1628800
2020-09-01,35.709999,35.740002,34.950001,35.070000,32.824558,2302800
2020-09-02,35.000000,36.009998,34.900002,35.730000,33.442303,2610900
2020-09-03,35.910000,37.540001,35.610001,36.250000,33.929005,2911800
2020-09-04,36.270000,37.380001,35.869999,36.779999,34.425072,1346300
2020-09-08,36.459999,36.549999,35.330002,35.540001,33.264469,1267600
2020-09-09,35.889999,35.980000,34.459999,34.700001,32.478256,1831800
2020-09-10,34.560001,34.980000,33.650002,33.700001,31.542280,1672300
2020-09-11,33.720001,33.910000,32.740002,33.619999,31.467400,2285500
2020-09-14,34.000000,35.410000,33.970001,35.279999,33.021111,1763200
2020-09-15,35.410000,37.430000,35.330002,36.119999,33.807327,2504200
2020-09-16,36.340000,38.169998,35.910000,37.810001,35.389126,1860100
2020-09-17,37.299999,37.860001,36.590000,37.380001,34.986660,1656800
2020-09-18,37.110001,37.160000,35.400002,35.439999,33.170872,3593400
2020-09-21,34.389999,34.430000,32.950001,33.330002,31.195972,2508800
2020-09-22,33.299999,34.509998,33.299999,33.490002,31.345726,2195400
2020-09-23,33.450001,33.950001,32.070000,32.240002,30.175760,1597700
2020-09-24,32.009998,33.279999,31.360001,32.580002,30.493988,2139700
2020-09-25,32.349998,33.540001,32.130001,33.450001,31.308283,1423200
2020-09-28,34.480000,35.099998,33.840000,34.759998,32.534405,1221500
2020-09-29,34.360001,34.730000,32.970001,33.799999,31.635876,1271600
2020-09-30,34.180000,34.849998,33.240002,33.709999,31.551638,1654000
2020-10-01,33.869999,34.660000,33.459999,34.650002,32.431458,1221400
2020-10-02,33.599998,35.910000,33.340000,35.709999,33.423588,1364000
2020-10-05,36.000000,36.419998,34.900002,35.570000,33.292542,1315900
2020-10-06,35.919998,36.360001,35.029999,35.259998,33.002396,1739400
2020-10-07,35.389999,36.060001,35.220001,35.669998,33.386143,1212100
2020-10-08,35.930000,36.680000,35.669998,36.669998,34.322117,1087800
2020-10-09,36.950001,37.180000,35.279999,35.520000,33.245750,1117600
2020-10-12,35.500000,35.700001,34.990002,35.500000,33.227032,1486500
2020-10-13,35.090000,35.090000,33.759998,33.990002,31.813711,1565900
2020-10-14,33.779999,34.369999,33.750000,33.980000,31.804348,1404200
2020-10-15,33.540001,34.520000,33.369999,34.160000,31.972826,1320300
2020-10-16,34.099998,34.380001,33.119999,34.009998,31.832426,1454800
2020-10-19,33.290001,33.709999,32.570000,32.590000,30.503349,2583400
2020-10-20,33.130001,33.490002,32.779999,32.830002,30.727985,1680500
2020-10-21,32.570000,32.689999,31.690001,32.139999,30.082163,1548500
2020-10-22,32.220001,33.730000,32.070000,33.700001,31.542280,2344000
2020-10-23,33.950001,34.299999,33.680000,34.070000,31.888588,1016300
2020-10-26,33.490002,33.740002,32.720001,33.150002,31.027494,1640300
2020-10-27,32.959999,33.250000,31.990000,32.220001,30.157040,1942300
2020-10-28,31.330000,31.459999,30.330000,30.370001,28.425489,4052000
2020-10-29,30.309999,31.299999,29.860001,30.200001,28.266375,3710500
2020-10-30,30.100000,30.809999,29.790001,30.730000,28.762438,3439500
2020-11-02,31.299999,32.540001,30.559999,32.500000,30.419111,2974200
2020-11-03,32.910000,34.419998,32.310001,34.029999,31.851149,2495500
2020-11-04,34.049999,34.410000,31.629999,31.639999,29.614174,2420300
2020-11-05,31.889999,32.560001,31.559999,31.850000,29.810730,2570700
2020-11-06,31.670000,32.259998,30.260000,30.370001,28.906507,2448700
2020-11-09,37.709999,41.270000,37.090000,38.689999,36.825577,7716100
2020-11-10,38.740002,39.790001,37.740002,39.020000,37.139679,5185700
2020-11-11,38.689999,39.020000,37.029999,37.470001,35.664371,2915500
2020-11-12,36.889999,37.570000,35.299999,36.029999,34.293758,2476000
2020-11-13,36.419998,38.529999,36.360001,38.509998,36.654251,2713800
2020-11-16,40.500000,41.160000,39.209999,39.930000,38.005825,4742300
2020-11-17,39.310001,42.150002,38.700001,41.490002,39.490646,4083700
2020-11-18,41.840000,41.919998,39.779999,39.790001,37.872566,2020100
2020-11-19,39.450001,40.160000,38.730000,39.840000,37.920162,3452600
2020-11-20,39.740002,40.380001,39.049999,39.930000,38.005825,4233000
2020-11-23,40.540001,41.720001,40.160000,41.020000,39.043293,4042600
2020-11-24,41.900002,43.349998,41.660000,41.840000,39.823784,3981900
2020-11-25,41.490002,41.830002,40.009998,40.619999,38.662571,2195100
2020-11-27,40.770000,41.080002,39.900002,40.330002,38.386551,749700
2020-11-30,40.320000,40.709999,38.860001,38.910000,37.034977,4178200
2020-12-01,39.610001,40.290001,38.930000,39.299999,37.406178,2142100
2020-12-02,39.049999,39.980000,38.630001,39.720001,37.805943,1674100
2020-12-03,39.820000,40.599998,39.279999,40.290001,38.348476,1752700
2020-12-04,41.000000,41.639999,40.400002,41.630001,39.623905,1908600
2020-12-07,41.400002,41.599998,40.310001,40.580002,38.624500,2449600
2020-12-08,40.139999,40.849998,39.849998,40.029999,38.101002,1488500
2020-12-09,40.169998,40.349998,39.099998,39.680000,37.767872,1724200
2020-12-10,39.090000,40.290001,39.090000,39.709999,37.796425,1994300
2020-12-11,39.270000,39.520000,38.430000,38.799999,36.930275,1279500
2020-12-14,39.220001,39.580002,37.980000,38.080002,36.244972,2671200
